"쇼핑검색보고서(2025.06.01.~2025.06.30.),chungsu1204:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","!생강가루효능",모바일,1,0,0,0,2,0,0,0,0
"파워링크","#건생강",모바일,1,0,0,0,2,0,0,0,0
"파워링크",)맥문동,모바일,1,0,0,0,1,0,0,0,0
"파워링크",.맥문동,모바일,1,0,0,0,2,0,0,0,0
"파워링크",100%구기자가루,모바일,1,0,0,0,3,0,0,0,0
"파워링크",100%국내산생강가루,모바일,1,0,0,0,2,0,0,0,0
"파워링크",100%국산도토리가루,모바일,1,0,0,0,2,0,0,0,0
"파워링크",100%국산생강가루,모바일,1,0,0,0,2,0,0,0,0
"파워링크",100%마늘분말,PC,3,0,0,0,2,0,0,0,0
"파워링크",100%마늘분말,모바일,1,0,0,0,1,0,0,0,0
"파워링크",100%분말1KG,모바일,1,0,0,0,2,0,0,0,0
"파워링크",100%생강,모바일,1,0,0,0,4,0,0,0,0
"파워링크",100%생강가루,모바일,8,0,0,0,2,0,0,0,0
"파워링크",100%생강가루차,모바일,2,1,528,528,2,1,0,0,0
"파워링크",100%생강분말,모바일,1,0,0,0,2,0,0,0,0
"파워링크",100%생강젤리,모바일,1,0,0,0,3,0,0,0,0
"파워링크",100%생강차,PC,5,0,0,0,3,0,0,0,0
"파워링크",100%생강차,모바일,151,0,0,0,2.4,0,0,0,0
"파워링크",100%생강차가루,모바일,1,0,0,0,2,0,0,0,0
"파워링크",100%생강차티백,PC,1,0,0,0,3,0,0,0,0
"파워링크",100%생강환,모바일,2,1,627,627,1,1,0,0,0
"파워링크",1KG생강,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1KG젤리,PC,2,0,0,0,8.5,0,0,0,0
"파워링크",1KG젤리,모바일,6,0,0,0,3.5,0,0,0,0
"파워링크",300G맥문동가루분말,PC,1,0,0,0,1,0,0,0,0
