"쇼핑검색보고서(2025.06.01.~2025.06.30.),cpc1995:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","!이모지",PC,1,0,0,0,2,0,0,0,0
"파워링크","#귀여운이모티콘",PC,1,0,0,0,1,0,0,0,0
"파워링크","#이모티콘샵",모바일,7,0,0,0,1.3,0,0,0,0
"파워링크","#이모티콘샵#",모바일,1,0,0,0,1,0,0,0,0
"파워링크","#카카오톡이모티콘",모바일,2,0,0,0,2,0,0,0,0
"파워링크",'이모티콘움직이게만들기,PC,1,0,0,0,3,0,0,0,0
"파워링크",(5번만에완성)귀여운일러스트그리기,PC,1,0,0,0,1,0,0,0,0
"파워링크",(내가만들어모두가사용하는)카카오톡이모티콘만들기,PC,1,0,0,0,2,0,0,0,0
"파워링크",(이모지),PC,1,0,0,0,2,0,0,0,0
"파워링크",*이모지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",+이모지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",-0-이모지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",...이모지,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",..블로그이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",..이모지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",.아이패드이모티콘,모바일,2,0,0,0,1,0,0,0,0
"파워링크",.으로만드는이모티콘,모바일,1,0,0,0,1,0,0,0,0
"파워링크",.이모지,PC,1,0,0,0,3,0,0,0,0
"파워링크",.카카오톡이모티콘,PC,1,0,0,0,2,0,0,0,0
"파워링크",10대카카오톡이모티콘추천,모바일,1,0,0,0,1,0,0,0,0
"파워링크",10분쉽게따라그리기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",10칸이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",17달력이모지,PC,1,0,0,0,1,0,0,0,0
"파워링크",18이모티콘,모바일,3,0,0,0,1,0,0,0,0
"파워링크",1번이모티콘,PC,1,0,0,0,1,0,0,0,0
"파워링크",1위이모티콘,PC,1,0,0,0,1,0,0,0,0
"파워링크",2세캐릭터만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",30대유용한이모티콘,모바일,1,0,0,0,1,0,0,0,0
"파워링크",30일완성아이패드그림그리기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",360도캐릭터그리기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",45도캐릭터그리기,모바일,1,0,0,0,2,0,0,0,0
"파워링크",4인이모티콘,모바일,1,0,0,0,1,0,0,0,0
"파워링크",50대이모티콘만들기,모바일,1,0,0,0,2,0,0,0,0
"파워링크",5번만에완성귀여운일러스트그리기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",5인캐릭터그리기,PC,1,0,0,0,1,0,0,0,0
"파워링크",5학년미술움직이는이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",6월26일카카오톡무료이모티콘,PC,1,0,0,0,1,0,0,0,0
"파워링크",6월30일무료이모티콘,모바일,1,0,0,0,1,0,0,0,0
"파워링크",6월30일이모티콘,모바일,1,0,0,0,1,0,0,0,0
"파워링크",6월무료카카오톡이모티콘,모바일,1,0,0,0,1,0,0,0,0
"파워링크",6월보내는이모티콘,모바일,2,0,0,0,2,0,0,0,0
"파워링크",6월이모티콘모음,PC,1,0,0,0,1,0,0,0,0
"파워링크",6월캐릭터그리기,모바일,3,0,0,0,1,0,0,0,0
"파워링크",7세캐릭터그리기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",7월무료이모티콘,모바일,6,0,0,0,1,0,0,0,0
"파워링크",7월캐릭터달력,PC,1,0,0,0,1,0,0,0,0
"파워링크",7월행복이모티콘,모바일,1,0,0,0,1,0,0,0,0
"파워링크",:)이모지,PC,1,0,0,0,3,0,0,0,0
"파워링크",:)이모지,모바일,17,0,0,0,2.1,0,0,0,0
"파워링크",:)이모티콘모음,PC,1,0,0,0,1,0,0,0,0
"파워링크",:)이모티콘모음,모바일,2,0,0,0,1,0,0,0,0
"파워링크",;)이모티콘그림,모바일,1,0,0,0,2,0,0,0,0
"파워링크",;;;카톡이모티콘,모바일,1,0,0,0,3,0,0,0,0
"파워링크",;이모지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",?카카오이모티콘,모바일,1,0,0,0,3,0,0,0,0
"파워링크",AI로나만의이모티콘만들기,PC,1,0,0,0,3,0,0,0,0
"파워링크",AI로움직이는모션만들기,모바일,1,1,220,220,2,1,0,0,0
"파워링크",AI로움짤이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",AI로이모티콘캐릭터만들기,PC,1,0,0,0,3,0,0,0,0
"파워링크",AI로카카오이모티콘만들기,PC,1,0,0,0,2,0,0,0,0
"파워링크",AI로카카오톡이모티콘,PC,1,0,0,0,2,0,0,0,0
"파워링크",AI로카카오톡이모티콘,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",AI카카오톡이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",CHARACTER,PC,1,0,0,0,1,0,0,0,0
"파워링크",CHARACTER,모바일,2,0,0,0,3,0,0,0,0
"파워링크",CHATGPT카카오톡이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",CHATGPT카톡이모티콘만들기,모바일,2,1,77,77,1,1,0,0,0
"파워링크",CONCEPTS카카오톡이모티콘그리기,PC,3,0,0,0,1,0,0,0,0
"파워링크",EMOTICONSHOP,모바일,1,0,0,0,2,0,0,0,0
"파워링크",GIMP로카카오이모티콘만들기,PC,1,0,0,0,1,0,0,0,0
"파워링크",GPT로움직이는이모티콘만들기,PC,1,0,0,0,1,0,0,0,0
"파워링크",GPT카카오톡이모티콘만들기,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",HAILUOAI카카오톡이모티콘만들기,PC,1,0,0,0,1,0,0,0,0
"파워링크",ILLUSTRATOR로이모티콘,PC,1,0,0,0,2,0,0,0,0
"파워링크",LINE이모티콘,PC,2,0,0,0,3,0,0,0,0
"파워링크",LINE이모티콘,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",LOTTIE로움직이는이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",MOTION,PC,459,0,0,0,4.8,0,0,0,0
"파워링크",MOTION,모바일,970,0,0,0,3.7,0,0,0,0
"파워링크",NOTICE이모지,PC,1,1,77,77,1,2,7,0,0
"파워링크",NOTICE이모지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",OGQ,PC,"15,558",7,77,539,1.5,2.5,39,0,0
"파워링크",OGQ,모바일,"32,264",47,77,"3,619",1.3,1.52,21.32,0,0
"파워링크",OGQ마켓,PC,56,0,0,0,1.3,0,0,0,0
"파워링크",OGQ마켓,모바일,184,0,0,0,1.1,0,0,0,0
"파워링크",OGQ마켓스티커제작어플,모바일,1,0,0,0,1,0,0,0,0
"파워링크",OGQ마켓이모티콘문자에서쓰는법,모바일,1,0,0,0,1,0,0,0,0
"파워링크",OGQ무료이모티콘,PC,2,0,0,0,1,0,0,0,0
"파워링크",OGQ스티커,PC,90,0,0,0,1.1,0,0,0,0
"파워링크",OGQ스티커,모바일,210,0,0,0,1.1,0,0,0,0
"파워링크",OGQ스티커만들기,PC,7,0,0,0,1,0,0,0,0
"파워링크",OGQ스티커만들기,모바일,5,0,0,0,1,0,0,0,0
"파워링크",OGQ스티커밴드,모바일,1,0,0,0,1,0,0,0,0
"파워링크",OGQ스티커이모티콘,모바일,1,0,0,0,1,0,0,0,0
