"요일별보고서(2025.06.01.~2025.06.30.),1zari2204:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,3,0,0,0,0
"월요일",01시~02시,0,0,5,0,0,0,0
"월요일",04시~05시,3,6.53,1.3,"1,155","3,465",1,0
"월요일",05시~06시,3,3.23,1.9,"1,434","4,301",0,0
"월요일",06시~07시,4,4.5,1.8,"1,749","6,996",0,0
"월요일",07시~08시,2,1.67,2,"2,602","5,203",0,0
"월요일",08시~09시,10,5.72,2,"1,736","17,358",1,0
"월요일",09시~10시,4,2.1,2.1,"1,887","7,546",0,0
"월요일",10시~11시,10,3.96,2.2,"1,882","18,821",0,0
"월요일",11시~12시,9,3.71,2.4,"1,154","10,384",0,0
"월요일",12시~13시,3,1.7,2.2,"1,547","4,642",0,0
"월요일",13시~14시,8,3.73,2.4,657,"5,258",1,0
"월요일",14시~15시,10,4.79,2.4,"2,314","23,144",1,0
"월요일",15시~16시,6,3.34,2.4,"1,170","7,018",0,0
"월요일",16시~17시,4,2.36,1.9,542,"2,167",1,0
"월요일",17시~18시,7,4.17,2.2,734,"5,137",0,0
"월요일",18시~19시,2,1.31,2.4,341,682,0,0
"월요일",19시~20시,3,3.58,2.3,"1,379","4,136",0,0
"월요일",20시~21시,1,1.76,1.9,77,77,0,0
"월요일",21시~22시,5,7.15,2,772,"3,861",0,0
"월요일",22시~23시,0,0,4,0,0,0,0
"화요일",01시~02시,0,0,1,0,0,0,0
"화요일",04시~05시,0,0,1.2,0,0,0,0
"화요일",05시~06시,0,0,1.3,0,0,0,0
"화요일",06시~07시,5,6.42,1.9,"1,945","9,724",0,0
"화요일",07시~08시,9,6.39,1.7,"2,581","23,232",0,0
"화요일",08시~09시,7,6.87,2.4,"2,393","16,753",2,0
"화요일",09시~10시,0,0,2.3,0,0,0,0
"화요일",10시~11시,1,0.75,2.3,418,418,0,0
"화요일",11시~12시,2,1.95,2.2,"1,788","3,575",0,0
"화요일",12시~13시,0,0,2.4,0,0,0,0
"화요일",13시~14시,3,2.21,2.2,"1,375","4,125",1,0
"화요일",14시~15시,5,3.36,2.4,"2,011","10,054",0,0
"화요일",15시~16시,6,5.72,1.8,"2,116","12,694",1,0
"화요일",16시~17시,6,3.85,2.2,"1,925","11,550",0,0
"화요일",17시~18시,2,2.71,2.2,468,935,0,0
"화요일",18시~19시,2,3.04,2.3,440,880,0,0
"화요일",19시~20시,2,3.85,2.3,"1,777","3,553",0,0
"화요일",20시~21시,1,9.1,2.2,"2,376","2,376",0,0
"화요일",23시~00시,0,0,5,0,0,0,0
"수요일",00시~01시,1,25,3,671,671,0,0
"수요일",01시~02시,0,0,1,0,0,0,0
"수요일",04시~05시,0,0,3,0,0,0,0
"수요일",05시~06시,3,8.11,1.3,429,"1,287",0,0
"수요일",06시~07시,1,1.73,2.1,"1,738","1,738",0,0
"수요일",07시~08시,2,3.18,1.8,"2,580","5,159",0,0
"수요일",08시~09시,3,4.17,2.4,"1,485","4,455",0,0
"수요일",09시~10시,3,5.09,2.4,"2,875","8,624",1,0
"수요일",10시~11시,0,0,2.2,0,0,0,0
"수요일",11시~12시,2,3.39,1.9,"2,134","4,268",0,0
"수요일",12시~13시,3,5.67,1.9,"2,218","6,655",0,0
"수요일",13시~14시,2,2.5,2.2,"2,195","4,389",0,0
"수요일",14시~15시,1,1.54,2.2,"3,135","3,135",0,0
"수요일",15시~16시,1,1.52,3.1,341,341,0,0
"수요일",16시~17시,1,2,2,"3,421","3,421",0,0
"수요일",17시~18시,1,1.48,2.1,"3,289","3,289",1,0
"수요일",18시~19시,1,3.13,2.5,957,957,0,0
"수요일",19시~20시,0,0,2.2,0,0,0,0
"수요일",20시~21시,4,13.8,2.3,"1,722","6,886",0,0
"수요일",22시~23시,0,0,6,0,0,0,0
"수요일",23시~00시,0,0,5,0,0,0,0
"목요일",03시~04시,0,0,1,0,0,0,0
"목요일",04시~05시,0,0,1.6,0,0,0,0
"목요일",05시~06시,0,0,1.5,0,0,0,0
"목요일",06시~07시,3,11.54,2.2,"2,842","8,525",0,0
"목요일",07시~08시,1,3.85,2.3,"3,135","3,135",0,0
"목요일",08시~09시,1,3.45,1.7,88,88,0,0
"목요일",09시~10시,4,4.77,2.8,"2,929","11,715",0,0
"목요일",10시~11시,0,0,1.5,0,0,0,0
"목요일",23시~00시,0,0,4,0,0,0,0
"금요일",04시~05시,0,0,2,0,0,0,0
"금요일",05시~06시,1,7.15,2.5,770,770,0,0
"금요일",06시~07시,2,7.15,2.6,"2,552","5,104",0,0
"금요일",07시~08시,1,3.04,2.8,77,77,0,0
"금요일",08시~09시,2,5.13,3.9,974,"1,947",0,0
"금요일",09시~10시,6,10.91,2.5,"1,780","10,681",0,0
"금요일",10시~11시,2,3.85,2.5,"2,899","5,797",0,0
"금요일",11시~12시,3,3.23,1.8,"1,030","3,091",0,0
"금요일",12시~13시,6,4.8,1.7,"2,286","13,717",0,0
"금요일",13시~14시,4,3.71,2.6,"1,623","6,490",0,0
"금요일",14시~15시,4,5.13,1.9,"1,675","6,699",0,0
"금요일",15시~16시,2,2.86,3.2,792,"1,584",2,0
"금요일",16시~17시,2,4.09,2.3,"1,716","3,432",0,0
"금요일",17시~18시,2,4.35,1.7,"1,529","3,058",0,0
"금요일",18시~19시,1,3.45,1.4,"2,783","2,783",0,0
"금요일",19시~20시,2,6.46,1.8,"1,282","2,563",0,0
"금요일",20시~21시,2,7.7,2.2,275,550,0,0
"금요일",21시~22시,2,5,1.8,858,"1,716",0,0
"토요일",00시~01시,1,100,1,77,77,0,0
"토요일",02시~03시,1,100,1,77,77,0,0
"토요일",04시~05시,1,9.1,2.2,"1,430","1,430",0,0
"토요일",05시~06시,0,0,1.5,0,0,0,0
"토요일",06시~07시,2,7.41,2,"1,584","3,168",0,0
"토요일",07시~08시,1,4,1.8,"3,267","3,267",0,0
"토요일",08시~09시,3,7.15,2.3,924,"2,772",1,0
"토요일",09시~10시,0,0,1.9,0,0,0,0
"토요일",10시~11시,3,4.77,1.5,"1,298","3,894",1,0
"토요일",11시~12시,1,1.57,1.7,110,110,0,0
"토요일",12시~13시,1,1.89,2.5,847,847,0,0
"토요일",13시~14시,2,3.64,2.3,611,"1,221",0,0
"토요일",14시~15시,3,4.77,2.6,524,"1,573",0,0
"토요일",15시~16시,4,6.67,2.3,"3,058","12,232",0,0
"토요일",16시~17시,1,1.59,2.1,77,77,0,0
"토요일",17시~18시,1,1.86,2.2,88,88,0,0
"토요일",19시~20시,0,0,5,0,0,0,0
"토요일",21시~22시,0,0,5,0,0,0,0
"일요일",00시~01시,1,100,3,"1,089","1,089",0,0
"일요일",03시~04시,0,0,5,0,0,0,0
"일요일",04시~05시,0,0,1.4,0,0,0,0
"일요일",05시~06시,1,1.73,1.4,"3,839","3,839",0,0
"일요일",06시~07시,4,16.67,1.4,534,"2,134",0,0
"일요일",07시~08시,2,2.78,2,"3,009","6,017",0,0
"일요일",08시~09시,1,1.14,2,671,671,0,0
"일요일",09시~10시,2,1.59,1.9,"1,007","2,013",0,0
"일요일",10시~11시,4,3.61,2.2,"1,763","7,051",0,0
"일요일",11시~12시,3,3.45,2.4,737,"2,211",0,0
"일요일",12시~13시,8,5.72,2.1,"1,376","11,011",1,0
"일요일",13시~14시,2,2,2.6,"1,051","2,101",0,0
"일요일",14시~15시,5,3.74,2.2,"1,461","7,304",0,0
"일요일",15시~16시,2,1.77,2.4,798,"1,595",0,0
"일요일",16시~17시,3,2.1,2.2,568,"1,705",0,0
"일요일",17시~18시,2,1.56,2.3,"2,112","4,224",1,0
"일요일",18시~19시,0,0,4,0,0,0,0
"일요일",19시~20시,0,0,4,0,0,0,0
"일요일",20시~21시,0,0,3.8,0,0,0,0
"일요일",21시~22시,0,0,4,0,0,0,0
"일요일",23시~00시,0,0,2,0,0,0,0
