"요일별보고서(2025.06.01.~2025.06.30.),b612x:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",01시~02시,1,33.34,4.7,66,66,0,0
"월요일",04시~05시,0,0,1.3,0,0,0,0
"월요일",06시~07시,0,0,4,0,0,0,0
"월요일",08시~09시,1,7.7,1,66,66,0,0
"월요일",09시~10시,0,0,1.4,0,0,0,0
"월요일",10시~11시,2,20,1.5,61,121,0,0
"월요일",11시~12시,3,15,1.6,70,209,0,0
"월요일",12시~13시,1,7.15,1.8,66,66,0,0
"월요일",13시~14시,0,0,3.6,0,0,0,0
"월요일",14시~15시,1,6.25,2.5,66,66,0,0
"월요일",15시~16시,1,4,2.2,55,55,0,0
"월요일",16시~17시,0,0,2.4,0,0,0,0
"월요일",17시~18시,1,6.25,1.8,77,77,0,0
"월요일",18시~19시,0,0,1.6,0,0,0,0
"월요일",19시~20시,0,0,2,0,0,0,0
"월요일",20시~21시,0,0,1,0,0,0,0
"월요일",21시~22시,1,25,1.8,66,66,0,0
"월요일",23시~00시,0,0,1,0,0,0,0
"화요일",00시~01시,0,0,1,0,0,0,0
"화요일",01시~02시,0,0,1,0,0,0,0
"화요일",06시~07시,1,25,1.5,66,66,0,0
"화요일",07시~08시,0,0,1,0,0,0,0
"화요일",08시~09시,0,0,1,0,0,0,0
"화요일",09시~10시,0,0,1.8,0,0,0,0
"화요일",10시~11시,2,10,1.5,72,143,0,0
"화요일",11시~12시,0,0,1.4,0,0,0,0
"화요일",12시~13시,2,13.34,2,77,154,0,0
"화요일",13시~14시,2,14.29,1.6,77,154,0,0
"화요일",14시~15시,1,7.15,2.1,66,66,0,0
"화요일",15시~16시,1,10,1.9,77,77,0,0
"화요일",16시~17시,0,0,4.5,0,0,0,0
"화요일",17시~18시,0,0,1,0,0,0,0
"화요일",18시~19시,0,0,2.1,0,0,0,0
"화요일",19시~20시,0,0,1,0,0,0,0
"화요일",20시~21시,0,0,1,0,0,0,0
"화요일",22시~23시,0,0,1,0,0,0,0
"수요일",06시~07시,0,0,1,0,0,0,0
"수요일",08시~09시,0,0,1,0,0,0,0
"수요일",09시~10시,1,25,1.5,66,66,0,0
"수요일",10시~11시,2,25,1.4,66,132,0,0
"수요일",11시~12시,0,0,1.4,0,0,0,0
"수요일",12시~13시,1,10,1.9,66,66,0,0
"수요일",13시~14시,1,14.29,1.6,66,66,0,0
"수요일",14시~15시,0,0,1.5,0,0,0,0
"수요일",15시~16시,0,0,1.2,0,0,0,0
"수요일",16시~17시,1,7.7,1.5,66,66,0,0
"수요일",17시~18시,0,0,4,0,0,0,0
"수요일",18시~19시,1,10,1.8,66,66,0,0
"수요일",19시~20시,1,12.5,2.3,66,66,0,0
"수요일",20시~21시,0,0,1,0,0,0,0
"수요일",23시~00시,0,0,1,0,0,0,0
"목요일",01시~02시,0,0,1,0,0,0,0
"목요일",03시~04시,0,0,1,0,0,0,0
"목요일",06시~07시,0,0,1,0,0,0,0
"목요일",07시~08시,1,50,2,66,66,0,0
"목요일",08시~09시,0,0,2,0,0,0,0
"목요일",09시~10시,0,0,1.9,0,0,0,0
"목요일",10시~11시,0,0,2.2,0,0,0,0
"목요일",11시~12시,3,23.08,1.5,66,198,0,0
"목요일",12시~13시,1,5.56,1.9,66,66,0,0
"목요일",13시~14시,0,0,1.6,0,0,0,0
"목요일",14시~15시,0,0,4.4,0,0,0,0
"목요일",15시~16시,0,0,4,0,0,0,0
"목요일",16시~17시,0,0,1.5,0,0,0,0
"목요일",17시~18시,0,0,1,0,0,0,0
"목요일",18시~19시,0,0,1,0,0,0,0
"목요일",19시~20시,0,0,1,0,0,0,0
"목요일",22시~23시,0,0,1,0,0,0,0
"금요일",09시~10시,0,0,2,0,0,0,0
"금요일",10시~11시,0,0,1.2,0,0,0,0
