"요일별보고서(2025.06.01.~2025.06.30.),cyprus1365:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",10시~11시,0,0,1.8,0,0,0,0
"월요일",11시~12시,1,1.15,2.6,"1,595","1,595",0,0
"월요일",12시~13시,0,0,2.5,0,0,0,0
"월요일",13시~14시,0,0,2.5,0,0,0,0
"월요일",14시~15시,1,1.18,2.6,"1,155","1,155",0,0
"월요일",15시~16시,0,0,2.6,0,0,0,0
"월요일",16시~17시,0,0,2,0,0,0,0
"화요일",11시~12시,0,0,1.7,0,0,0,0
"화요일",12시~13시,1,0.82,2.2,"1,969","1,969",0,0
"화요일",13시~14시,1,0.65,2.6,"1,452","1,452",0,0
"화요일",14시~15시,1,0.65,2.1,"3,817","3,817",0,0
"화요일",15시~16시,0,0,2.8,0,0,0,0
"화요일",16시~17시,0,0,1.7,0,0,0,0
"화요일",18시~19시,0,0,2,0,0,0,0
"수요일",12시~13시,1,7.15,1,"5,456","5,456",0,0
"수요일",13시~14시,3,5.56,1,"4,671","14,014",0,0
"수요일",14시~15시,2,8,1,"4,879","9,757",0,0
"수요일",15시~16시,0,0,1.1,0,0,0,0
"수요일",16시~17시,0,0,1.1,0,0,0,0
"수요일",17시~18시,0,0,1,0,0,0,0
"수요일",18시~19시,1,2.39,1.5,"5,390","5,390",0,0
"수요일",19시~20시,0,0,1.2,0,0,0,0
"수요일",20시~21시,0,0,1.3,0,0,0,0
"수요일",21시~22시,0,0,1.2,0,0,0,0
"수요일",22시~23시,1,4.17,1.3,"4,334","4,334",0,0
"수요일",23시~00시,0,0,1,0,0,0,0
"목요일",10시~11시,0,0,1,0,0,0,0
"금요일",09시~10시,0,0,2.5,0,0,0,0
"금요일",10시~11시,0,0,2.4,0,0,0,0
"금요일",11시~12시,2,2.71,2.2,"3,795","7,590",0,0
"금요일",12시~13시,1,1.52,2.4,"3,872","3,872",0,0
"금요일",13시~14시,0,0,2.2,0,0,0,0
"금요일",14시~15시,0,0,2.6,0,0,0,0
"금요일",15시~16시,0,0,2.3,0,0,0,0
"금요일",16시~17시,0,0,2.7,0,0,0,0
"금요일",17시~18시,0,0,1,0,0,0,0
"금요일",18시~19시,1,4.77,1.1,"3,784","3,784",0,0
"금요일",19시~20시,0,0,1,0,0,0,0
"금요일",20시~21시,0,0,1.3,0,0,0,0
"금요일",21시~22시,0,0,1.1,0,0,0,0
"금요일",22시~23시,1,5,1.3,"4,950","4,950",0,0
"금요일",23시~00시,0,0,1.3,0,0,0,0
"토요일",00시~01시,0,0,1.5,0,0,0,0
"토요일",01시~02시,0,0,2,0,0,0,0
"토요일",02시~03시,0,0,2,0,0,0,0
"토요일",03시~04시,0,0,3,0,0,0,0
"토요일",04시~05시,0,0,1.5,0,0,0,0
"토요일",05시~06시,1,5.56,1.4,"3,751","3,751",0,0
"토요일",06시~07시,0,0,1.3,0,0,0,0
"토요일",07시~08시,0,0,1,0,0,0,0
"토요일",08시~09시,3,7.32,1.2,"4,371","13,112",0,0
"토요일",09시~10시,0,0,1.3,0,0,0,0
"토요일",10시~11시,0,0,1.5,0,0,0,0
"토요일",11시~12시,0,0,1.2,0,0,0,0
"토요일",12시~13시,0,0,1,0,0,0,0
"토요일",13시~14시,1,3.71,1.1,"4,730","4,730",0,0
"토요일",14시~15시,1,4.55,1.5,"3,762","3,762",0,0
"토요일",15시~16시,0,0,1.4,0,0,0,0
"토요일",16시~17시,0,0,1.2,0,0,0,0
"토요일",17시~18시,0,0,1.4,0,0,0,0
"토요일",18시~19시,1,10,1.5,"3,806","3,806",0,0
"토요일",19시~20시,1,9.1,1.2,"4,895","4,895",0,0
"토요일",20시~21시,0,0,1.3,0,0,0,0
"토요일",21시~22시,1,8.34,1,"3,817","3,817",0,0
"토요일",22시~23시,1,5.89,1.2,"3,795","3,795",0,0
"토요일",23시~00시,1,4,1,"3,784","3,784",0,0
"일요일",00시~01시,1,2.86,1.5,"5,170","5,170",0,0
"일요일",01시~02시,2,12.5,1.6,"3,806","7,612",0,0
"일요일",02시~03시,0,0,1.1,0,0,0,0
"일요일",03시~04시,0,0,1,0,0,0,0
"일요일",04시~05시,0,0,1.2,0,0,0,0
"일요일",05시~06시,0,0,1.2,0,0,0,0
"일요일",06시~07시,0,0,1.3,0,0,0,0
"일요일",07시~08시,1,2.5,1,"3,784","3,784",0,0
"일요일",08시~09시,0,0,1.3,0,0,0,0
"일요일",09시~10시,1,3.85,1.2,"3,784","3,784",0,0
"일요일",10시~11시,0,0,1,0,0,0,0
"일요일",11시~12시,0,0,1.1,0,0,0,0
"일요일",12시~13시,0,0,1.1,0,0,0,0
"일요일",13시~14시,0,0,1.6,0,0,0,0
"일요일",14시~15시,1,5.89,1.2,"3,795","3,795",0,0
"일요일",15시~16시,0,0,1.8,0,0,0,0
"일요일",16시~17시,0,0,1.1,0,0,0,0
"일요일",17시~18시,1,5.56,1,"3,806","3,806",0,0
"일요일",18시~19시,0,0,1,0,0,0,0
"일요일",19시~20시,0,0,1,0,0,0,0
"일요일",20시~21시,0,0,1.7,0,0,0,0
"일요일",21시~22시,0,0,1.9,0,0,0,0
"일요일",22시~23시,2,11.77,1.3,"4,516","9,031",0,0
