"요일별보고서(2025.06.01.~2025.06.30.),golf770pro:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,3,0.5,2.2,62,187,0,0
"월요일",01시~02시,1,0.14,2.1,77,77,0,0
"월요일",02시~03시,2,0.44,1.9,55,110,0,0
"월요일",03시~04시,2,0.76,1.7,77,154,0,0
"월요일",04시~05시,0,0,1.7,0,0,0,0
"월요일",05시~06시,1,0.29,1.9,55,55,0,0
"월요일",06시~07시,3,0.4,1.7,77,231,0,0
"월요일",07시~08시,1,0.09,1.5,77,77,0,0
"월요일",08시~09시,1,0.06,1.5,77,77,0,0
"월요일",09시~10시,3,0.13,1.3,70,209,0,0
"월요일",10시~11시,2,0.07,1.3,66,132,0,0
"월요일",11시~12시,2,0.32,2.7,55,110,0,0
"월요일",12시~13시,5,0.15,2.1,64,319,0,0
"월요일",13시~14시,7,0.13,2.1,79,550,0,0
"월요일",14시~15시,2,0.05,2.1,77,154,0,0
"월요일",15시~16시,8,0.41,1.9,63,506,0,0
"월요일",16시~17시,7,0.42,1.9,64,451,0,0
"월요일",17시~18시,5,0.39,2,64,319,0,0
"월요일",18시~19시,3,0.36,1.6,66,198,0,0
"월요일",19시~20시,2,0.31,1.3,66,132,0,0
"월요일",20시~21시,12,5.31,1.3,57,682,0,0
"월요일",21시~22시,4,8.89,1.5,55,220,0,0
"월요일",22시~23시,4,11.77,1.7,55,220,0,0
"월요일",23시~00시,3,13.05,1.5,55,165,0,0
"화요일",00시~01시,0,0,2.1,0,0,0,0
"화요일",01시~02시,0,0,2.2,0,0,0,0
"화요일",02시~03시,0,0,2.1,0,0,0,0
"화요일",03시~04시,3,0.77,1.8,62,187,0,0
"화요일",04시~05시,0,0,1.8,0,0,0,0
"화요일",05시~06시,0,0,1.7,0,0,0,0
"화요일",06시~07시,1,0.12,1.6,55,55,0,0
"화요일",07시~08시,0,0,1.3,0,0,0,0
"화요일",08시~09시,1,0.06,1.3,77,77,0,0
"화요일",09시~10시,3,0.12,1.3,70,209,0,0
"화요일",10시~11시,5,0.17,1.3,73,363,0,0
"화요일",11시~12시,1,0.23,3.3,55,55,0,0
"화요일",12시~13시,1,0.1,2.6,77,77,0,0
"화요일",13시~14시,2,0.08,2.2,55,110,0,0
"화요일",14시~15시,5,0.28,2.2,59,297,0,0
"화요일",15시~16시,3,0.23,2,55,165,0,0
"화요일",16시~17시,6,0.45,1.8,59,352,0,0
"화요일",17시~18시,7,0.39,1.8,61,429,0,0
"화요일",18시~19시,6,0.3,1.6,66,396,0,0
"화요일",19시~20시,4,0.19,1.4,61,242,0,0
"화요일",20시~21시,6,0.36,1.4,62,374,0,0
"화요일",21시~22시,3,0.26,1.5,70,209,0,0
"화요일",22시~23시,1,0.09,1.3,55,55,0,0
"화요일",23시~00시,2,0.25,1.5,66,132,0,0
"수요일",00시~01시,2,0.24,2,66,132,0,0
"수요일",01시~02시,0,0,2.3,0,0,0,0
"수요일",02시~03시,1,0.26,2.3,77,77,0,0
"수요일",03시~04시,2,0.67,2.3,66,132,0,0
"수요일",04시~05시,0,0,2.2,0,0,0,0
"수요일",05시~06시,1,0.31,2.1,77,77,0,0
"수요일",06시~07시,0,0,1.8,0,0,0,0
"수요일",07시~08시,3,0.26,1.8,70,209,0,0
"수요일",08시~09시,4,0.23,1.4,72,286,0,0
"수요일",09시~10시,0,0,1.4,0,0,0,0
"수요일",10시~11시,3,0.11,1.3,70,209,0,0
"수요일",11시~12시,1,0.22,3.2,55,55,0,0
"수요일",12시~13시,2,0.11,2.2,55,110,0,0
"수요일",13시~14시,6,0.19,2.1,86,517,0,0
"수요일",14시~15시,5,0.2,2.2,68,341,0,0
"수요일",15시~16시,1,0.07,2.2,55,55,0,0
"수요일",16시~17시,5,0.35,2.2,55,275,0,0
"수요일",17시~18시,1,0.08,2.2,55,55,0,0
"수요일",18시~19시,5,0.33,1.8,59,297,0,0
"수요일",19시~20시,2,0.15,1.8,55,110,0,0
"수요일",20시~21시,1,0.08,1.8,55,55,0,0
"수요일",21시~22시,4,0.43,1.5,61,242,0,0
"수요일",22시~23시,5,0.91,1.5,59,297,0,0
"수요일",23시~00시,0,0,1.3,0,0,0,0
"목요일",00시~01시,1,0.18,2.1,88,88,0,0
"목요일",01시~02시,0,0,2.3,0,0,0,0
"목요일",02시~03시,1,0.28,2.4,55,55,0,0
"목요일",03시~04시,0,0,1.9,0,0,0,0
"목요일",04시~05시,1,0.48,1.8,77,77,0,0
"목요일",05시~06시,0,0,2,0,0,0,0
"목요일",06시~07시,1,0.15,1.7,77,77,0,0
"목요일",07시~08시,2,0.17,1.4,66,132,0,0
"목요일",08시~09시,2,0.13,1.3,66,132,0,0
"목요일",09시~10시,0,0,1.3,0,0,0,0
"목요일",10시~11시,6,0.22,1.3,77,462,0,0
"목요일",11시~12시,0,0,3,0,0,0,0
