"요일별보고서(2025.06.01.~2025.06.30.),hanfea:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,4,2.26,3.6,509,"2,035",0,0
"월요일",01시~02시,1,1,3.8,528,528,0,0
"월요일",02시~03시,0,0,4.2,0,0,0,0
"월요일",03시~04시,0,0,4.7,0,0,0,0
"월요일",04시~05시,0,0,3.7,0,0,0,0
"월요일",05시~06시,0,0,4,0,0,0,0
"월요일",06시~07시,2,3.34,2.7,281,561,0,0
"월요일",07시~08시,1,1,3.7,77,77,0,0
"월요일",08시~09시,0,0,4.6,0,0,0,0
"월요일",09시~10시,3,1.37,4.2,557,"1,672",0,0
"월요일",10시~11시,6,2.54,4.6,550,"3,300",0,0
"월요일",11시~12시,4,1.31,5.5,215,858,0,0
"월요일",12시~13시,2,0.71,4.4,363,726,0,0
"월요일",13시~14시,3,0.95,4.6,477,"1,430",0,0
"월요일",14시~15시,6,2.12,4.5,378,"2,266",0,0
"월요일",15시~16시,5,1.86,4.5,374,"1,870",0,0
"월요일",16시~17시,5,1.67,4.4,537,"2,684",0,0
"월요일",17시~18시,2,0.61,3.6,385,770,0,0
"월요일",18시~19시,4,1.12,4.1,322,"1,287",0,0
"월요일",19시~20시,4,1.15,3.9,286,"1,144",0,0
"월요일",20시~21시,1,0.3,4.1,352,352,0,0
"월요일",21시~22시,2,0.72,4.1,330,660,0,0
"월요일",22시~23시,10,2.38,4.2,391,"3,905",0,0
"월요일",23시~00시,3,0.91,3.9,312,935,0,0
"화요일",00시~01시,2,1.31,4,330,660,0,0
"화요일",01시~02시,0,0,4.4,0,0,0,0
"화요일",02시~03시,1,3.23,3.7,99,99,0,0
"화요일",03시~04시,0,0,3.3,0,0,0,0
"화요일",04시~05시,0,0,4.2,0,0,0,0
"화요일",05시~06시,0,0,3,0,0,0,0
"화요일",06시~07시,2,5,2.8,138,275,0,0
"화요일",07시~08시,2,2.57,3.5,226,451,0,0
"화요일",08시~09시,4,2.3,3.6,492,"1,969",0,0
"화요일",09시~10시,3,1.8,3.9,293,880,0,0
"화요일",10시~11시,1,0.42,4.6,484,484,0,0
"화요일",11시~12시,3,0.94,4.5,279,836,0,0
"화요일",12시~13시,4,1.59,4.2,272,"1,089",0,0
"화요일",13시~14시,3,1.18,5,374,"1,122",0,0
"화요일",14시~15시,5,1.78,3.8,224,"1,122",0,0
"화요일",15시~16시,4,1.46,4.1,459,"1,837",0,0
"화요일",16시~17시,3,1.34,4.2,220,660,0,0
"화요일",17시~18시,6,2.18,4.5,601,"3,608",0,0
"화요일",18시~19시,1,0.55,4,77,77,0,0
"화요일",19시~20시,7,3.02,4.2,376,"2,629",0,0
"화요일",20시~21시,1,0.72,3.9,495,495,0,0
"화요일",21시~22시,2,0.91,3.7,259,517,0,0
"화요일",22시~23시,2,0.91,4.1,363,726,0,0
"화요일",23시~00시,1,0.53,4.6,66,66,0,0
"수요일",00시~01시,4,2.86,4.5,382,"1,529",0,0
"수요일",01시~02시,0,0,3.1,0,0,0,0
"수요일",02시~03시,1,3.85,4.5,77,77,0,0
"수요일",03시~04시,0,0,4.6,0,0,0,0
"수요일",04시~05시,2,7.7,4.2,138,275,0,0
"수요일",05시~06시,0,0,4,0,0,0,0
"수요일",06시~07시,0,0,2.9,0,0,0,0
"수요일",07시~08시,0,0,3.4,0,0,0,0
"수요일",08시~09시,1,0.87,3.2,363,363,0,0
"수요일",09시~10시,2,1.06,3.8,649,"1,298",0,0
"수요일",10시~11시,3,1.58,4.1,227,682,0,0
"수요일",11시~12시,5,2.35,4.6,306,"1,529",0,0
"수요일",12시~13시,4,1.9,3.7,457,"1,826",0,0
"수요일",13시~14시,4,1.68,4.1,190,759,0,0
"수요일",14시~15시,8,3.76,4.5,243,"1,947",0,0
