"요일별보고서(2025.06.01.~2025.06.30.),hawaiishellfish:naver"
"요일별",시간대별,노출수,클릭수,평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,77,0,1.2,0,35.2,0,0
"월요일",01시~02시,37,0,1.5,0,14.3,0,0
"월요일",02시~03시,34,0,1.2,0,17.05,0,0
"월요일",03시~04시,27,0,1.3,0,12.65,0,0
"월요일",04시~05시,31,1,1.5,15,15.4,0,0
"월요일",05시~06시,54,1,1.2,26,26.4,0,0
"월요일",06시~07시,86,0,1,0,44.55,0,0
"월요일",07시~08시,109,0,1.1,0,56.1,0,0
"월요일",08시~09시,110,1,1.1,57,57.2,0,0
"월요일",09시~10시,110,0,1.2,0,56.65,0,0
"월요일",10시~11시,95,0,1.1,0,50.05,0,0
"월요일",11시~12시,106,0,1,0,57.75,0,0
"월요일",12시~13시,100,1,1.1,52,52.25,0,0
"월요일",13시~14시,102,0,1.1,0,53.35,0,0
"월요일",14시~15시,980,8,2.8,556,"4,450.05",0,0
"월요일",15시~16시,"1,454",20,2.9,425,"8,491.45",0,0
"월요일",16시~17시,"1,540",17,3,379,"6,446",0,0
"월요일",17시~18시,"1,627",21,3.4,403,"8,466.7",0,0
"월요일",18시~19시,"1,641",15,3.7,539,"8,085.55",0,0
"월요일",19시~20시,"1,945",14,3.5,410,"5,734.85",0,0
"월요일",20시~21시,"2,002",9,3.5,478,"4,303.2",0,0
"월요일",21시~22시,"2,038",23,3.1,474,"10,912.55",0,0
"월요일",22시~23시,"2,026",14,3.3,515,"7,215.45",0,0
"월요일",23시~00시,128,0,2.3,0,34.65,0,0
"화요일",00시~01시,87,1,1.5,32,31.9,0,0
"화요일",01시~02시,35,0,1,0,16.5,0,0
"화요일",02시~03시,29,0,1.6,0,9.9,0,0
"화요일",03시~04시,27,0,1.1,0,12.65,0,0
"화요일",04시~05시,18,0,1.1,0,8.8,0,0
"화요일",05시~06시,35,0,1.1,0,17.6,0,0
"화요일",06시~07시,58,0,1.2,0,29.15,0,0
"화요일",07시~08시,69,0,1.1,0,35.2,0,0
"화요일",08시~09시,76,1,1.2,35,34.65,0,0
"화요일",09시~10시,86,1,1.1,42,42.35,0,0
"화요일",10시~11시,71,0,1.1,0,36.3,0,0
"화요일",11시~12시,88,0,1.2,0,42.35,0,0
"화요일",12시~13시,90,0,1.1,0,44.55,0,0
"화요일",13시~14시,80,0,1.1,0,41.8,0,0
"화요일",14시~15시,679,4,2.8,550,"2,201.65",0,0
"화요일",15시~16시,930,12,3.1,513,"6,157.25",0,0
"화요일",16시~17시,"1,121",17,2.7,418,"7,111.5",0,0
"화요일",17시~18시,"1,009",15,3.2,389,"5,828.35",0,0
"화요일",18시~19시,923,12,3.4,574,"6,882.7",0,0
"화요일",19시~20시,"1,123",13,3.3,423,"5,503.85",0,0
"화요일",20시~21시,"1,330",9,3.3,472,"4,250.95",0,0
"화요일",21시~22시,"1,164",6,3.7,518,"3,109.15",0,0
"화요일",22시~23시,"1,182",12,3.5,494,"5,930.1",0,0
"화요일",23시~00시,101,2,1.9,364,728.75,0,0
"수요일",00시~01시,42,0,1.4,0,18.15,0,0
"수요일",01시~02시,22,1,1.8,9,9.35,0,0
"수요일",02시~03시,15,0,2,0,5.5,0,0
