"요일별보고서(2025.06.01.~2025.06.30.),kdj1568:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,1.3,0,0,0,0
"월요일",01시~02시,0,0,1,0,0,0,0
"월요일",02시~03시,0,0,1.3,0,0,0,0
"월요일",03시~04시,0,0,1,0,0,0,0
"월요일",04시~05시,1,20,1,407,407,0,0
"월요일",05시~06시,0,0,1.2,0,0,0,0
"월요일",06시~07시,0,0,1,0,0,0,0
"월요일",07시~08시,0,0,1.5,0,0,0,0
"월요일",08시~09시,0,0,1.3,0,0,0,0
"월요일",09시~10시,0,0,1.3,0,0,0,0
"월요일",10시~11시,1,6.25,1.1,737,737,0,0
"월요일",11시~12시,1,5.89,1.7,737,737,0,0
"월요일",12시~13시,3,15.79,1.2,363,"1,089",0,0
"월요일",13시~14시,0,0,1.2,0,0,0,0
"월요일",14시~15시,1,5,1.3,275,275,0,0
"월요일",15시~16시,1,6.67,1.4,396,396,0,0
"월요일",16시~17시,1,9.1,1.2,154,154,0,0
"월요일",17시~18시,1,5.56,1.1,396,396,0,0
"월요일",18시~19시,1,6.25,1.3,561,561,0,0
"월요일",19시~20시,1,9.1,1.4,429,429,0,0
"월요일",20시~21시,0,0,1.1,0,0,0,0
"월요일",21시~22시,1,7.15,1.1,"2,706","2,706",0,0
"월요일",22시~23시,0,0,1.4,0,0,0,0
"월요일",23시~00시,1,14.29,1.1,253,253,0,0
"화요일",00시~01시,0,0,1.3,0,0,0,0
"화요일",04시~05시,0,0,1,0,0,0,0
"화요일",06시~07시,0,0,1.3,0,0,0,0
"화요일",07시~08시,0,0,1.3,0,0,0,0
"화요일",08시~09시,0,0,1.1,0,0,0,0
"화요일",09시~10시,1,10,1.3,341,341,0,0
"화요일",10시~11시,1,10,1.4,440,440,0,0
"화요일",11시~12시,0,0,1.6,0,0,0,0
"화요일",12시~13시,0,0,1.3,0,0,0,0
"화요일",13시~14시,0,0,1.1,0,0,0,0
"화요일",14시~15시,0,0,1.2,0,0,0,0
"화요일",15시~16시,0,0,1.2,0,0,0,0
"화요일",16시~17시,0,0,1.3,0,0,0,0
"화요일",17시~18시,0,0,1.1,0,0,0,0
"화요일",18시~19시,1,5.89,1.2,"5,401","5,401",0,0
"화요일",19시~20시,0,0,2,0,0,0,0
"화요일",20시~21시,0,0,1.8,0,0,0,0
"화요일",21시~22시,0,0,1.5,0,0,0,0
"화요일",22시~23시,0,0,1.2,0,0,0,0
"화요일",23시~00시,0,0,1,0,0,0,0
"수요일",00시~01시,0,0,2.5,0,0,0,0
"수요일",02시~03시,0,0,2,0,0,0,0
"수요일",04시~05시,0,0,1,0,0,0,0
"수요일",05시~06시,0,0,1,0,0,0,0
"수요일",06시~07시,0,0,1,0,0,0,0
"수요일",07시~08시,0,0,1.5,0,0,0,0
"수요일",08시~09시,0,0,1.1,0,0,0,0
"수요일",09시~10시,0,0,1.4,0,0,0,0
"수요일",10시~11시,2,12.5,1.3,396,792,0,0
"수요일",11시~12시,1,5.27,1.7,396,396,0,0
"수요일",12시~13시,2,13.34,1.2,385,770,0,0
"수요일",13시~14시,2,11.12,1.6,248,495,0,0
"수요일",14시~15시,1,11.12,2.1,396,396,0,0
"수요일",15시~16시,0,0,1.1,0,0,0,0
"수요일",16시~17시,1,7.7,1.2,66,66,0,0
"수요일",17시~18시,0,0,1.5,0,0,0,0
"수요일",18시~19시,0,0,1.6,0,0,0,0
"수요일",19시~20시,0,0,1.4,0,0,0,0
"수요일",20시~21시,1,11.12,1,77,77,0,0
"수요일",21시~22시,0,0,1,0,0,0,0
"수요일",22시~23시,2,16.67,1.1,77,154,0,0
"수요일",23시~00시,0,0,2,0,0,0,0
"목요일",00시~01시,0,0,1.2,0,0,0,0
"목요일",01시~02시,0,0,1,0,0,0,0
"목요일",02시~03시,0,0,1,0,0,0,0
"목요일",03시~04시,0,0,1,0,0,0,0
"목요일",04시~05시,0,0,1,0,0,0,0
"목요일",06시~07시,1,11.12,1.3,407,407,0,0
"목요일",07시~08시,0,0,1,0,0,0,0
"목요일",08시~09시,0,0,1.4,0,0,0,0
"목요일",09시~10시,0,0,1.5,0,0,0,0
"목요일",10시~11시,1,5,1.4,341,341,0,0
"목요일",11시~12시,2,25,1,237,473,0,0
"목요일",12시~13시,1,11.12,1.1,176,176,0,0
"목요일",13시~14시,1,14.29,1.3,330,330,0,0
"목요일",14시~15시,0,0,1.2,0,0,0,0
"목요일",15시~16시,2,11.12,1.1,281,561,0,0
"목요일",16시~17시,0,0,2,0,0,0,0
"목요일",17시~18시,1,7.7,1.2,264,264,0,0
"목요일",18시~19시,2,20,1.3,363,726,0,0
"목요일",19시~20시,2,20,1.3,"1,887","3,773",0,0
"목요일",20시~21시,0,0,1.4,0,0,0,0
"목요일",21시~22시,1,16.67,1.2,77,77,0,0
"목요일",22시~23시,1,8.34,1.2,297,297,0,0
"목요일",23시~00시,0,0,1.2,0,0,0,0
"금요일",00시~01시,0,0,2,0,0,0,0
"금요일",01시~02시,0,0,1.3,0,0,0,0
"금요일",02시~03시,0,0,1,0,0,0,0
