"요일별보고서(2025.06.01.~2025.06.30.),kimgr7:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,2,1.43,6.1,314,627,0,0
"월요일",01시~02시,1,2.78,8.2,275,275,0,0
"월요일",02시~03시,0,0,8.8,0,0,0,0
"월요일",03시~04시,1,2.71,8.9,264,264,0,0
"월요일",04시~05시,0,0,8.9,0,0,0,0
"월요일",05시~06시,0,0,8.7,0,0,0,0
"월요일",06시~07시,0,0,8.7,0,0,0,0
"월요일",07시~08시,1,1.59,6.5,286,286,0,0
"월요일",08시~09시,0,0,7.2,0,0,0,0
"월요일",09시~10시,0,0,5.6,0,0,0,0
"월요일",10시~11시,1,0.64,5.9,275,275,0,0
"월요일",11시~12시,0,0,5.7,0,0,0,0
"월요일",12시~13시,1,0.9,5.4,286,286,0,0
"월요일",13시~14시,0,0,5.1,0,0,0,0
"월요일",14시~15시,0,0,5.9,0,0,0,0
"월요일",15시~16시,2,3.28,5.3,484,968,0,0
"월요일",16시~17시,0,0,4.3,0,0,0,0
"월요일",17시~18시,1,1.21,5,341,341,0,0
"월요일",18시~19시,0,0,4.5,0,0,0,0
"월요일",19시~20시,0,0,5.5,0,0,0,0
"월요일",20시~21시,0,0,7.3,0,0,0,0
"월요일",21시~22시,0,0,6.8,0,0,0,0
"월요일",22시~23시,0,0,8,0,0,0,0
"월요일",23시~00시,0,0,7,0,0,0,0
"화요일",00시~01시,0,0,6.6,0,0,0,0
"화요일",01시~02시,1,3.85,7.4,825,825,0,0
"화요일",02시~03시,1,4.17,9,286,286,0,0
"화요일",03시~04시,0,0,8.9,0,0,0,0
"화요일",04시~05시,0,0,8.7,0,0,0,0
"화요일",05시~06시,0,0,9.3,0,0,0,0
"화요일",06시~07시,0,0,8.4,0,0,0,0
"화요일",07시~08시,0,0,6.4,0,0,0,0
"화요일",08시~09시,0,0,7.6,0,0,0,0
"화요일",09시~10시,1,2.09,5.4,308,308,0,0
"화요일",10시~11시,1,1.43,7.3,77,77,0,0
"화요일",11시~12시,1,1.34,6.9,286,286,0,0
"화요일",12시~13시,1,2.05,5.3,330,330,0,0
"화요일",13시~14시,1,1.03,6.6,352,352,0,0
"화요일",14시~15시,3,3.16,5.5,227,682,0,0
"화요일",15시~16시,0,0,7.6,0,0,0,0
"화요일",16시~17시,4,4.94,6.6,190,759,0,0
"화요일",17시~18시,1,1.39,5.9,396,396,0,0
"화요일",18시~19시,0,0,6.2,0,0,0,0
"화요일",19시~20시,0,0,7.5,0,0,0,0
"화요일",20시~21시,0,0,5.4,0,0,0,0
"화요일",21시~22시,0,0,6.9,0,0,0,0
"화요일",22시~23시,0,0,10.1,0,0,0,0
"화요일",23시~00시,0,0,6.6,0,0,0,0
"수요일",00시~01시,0,0,7.4,0,0,0,0
"수요일",01시~02시,0,0,11.7,0,0,0,0
"수요일",02시~03시,1,4.17,7.7,77,77,0,0
"수요일",03시~04시,0,0,9.5,0,0,0,0
"수요일",04시~05시,0,0,8.9,0,0,0,0
"수요일",05시~06시,1,6.25,8.1,319,319,0,0
"수요일",06시~07시,1,4.17,6.7,286,286,0,0
"수요일",07시~08시,0,0,6.1,0,0,0,0
"수요일",08시~09시,2,4.35,6,330,660,0,0
"수요일",09시~10시,2,4.35,5.1,292,583,0,0
"수요일",10시~11시,0,0,5,0,0,0,0
"수요일",11시~12시,0,0,6.6,0,0,0,0
"수요일",12시~13시,0,0,4.6,0,0,0,0
"수요일",13시~14시,0,0,4.7,0,0,0,0
"수요일",14시~15시,0,0,5.8,0,0,0,0
"수요일",15시~16시,0,0,3.8,0,0,0,0
"수요일",16시~17시,2,2.13,6.9,198,396,0,0
"수요일",17시~18시,0,0,6.2,0,0,0,0
"수요일",18시~19시,2,1.97,5.3,330,660,0,0
"수요일",19시~20시,2,2.11,5.6,336,671,0,0
"수요일",20시~21시,0,0,5.2,0,0,0,0
"수요일",21시~22시,0,0,5.9,0,0,0,0
"수요일",22시~23시,0,0,6.5,0,0,0,0
"수요일",23시~00시,0,0,6.2,0,0,0,0
"목요일",00시~01시,0,0,5.1,0,0,0,0
"목요일",01시~02시,0,0,5.8,0,0,0,0
"목요일",02시~03시,0,0,7.7,0,0,0,0
"목요일",03시~04시,1,2.13,7.7,308,308,0,0
"목요일",04시~05시,0,0,7.5,0,0,0,0
"목요일",05시~06시,0,0,8.3,0,0,0,0
"목요일",06시~07시,0,0,7.8,0,0,0,0
"목요일",07시~08시,0,0,7.6,0,0,0,0
"목요일",08시~09시,1,1.29,6.5,77,77,0,0
"목요일",09시~10시,0,0,5,0,0,0,0
"목요일",10시~11시,3,3.49,5.6,323,968,0,0
"목요일",11시~12시,0,0,6.3,0,0,0,0
"목요일",12시~13시,0,0,5.6,0,0,0,0
"목요일",13시~14시,1,0.97,5.9,330,330,0,0
"목요일",14시~15시,0,0,5.7,0,0,0,0
"목요일",15시~16시,0,0,6.4,0,0,0,0
"목요일",16시~17시,2,2.2,5.3,182,363,0,0
"목요일",17시~18시,0,0,5.9,0,0,0,0
"목요일",18시~19시,0,0,4.5,0,0,0,0
"목요일",19시~20시,1,1.09,5.2,297,297,0,0
"목요일",20시~21시,2,2.39,4.5,341,682,0,0
"목요일",21시~22시,0,0,7.3,0,0,0,0
"목요일",22시~23시,0,0,6,0,0,0,0
"목요일",23시~00시,1,0.44,5.1,308,308,0,0
"금요일",00시~01시,0,0,7.1,0,0,0,0
"금요일",01시~02시,0,0,6,0,0,0,0
"금요일",02시~03시,0,0,6.7,0,0,0,0
"금요일",03시~04시,0,0,9.5,0,0,0,0
"금요일",04시~05시,0,0,7.9,0,0,0,0
"금요일",05시~06시,0,0,6.6,0,0,0,0
"금요일",06시~07시,0,0,7.2,0,0,0,0
"금요일",07시~08시,0,0,6.4,0,0,0,0
"금요일",08시~09시,0,0,6.2,0,0,0,0
"금요일",09시~10시,1,1.15,4.6,77,77,0,0
"금요일",10시~11시,2,2.07,8,451,902,0,0
"금요일",11시~12시,0,0,6.1,0,0,0,0
"금요일",12시~13시,0,0,5.5,0,0,0,0
"금요일",13시~14시,0,0,5.4,0,0,0,0
"금요일",14시~15시,0,0,5.2,0,0,0,0
"금요일",15시~16시,0,0,5.2,0,0,0,0
"금요일",16시~17시,0,0,5.2,0,0,0,0
"금요일",17시~18시,1,0.95,4.9,363,363,0,0
"금요일",18시~19시,0,0,6.6,0,0,0,0
"금요일",19시~20시,1,1.22,5.4,275,275,0,0
"금요일",20시~21시,0,0,6,0,0,0,0
"금요일",21시~22시,0,0,6.1,0,0,0,0
"금요일",22시~23시,0,0,5.3,0,0,0,0
"금요일",23시~00시,0,0,5.3,0,0,0,0
"토요일",00시~01시,0,0,6.4,0,0,0,0
"토요일",01시~02시,0,0,7.3,0,0,0,0
"토요일",02시~03시,0,0,8.1,0,0,0,0
"토요일",03시~04시,0,0,7,0,0,0,0
"토요일",04시~05시,0,0,8.8,0,0,0,0
"토요일",05시~06시,0,0,7.9,0,0,0,0
