"요일별보고서(2025.06.01.~2025.06.30.),kongddran:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,6,2.14,1.8,476,"2,855.6",0,0
"월요일",01시~02시,3,1.61,2.8,365,"1,094.5",0,0
"월요일",02시~03시,3,2.28,2.6,287,859.65,0,0
"월요일",03시~04시,2,2.25,2,469,937.2,0,0
"월요일",04시~05시,3,4.42,1.8,478,"1,432.75",0,0
"월요일",05시~06시,0,0,1.9,0,6.6,0,0
"월요일",06시~07시,6,1.87,2.4,266,"1,594.45",0,0
"월요일",07시~08시,12,2.95,2.1,397,"4,762.45",0,0
"월요일",08시~09시,33,4,2.2,351,"11,592.35",0,0
"월요일",09시~10시,25,1.98,1.9,265,"6,635.2",0,0
"월요일",10시~11시,49,2.93,1.9,363,"17,769.95",0,0
"월요일",11시~12시,21,1.57,1.9,258,"5,423.55",0,0
"월요일",12시~13시,20,2.23,1.6,252,"5,047.9",0,0
"월요일",13시~14시,5,0.86,1.3,126,628.65,0,0
"월요일",14시~15시,7,1.16,1.2,151,"1,058.75",0,0
"월요일",15시~16시,7,1.22,1.2,108,755.15,0,0
"월요일",16시~17시,10,1.54,1.3,90,899.8,0,0
"월요일",17시~18시,5,1.05,1.2,89,446.05,0,0
"월요일",18시~19시,5,1.84,1.4,121,606.65,0,0
"월요일",19시~20시,7,7.3,1.6,159,"1,110.45",0,0
"월요일",20시~21시,2,3.04,1.6,199,398.2,0,0
"월요일",21시~22시,10,6.1,4.6,251,"2,510.75",0,0
"월요일",22시~23시,6,3.3,4.5,244,"1,461.35",0,0
"월요일",23시~00시,4,2.2,2.9,285,"1,138.5",0,0
"화요일",00시~01시,7,2.42,2.2,286,"2,005.3",0,0
"화요일",01시~02시,0,0,2.1,0,4.95,0,0
"화요일",02시~03시,1,1.25,1.9,104,103.95,0,0
"화요일",03시~04시,1,2,2,474,474.1,0,0
"화요일",04시~05시,1,1.07,2.3,366,366.3,0,0
"화요일",05시~06시,0,0,1.4,0,4.4,0,0
"화요일",06시~07시,5,2.43,1.5,330,"1,648.35",0,0
"화요일",07시~08시,9,2.79,2.1,278,"2,500.85",0,0
"화요일",08시~09시,9,1.91,2.1,419,"3,766.95",0,0
"화요일",09시~10시,20,2.55,1.8,332,"6,636.85",0,0
"화요일",10시~11시,21,1.8,1.7,381,"7,991.5",0,0
"화요일",11시~12시,21,1.69,2.1,392,"8,224.15",0,0
"화요일",12시~13시,11,1.45,1.7,540,"5,940",0,0
"화요일",13시~14시,6,1.41,1.3,168,"1,008.7",0,0
"화요일",14시~15시,0,0,1.2,0,194.15,0,0
"화요일",15시~16시,7,1.41,1.3,116,810.15,0,0
"화요일",16시~17시,4,0.8,1.3,145,578.05,0,0
"화요일",17시~18시,8,1.8,1.4,163,"1,306.25",0,0
"화요일",18시~19시,7,2.36,1.6,148,"1,034.55",0,0
"화요일",19시~20시,6,4.32,1.6,193,"1,155.55",0,0
"화요일",20시~21시,2,3.18,1.4,84,167.2,0,0
"화요일",21시~22시,2,3.71,1.9,229,458.7,0,0
"화요일",22시~23시,4,15.39,1.7,81,323.95,0,0
