"요일별보고서(2025.06.01.~2025.06.30.),lahaf7:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.58,2.6,"4,158","4,158",0,0
"월요일",01시~02시,0,0,3.5,0,0,0,0
"월요일",02시~03시,0,0,3.5,0,0,0,0
"월요일",03시~04시,2,4.45,3.2,"3,922","7,843",0,0
"월요일",04시~05시,0,0,3.1,0,0,0,0
"월요일",05시~06시,0,0,2.5,0,0,0,0
"월요일",06시~07시,2,1.45,2.5,"4,125","8,250",0,0
"월요일",07시~08시,0,0,2.6,0,0,0,0
"월요일",08시~09시,2,0.87,3.2,"1,980","3,960",0,0
"월요일",09시~10시,1,0.24,3.3,77,77,0,0
"월요일",10시~11시,1,0.16,3.5,"4,169","4,169",0,0
"월요일",11시~12시,2,0.27,3.1,"3,966","7,931",0,0
"월요일",12시~13시,3,0.46,2.9,"1,434","4,301",0,0
"월요일",13시~14시,11,1.43,3.1,"3,649","40,139",0,0
"월요일",14시~15시,6,0.72,3.1,"2,407","14,443",0,0
"월요일",15시~16시,6,0.67,3,"2,176","13,057",0,0
"월요일",16시~17시,5,0.65,2.8,"1,285","6,424",0,0
"월요일",17시~18시,4,0.62,2.7,"2,470","9,878",0,0
"월요일",18시~19시,2,0.41,2.4,"2,404","4,807",0,0
"월요일",19시~20시,5,1,2.4,"3,604","18,018",0,0
"월요일",20시~21시,2,0.54,2.2,"2,332","4,664",0,0
"월요일",21시~22시,1,0.24,2.1,55,55,0,0
"월요일",22시~23시,2,0.5,2.2,"1,964","3,927",0,0
"월요일",23시~00시,0,0,2.1,0,0,0,0
"화요일",00시~01시,1,1.29,3.7,"4,070","4,070",0,0
"화요일",01시~02시,0,0,3.1,0,0,0,0
"화요일",02시~03시,0,0,3.2,0,0,0,0
"화요일",03시~04시,0,0,2.9,0,0,0,0
"화요일",04시~05시,0,0,3.1,0,0,0,0
"화요일",05시~06시,1,2.71,2.5,"4,004","4,004",0,0
"화요일",06시~07시,1,1.22,2.4,"4,125","4,125",0,0
"화요일",07시~08시,1,1.93,3,"3,883","3,883",0,0
"화요일",08시~09시,2,2.28,3.1,"1,821","3,641",0,0
"화요일",09시~10시,2,1,3.4,"2,129","4,257",0,0
"화요일",10시~11시,2,0.65,4,"2,255","4,510",0,0
"화요일",11시~12시,1,0.35,3.2,77,77,0,0
"화요일",12시~13시,3,1.1,3.2,"1,423","4,268",0,0
"화요일",13시~14시,1,0.37,3.6,77,77,0,0
"화요일",14시~15시,0,0,3.1,0,0,0,0
"화요일",15시~16시,2,0.61,3,"2,354","4,708",0,0
"화요일",16시~17시,1,0.26,2.8,"4,059","4,059",0,0
"화요일",17시~18시,2,0.67,2.7,"2,833","5,665",0,0
"화요일",18시~19시,0,0,2.5,0,0,0,0
"화요일",19시~20시,2,1.25,2.8,"2,129","4,257",0,0
"화요일",20시~21시,1,0.47,2.2,"4,048","4,048",0,0
"화요일",21시~22시,2,0.79,2.4,"2,877","5,753",0,0
"화요일",22시~23시,1,0.49,2.2,"4,158","4,158",0,0
"화요일",23시~00시,2,0.85,2.3,"4,087","8,173",0,0
"수요일",00시~01시,2,2.71,2.3,"2,129","4,257",0,0
"수요일",01시~02시,0,0,4.8,0,0,0,0
"수요일",02시~03시,1,0.46,4.3,"4,136","4,136",0,0
"수요일",03시~04시,1,1.39,3.5,"4,048","4,048",0,0
"수요일",04시~05시,0,0,3.3,0,0,0,0
"수요일",05시~06시,0,0,3.5,0,0,0,0
"수요일",06시~07시,1,1.24,2.7,55,55,0,0
"수요일",07시~08시,2,1.82,3,"2,129","4,257",0,0
"수요일",08시~09시,0,0,2.9,0,0,0,0
"수요일",09시~10시,0,0,3.3,0,0,0,0
"수요일",10시~11시,2,0.55,3.4,"4,169","8,338",0,0
"수요일",11시~12시,2,0.61,3.6,"3,988","7,975",0,0
"수요일",12시~13시,2,0.69,3.4,"2,046","4,092",0,0
"수요일",13시~14시,2,0.7,3.5,"2,123","4,246",0,0
"수요일",14시~15시,3,1.52,3.7,"4,114","12,342",0,0
"수요일",15시~16시,1,1.36,3.7,"4,125","4,125",0,0
"수요일",16시~17시,1,1.21,4.3,"3,663","3,663",0,0
"수요일",17시~18시,0,0,4,0,0,0,0
"수요일",18시~19시,0,0,3.8,0,0,0,0
"수요일",19시~20시,1,2.39,3.1,"4,114","4,114",0,0
"수요일",20시~21시,2,3.08,3.8,"2,844","5,687",0,0
"수요일",21시~22시,0,0,2.7,0,0,0,0
"수요일",22시~23시,0,0,2.6,0,0,0,0
"수요일",23시~00시,2,3.18,2,"4,081","8,162",0,0
"목요일",00시~01시,1,2.57,5.6,77,77,0,0
"목요일",01시~02시,0,0,4.3,0,0,0,0
"목요일",02시~03시,1,7.7,3.5,"4,103","4,103",0,0
