"요일별보고서(2025.06.01.~2025.06.30.),leeruri0225:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.52,1.5,130,129.8,0,0
"월요일",01시~02시,0,0,1.7,0,33.55,0,0
"월요일",02시~03시,0,0,1.5,0,1.1,0,0
"월요일",03시~04시,0,0,1.9,0,0,0,0
"월요일",04시~05시,0,0,2.9,0,0,0,0
"월요일",05시~06시,0,0,2.1,0,0,0,0
"월요일",06시~07시,0,0,2.2,0,0,0,0
"월요일",07시~08시,0,0,1.6,0,0,0,0
"월요일",08시~09시,0,0,2.2,0,0,0,0
"월요일",09시~10시,1,0.23,1.7,82,81.95,0,0
"월요일",10시~11시,0,0,1.5,0,90.75,0,0
"월요일",11시~12시,0,0,1.5,0,92.4,0,0
"월요일",12시~13시,0,0,1.4,0,89.1,0,0
"월요일",13시~14시,0,0,1.6,0,79.75,0,0
"월요일",14시~15시,0,0,1.6,0,75.35,0,0
"월요일",15시~16시,0,0,1.5,0,87.45,0,0
"월요일",16시~17시,0,0,1.8,0,83.6,0,0
"월요일",17시~18시,2,0.54,1.7,76,151.8,0,0
"월요일",18시~19시,0,0,1.6,0,71.5,0,0
"월요일",19시~20시,2,0.61,1.5,75,149.6,0,0
"월요일",20시~21시,0,0,1.4,0,74.25,0,0
"월요일",21시~22시,1,0.29,1.5,89,89.1,0,0
"월요일",22시~23시,1,0.33,1.6,228,228.25,0,0
"월요일",23시~00시,0,0,1.7,0,72.05,0,0
"화요일",00시~01시,0,0,1.7,0,26.4,0,0
"화요일",01시~02시,0,0,1.3,0,13.75,0,0
"화요일",02시~03시,0,0,2.5,0,0,0,0
"화요일",03시~04시,0,0,3.6,0,0,0,0
"화요일",04시~05시,0,0,4,0,0,0,0
"화요일",05시~06시,0,0,2.7,0,0,0,0
"화요일",06시~07시,0,0,2.2,0,0,0,0
"화요일",07시~08시,0,0,1.4,0,0,0,0
"화요일",08시~09시,1,1,1.3,77,77,0,0
"화요일",09시~10시,0,0,1.2,0,37.4,0,0
"화요일",10시~11시,0,0,1.3,0,40.15,0,0
"화요일",11시~12시,0,0,1.3,0,39.05,0,0
"화요일",12시~13시,0,0,1.2,0,41.8,0,0
"화요일",13시~14시,0,0,1.2,0,51.7,0,0
"화요일",14시~15시,0,0,1.4,0,47.85,0,0
"화요일",15시~16시,2,0.65,1.3,33,66.55,0,0
"화요일",16시~17시,1,0.28,1.5,68,68.2,0,0
"화요일",17시~18시,0,0,1.4,0,74.25,0,0
"화요일",18시~19시,0,0,1.7,0,53.35,0,0
"화요일",19시~20시,0,0,1.4,0,64.35,0,0
"화요일",20시~21시,0,0,1.4,0,84.7,0,0
"화요일",21시~22시,2,0.79,1.4,42,83.05,0,0
"화요일",22시~23시,2,0.82,1.3,84,168.3,0,0
"화요일",23시~00시,1,0.45,1.3,149,148.5,0,0
"수요일",00시~01시,1,0.63,1.5,59,59.4,0,0
"수요일",01시~02시,1,1.06,1.3,39,39.05,0,0
"수요일",02시~03시,0,0,2.6,0,0,0,0
"수요일",03시~04시,0,0,2.6,0,0,0,0
"수요일",04시~05시,0,0,2.2,0,0,0,0
"수요일",05시~06시,0,0,1.5,0,0,0,0
"수요일",06시~07시,0,0,2.4,0,0,0,0
"수요일",07시~08시,0,0,1.8,0,0,0,0
"수요일",08시~09시,0,0,1.7,0,0,0,0
"수요일",09시~10시,0,0,1.6,0,59.4,0,0
"수요일",10시~11시,0,0,1.5,0,72.6,0,0
"수요일",11시~12시,1,0.4,1.6,192,191.95,0,0
"수요일",12시~13시,1,0.38,1.5,171,170.5,0,0
