"요일별보고서(2025.06.01.~2025.06.30.),lkmforet2:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.59,3.9,75,74.8,0,0
"월요일",01시~02시,0,0,4.4,0,5.5,0,0
"월요일",02시~03시,0,0,3,0,4.4,0,0
"월요일",03시~04시,0,0,3.3,0,4.4,0,0
"월요일",04시~05시,0,0,3.4,0,4.4,0,0
"월요일",05시~06시,0,0,2.6,0,9.35,0,0
"월요일",06시~07시,0,0,2.5,0,15.95,0,0
"월요일",07시~08시,0,0,2.9,0,32.45,0,0
"월요일",08시~09시,2,0.55,2.8,397,793.1,0,0
"월요일",09시~10시,4,0.9,2.8,472,"1,888.7",0,0
"월요일",10시~11시,2,0.36,2.6,"1,186","2,372.15",0,0
"월요일",11시~12시,2,0.37,2.9,283,565.4,0,0
"월요일",12시~13시,3,0.56,2.7,661,"1,982.75",0,0
"월요일",13시~14시,4,0.64,2.6,261,"1,042.25",0,0
"월요일",14시~15시,5,0.8,3,480,"2,400.75",0,0
"월요일",15시~16시,6,0.84,3,306,"1,833.15",0,0
"월요일",16시~17시,4,0.54,3,"1,037","4,148.65",0,0
"월요일",17시~18시,2,0.31,2.7,74,147.95,0,0
"월요일",18시~19시,1,0.19,2.7,718,717.75,0,0
"월요일",19시~20시,1,0.26,2.9,739,739.2,0,0
"월요일",20시~21시,1,0.27,2.7,491,491.15,0,0
"월요일",21시~22시,2,0.67,2.9,498,996.05,0,0
"월요일",22시~23시,3,0.97,2.8,385,"1,156.1",0,0
"월요일",23시~00시,2,0.86,4,316,631.4,0,0
"화요일",00시~01시,0,0,3.9,0,15.4,0,0
"화요일",01시~02시,0,0,3.9,0,8.25,0,0
"화요일",02시~03시,0,0,5,0,6.6,0,0
"화요일",03시~04시,1,3.85,3.7,58,57.75,0,0
"화요일",04시~05시,0,0,3.3,0,6.6,0,0
"화요일",05시~06시,0,0,2.4,0,6.6,0,0
"화요일",06시~07시,0,0,2,0,17.05,0,0
"화요일",07시~08시,0,0,2.7,0,26.4,0,0
"화요일",08시~09시,3,1.37,2.1,836,"2,507.45",0,0
"화요일",09시~10시,3,1.08,2.7,729,"2,187.35",0,0
"화요일",10시~11시,2,0.5,2.8,858,"1,715.45",0,0
"화요일",11시~12시,1,0.25,2.9,124,124.3,0,0
"화요일",12시~13시,3,0.73,2.8,74,223.3,0,0
"화요일",13시~14시,0,0,2.7,0,74.25,0,0
"화요일",14시~15시,1,0.21,2.7,140,140.25,0,0
"화요일",15시~16시,7,1.34,2.6,533,"3,733.95",0,0
"화요일",16시~17시,3,0.6,2.7,594,"1,780.9",0,0
"화요일",17시~18시,1,0.2,3,121,121,0,0
"화요일",18시~19시,0,0,2.9,0,55.55,0,0
"화요일",19시~20시,2,0.6,3,488,976.8,0,0
"화요일",20시~21시,2,0.6,2.8,"1,775","3,550.8",0,0
"화요일",21시~22시,5,1.48,3,241,"1,203.4",0,0
"화요일",22시~23시,4,1.12,2.3,535,"2,138.4",0,0
"화요일",23시~00시,0,0,3.6,0,39.05,0,0
"수요일",00시~01시,4,2.64,3.4,22,86.35,0,0
"수요일",01시~02시,1,1.24,2.9,70,70.4,0,0
"수요일",02시~03시,1,1.18,4,72,71.5,0,0
"수요일",03시~04시,0,0,3.4,0,6.05,0,0
"수요일",04시~05시,0,0,2.3,0,9.35,0,0
"수요일",05시~06시,0,0,2.3,0,13.75,0,0
"수요일",06시~07시,0,0,2,0,27.5,0,0
"수요일",07시~08시,0,0,2.3,0,40.7,0,0
"수요일",08시~09시,1,0.27,2.4,127,127.05,0,0
"수요일",09시~10시,0,0,2.5,0,84.15,0,0
"수요일",10시~11시,2,0.38,2.9,811,"1,621.95",0,0
"수요일",11시~12시,4,0.76,2.6,449,"1,795.2",0,0
"수요일",12시~13시,5,1,2.4,380,"1,899.7",0,0
"수요일",13시~14시,2,0.36,2.5,459,917.95,0,0
"수요일",14시~15시,5,0.87,2.6,963,"4,816.35",0,0
"수요일",15시~16시,3,0.56,2.7,"1,224","3,671.8",0,0
"수요일",16시~17시,2,0.41,2.4,344,688.6,0,0
"수요일",17시~18시,2,0.42,2.6,381,761.75,0,0
"수요일",18시~19시,1,0.29,2.6,119,119.35,0,0
"수요일",19시~20시,1,0.4,2.2,718,718.3,0,0
"수요일",20시~21시,4,1.45,3.1,198,792,0,0
"수요일",21시~22시,2,0.76,3.1,"1,270","2,540.45",0,0
"수요일",22시~23시,2,0.6,3.2,731,"1,462.45",0,0
"수요일",23시~00시,2,0.94,4.2,394,787.05,0,0
"목요일",00시~01시,0,0,3.3,0,19.8,0,0
"목요일",01시~02시,0,0,4.4,0,13.75,0,0
"목요일",02시~03시,0,0,3.3,0,8.8,0,0
"목요일",03시~04시,0,0,2.8,0,7.7,0,0
"목요일",04시~05시,0,0,3,0,7.7,0,0
"목요일",05시~06시,0,0,2.9,0,9.9,0,0
"목요일",06시~07시,0,0,2.2,0,24.75,0,0
"목요일",07시~08시,1,0.65,2.1,469,469.15,0,0
"목요일",08시~09시,0,0,2.4,0,58.85,0,0
"목요일",09시~10시,3,0.7,2.4,462,"1,384.9",0,0
"목요일",10시~11시,1,0.21,2.7,"1,853","1,852.95",0,0
"목요일",11시~12시,0,0,2.3,0,99.55,0,0
"목요일",12시~13시,1,0.23,2.4,708,708.4,0,0
"목요일",13시~14시,7,1.2,2.6,380,"2,657.05",0,0
"목요일",14시~15시,2,0.34,2.6,413,825.55,0,0
"목요일",15시~16시,4,0.78,2.7,423,"1,692.9",0,0
"목요일",16시~17시,4,0.62,2.5,409,"1,635.7",0,0
"목요일",17시~18시,2,0.37,2.6,335,670.45,0,0
"목요일",18시~19시,2,0.46,2.6,436,872.3,0,0
"목요일",19시~20시,0,0,3.2,0,31.9,0,0
"목요일",20시~21시,2,0.66,2.6,148,295.35,0,0
"목요일",21시~22시,3,0.82,2.8,330,988.9,0,0
