"요일별보고서(2025.06.01.~2025.06.30.),lovenp2ace:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,2.2,0,0,0,0
"월요일",04시~05시,0,0,2,0,0,0,0
"월요일",05시~06시,0,0,1,0,0,0,0
"월요일",06시~07시,0,0,1,0,0,0,0
"월요일",08시~09시,0,0,1,0,0,0,0
"월요일",09시~10시,2,0.8,1.4,875,"1,749",0,0
"월요일",10시~11시,1,0.28,1.7,880,880,0,0
"월요일",11시~12시,31,0.72,2.4,622,"19,272",0,0
"월요일",12시~13시,33,0.84,2.1,512,"16,907",0,0
"월요일",13시~14시,29,0.77,2.2,581,"16,841",0,0
"월요일",14시~15시,5,1.39,1.7,587,"2,937",0,0
"월요일",15시~16시,3,0.82,1.7,348,"1,045",0,0
"월요일",16시~17시,3,0.73,1.6,920,"2,761",0,0
"월요일",17시~18시,21,0.46,2,540,"11,330",0,0
"월요일",18시~19시,31,0.73,2,554,"17,160",0,0
"월요일",19시~20시,25,0.72,1.8,588,"14,696",0,0
"월요일",20시~21시,0,0,1.8,0,0,0,0
"월요일",21시~22시,0,0,1.5,0,0,0,0
"월요일",22시~23시,0,0,2.4,0,0,0,0
"월요일",23시~00시,0,0,2,0,0,0,0
"화요일",00시~01시,0,0,2.5,0,0,0,0
"화요일",02시~03시,0,0,3,0,0,0,0
"화요일",06시~07시,0,0,2,0,0,0,0
"화요일",07시~08시,0,0,3,0,0,0,0
"화요일",08시~09시,0,0,2.4,0,0,0,0
"화요일",09시~10시,1,0.61,1.6,"1,276","1,276",0,0
"화요일",10시~11시,1,0.39,1.8,913,913,0,0
"화요일",11시~12시,30,1,2.4,634,"19,019",0,0
"화요일",12시~13시,20,0.71,2.3,481,"9,625",0,0
"화요일",13시~14시,12,0.49,2.1,556,"6,666",0,0
"화요일",14시~15시,1,0.44,1.7,462,462,0,0
"화요일",15시~16시,0,0,1.9,0,0,0,0
"화요일",16시~17시,3,1.32,1.7,884,"2,651",0,0
"화요일",17시~18시,8,0.52,2,679,"5,434",0,0
"화요일",18시~19시,9,0.67,2,713,"6,413",0,0
"화요일",19시~20시,0,0,1.7,0,0,0,0
"화요일",20시~21시,0,0,1.7,0,0,0,0
"화요일",21시~22시,0,0,3,0,0,0,0
"화요일",22시~23시,0,0,1,0,0,0,0
"화요일",23시~00시,0,0,2,0,0,0,0
"수요일",00시~01시,0,0,1,0,0,0,0
"수요일",01시~02시,0,0,2,0,0,0,0
"수요일",02시~03시,0,0,1,0,0,0,0
"수요일",03시~04시,0,0,3,0,0,0,0
"수요일",06시~07시,0,0,1,0,0,0,0
"수요일",07시~08시,0,0,1,0,0,0,0
"수요일",08시~09시,0,0,2,0,0,0,0
"수요일",09시~10시,0,0,1.5,0,0,0,0
"수요일",10시~11시,0,0,1.6,0,0,0,0
"수요일",11시~12시,6,0.55,2.2,772,"4,631",0,0
"수요일",12시~13시,27,1.27,2.2,884,"23,859",0,0
"수요일",13시~14시,7,0.61,2.1,781,"5,467",0,0
"수요일",14시~15시,1,0.52,1.8,187,187,0,0
"수요일",15시~16시,0,0,1.8,0,0,0,0
"수요일",16시~17시,3,1,1.6,645,"1,936",0,0
"수요일",17시~18시,23,0.97,1.9,640,"14,729",0,0
"수요일",18시~19시,13,0.54,2.2,817,"10,626",0,0
"수요일",19시~20시,19,0.94,2,624,"11,858",0,0
"수요일",20시~21시,0,0,1.5,0,0,0,0
"수요일",21시~22시,0,0,1,0,0,0,0
"수요일",22시~23시,0,0,1,0,0,0,0
"수요일",23시~00시,0,0,1.5,0,0,0,0
"목요일",09시~10시,1,0.52,1.8,330,330,0,0
"목요일",10시~11시,4,1.39,1.9,495,"1,980",0,0
"목요일",11시~12시,43,1.05,2.3,746,"32,065",0,0
"목요일",12시~13시,33,0.87,2,715,"23,595",0,0
"목요일",13시~14시,19,0.67,2.1,558,"10,604",0,0
"목요일",14시~15시,3,1.2,2,785,"2,354",0,0
"목요일",15시~16시,1,0.39,1.8,374,374,0,0
"목요일",16시~17시,4,1.17,1.8,677,"2,706",0,0
"목요일",17시~18시,34,0.94,2,573,"19,470",0,0
"목요일",18시~19시,18,1.14,2.2,717,"12,903",0,0
"목요일",19시~20시,0,0,1.9,0,0,0,0
"목요일",20시~21시,0,0,1.6,0,0,0,0
"목요일",21시~22시,0,0,1,0,0,0,0
"목요일",22시~23시,0,0,2,0,0,0,0
"목요일",23시~00시,0,0,1,0,0,0,0
"금요일",07시~08시,0,0,1.8,0,0,0,0
"금요일",08시~09시,0,0,2,0,0,0,0
"금요일",09시~10시,0,0,1.9,0,0,0,0
"금요일",10시~11시,1,0.7,2.2,770,770,0,0
"금요일",11시~12시,14,0.76,2.4,697,"9,757",0,0
"금요일",12시~13시,19,0.82,2.2,628,"11,924",0,0
"금요일",13시~14시,16,0.78,2.3,509,"8,151",0,0
"금요일",14시~15시,0,0,1.9,0,0,0,0
"금요일",15시~16시,2,0.83,1.8,545,"1,089",0,0
"금요일",16시~17시,3,0.9,1.6,609,"1,826",0,0
"금요일",17시~18시,15,0.63,2.4,676,"10,142",0,0
"금요일",18시~19시,15,0.76,2.1,595,"8,921",0,0
"금요일",19시~20시,16,0.83,2.1,550,"8,800",0,0
"금요일",20시~21시,0,0,3,0,0,0,0
