"요일별보고서(2025.06.01.~2025.06.30.),miniqwe:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,5,1.23,2.2,278,"1,389.3",0,0
"월요일",01시~02시,2,0.96,2.2,81,162.8,0,0
"월요일",02시~03시,4,2.65,2.6,92,367.95,0,0
"월요일",03시~04시,0,0,2.4,0,7.15,0,0
"월요일",04시~05시,0,0,2.1,0,4.4,0,0
"월요일",05시~06시,1,1.29,2.5,83,83.05,0,0
"월요일",06시~07시,3,1.94,2.2,161,483.45,0,0
"월요일",07시~08시,0,0,2.1,0,21.45,0,0
"월요일",08시~09시,0,0,2.5,0,21.45,0,0
"월요일",09시~10시,6,1.57,2.5,189,"1,131.35",0,0
"월요일",10시~11시,5,1.1,2.8,173,867.35,0,0
"월요일",11시~12시,11,2.12,2.5,152,"1,676.4",0,0
"월요일",12시~13시,4,0.88,2.6,145,579.15,0,0
"월요일",13시~14시,10,1.76,2.5,130,"1,299.65",0,0
"월요일",14시~15시,4,0.67,2.8,264,"1,055.45",0,0
"월요일",15시~16시,9,1.44,2.5,129,"1,157.75",0,0
"월요일",16시~17시,6,0.92,2.7,248,"1,489.4",0,0
"월요일",17시~18시,9,1.62,2.6,327,"2,947.45",0,0
"월요일",18시~19시,10,2.17,2.4,207,"2,072.4",0,0
"월요일",19시~20시,8,1.82,2.4,94,752.95,0,0
"월요일",20시~21시,5,0.81,2.4,237,"1,184.15",0,0
"월요일",21시~22시,11,1.56,2.2,219,"2,410.65",0,0
"월요일",22시~23시,5,0.69,2.2,307,"1,533.4",0,0
"월요일",23시~00시,6,0.95,2.2,248,"1,486.1",0,0
"화요일",00시~01시,5,1.52,2,178,891.55,0,0
"화요일",01시~02시,2,1.3,2.3,147,293.7,0,0
"화요일",02시~03시,0,0,2.3,0,5.5,0,0
"화요일",03시~04시,0,0,2.3,0,4.95,0,0
"화요일",04시~05시,0,0,2.1,0,10.45,0,0
"화요일",05시~06시,2,2.64,2,97,194.7,0,0
"화요일",06시~07시,3,1.81,2,119,356.4,0,0
"화요일",07시~08시,2,0.79,2,379,757.35,0,0
"화요일",08시~09시,2,0.74,2.4,413,826.1,0,0
"화요일",09시~10시,5,1.48,2.3,410,"2,050.95",0,0
"화요일",10시~11시,3,0.76,2.2,83,250.25,0,0
"화요일",11시~12시,7,1.7,2.5,183,"1,279.85",0,0
"화요일",12시~13시,10,2.85,2.5,311,"3,105.85",0,0
"화요일",13시~14시,8,1.7,2.5,244,"1,953.6",0,0
"화요일",14시~15시,8,1.91,2.6,192,"1,535.05",0,0
"화요일",15시~16시,10,2.15,2.4,325,"3,246.65",0,0
"화요일",16시~17시,5,1.09,2.3,339,"1,694",0,0
"화요일",17시~18시,7,1.74,2.5,169,"1,184.7",0,0
"화요일",18시~19시,7,2.09,2.3,175,"1,224.3",0,0
"화요일",19시~20시,5,1.54,2.3,141,706.2,0,0
"화요일",20시~21시,6,1.27,2.3,101,606.65,0,0
"화요일",21시~22시,10,2.05,2.2,317,"3,165.8",0,0
"화요일",22시~23시,5,0.95,2.2,166,831.05,0,0
"화요일",23시~00시,2,0.43,2.1,51,101.75,0,0
"수요일",00시~01시,2,0.64,2,86,172.15,0,0
"수요일",01시~02시,0,0,2.4,0,8.25,0,0
"수요일",02시~03시,2,2.23,2.6,152,304.7,0,0
"수요일",03시~04시,1,2.13,2.2,84,84.15,0,0
"수요일",04시~05시,0,0,2.9,0,7.7,0,0
"수요일",05시~06시,1,1.25,2,210,209.55,0,0
"수요일",06시~07시,0,0,1.9,0,17.6,0,0
"수요일",07시~08시,3,1.75,2,205,613.8,0,0
"수요일",08시~09시,2,0.99,2.8,234,467.5,0,0
"수요일",09시~10시,5,1.57,2.8,378,"1,888.15",0,0
"수요일",10시~11시,5,1.45,2.9,116,578.6,0,0
"수요일",11시~12시,0,0,2.8,0,14.3,0,0
"수요일",12시~13시,4,1.06,2.7,73,291.5,0,0
"수요일",13시~14시,4,1.03,2.6,230,918.5,0,0
"수요일",14시~15시,1,0.26,2.8,96,96.25,0,0
"수요일",15시~16시,10,2.18,2.8,271,"2,708.75",0,0
"수요일",16시~17시,6,1.3,3.1,212,"1,274.9",0,0
"수요일",17시~18시,6,1.62,2.7,278,"1,667.6",0,0
"수요일",18시~19시,5,1.75,2.5,161,805.75,0,0
"수요일",19시~20시,7,2.6,2.6,159,"1,115.95",0,0
"수요일",20시~21시,4,1.17,2.3,128,512.05,0,0
"수요일",21시~22시,7,1.78,2.5,267,"1,866.15",0,0
"수요일",22시~23시,10,1.97,2.4,232,"2,319.35",0,0
"수요일",23시~00시,5,1.12,2.2,285,"1,425.6",0,0
"목요일",00시~01시,3,1.16,2.1,100,298.65,0,0
"목요일",01시~02시,1,0.92,2.4,272,272.25,0,0
"목요일",02시~03시,1,1.5,2.5,3,3.3,0,0
"목요일",03시~04시,1,1.67,2.7,83,82.5,0,0
"목요일",04시~05시,0,0,1.8,0,5.5,0,0
"목요일",05시~06시,0,0,1.8,0,5.5,0,0
"목요일",06시~07시,2,1.89,2.1,390,780.45,0,0
"목요일",07시~08시,0,0,1.9,0,15.4,0,0
"목요일",08시~09시,6,2.9,2.7,110,658.9,0,0
"목요일",09시~10시,2,0.63,2.6,172,343.75,0,0
"목요일",10시~11시,5,1.43,2.8,142,710.05,0,0
"목요일",11시~12시,6,1.76,2.8,519,"3,112.45",0,0
"목요일",12시~13시,5,1.74,2.6,252,"1,260.05",0,0
"목요일",13시~14시,6,1.68,2.4,244,"1,466.85",0,0
"목요일",14시~15시,6,1.35,2.8,117,702.9,0,0
"목요일",15시~16시,7,1.73,2.9,221,"1,546.05",0,0
"목요일",16시~17시,4,0.93,3,230,919.05,0,0
"목요일",17시~18시,6,1.76,2.6,282,"1,693.45",0,0
"목요일",18시~19시,1,0.34,2.5,91,91.3,0,0
"목요일",19시~20시,8,2.59,2.3,232,"1,859",0,0
"목요일",20시~21시,5,1.27,2.4,342,"1,708.85",0,0
"목요일",21시~22시,11,2.14,2.2,292,"3,209.8",0,0
"목요일",22시~23시,6,1.22,2.3,346,"2,074.6",0,0
"목요일",23시~00시,3,0.67,2.3,78,233.2,0,0
"금요일",00시~01시,3,1.02,2.3,129,387.75,0,0
"금요일",01시~02시,2,1.24,2.2,286,572,0,0
"금요일",02시~03시,0,0,2.2,0,3.3,0,0
"금요일",03시~04시,0,0,2.1,0,2.2,0,0
"금요일",04시~05시,0,0,2.4,0,4.4,0,0
"금요일",05시~06시,1,0.93,2,85,85.25,0,0
"금요일",06시~07시,5,3.09,2.1,189,947.1,0,0
"금요일",07시~08시,3,1.2,1.9,215,644.05,0,0
"금요일",08시~09시,3,1.04,2.4,118,353.65,0,0
"금요일",09시~10시,2,0.64,2.5,309,618.75,0,0
"금요일",10시~11시,7,1.84,2.3,248,"1,736.35",0,0
"금요일",11시~12시,6,1.69,2.5,89,533.5,0,0
"금요일",12시~13시,6,1.74,3,228,"1,366.2",0,0
"금요일",13시~14시,2,0.44,2.7,257,514.8,0,0
"금요일",14시~15시,7,1.7,2.5,376,"2,630.1",0,0
"금요일",15시~16시,7,1.78,2.7,299,"2,093.3",0,0
"금요일",16시~17시,2,0.48,2.5,235,469.15,0,0
"금요일",17시~18시,6,1.48,2.4,192,"1,150.6",0,0
"금요일",18시~19시,11,2.97,2.4,212,"2,332.55",0,0
"금요일",19시~20시,5,1.28,2.4,181,904.2,0,0
"금요일",20시~21시,6,1.38,2.4,335,"2,011.9",0,0
"금요일",21시~22시,8,1.62,2.2,235,"1,876.05",0,0
"금요일",22시~23시,4,0.78,2.3,158,630.3,0,0
"금요일",23시~00시,8,1.68,2.2,214,"1,714.35",0,0
"토요일",00시~01시,6,1.9,2.2,312,"1,869.45",0,0
"토요일",01시~02시,1,0.62,2.1,116,115.5,0,0
"토요일",02시~03시,1,0.77,2.3,84,83.6,0,0
"토요일",03시~04시,0,0,2,0,6.05,0,0
"토요일",04시~05시,0,0,2.8,0,2.75,0,0
"토요일",05시~06시,2,2.2,1.9,98,195.25,0,0
"토요일",06시~07시,0,0,2.1,0,8.8,0,0
"토요일",07시~08시,3,1.29,2,330,989.45,0,0
