"요일별보고서(2025.06.01.~2025.06.30.),miraclesports:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,9,1.08,1.9,270,"2,431",0,0
"월요일",01시~02시,2,0.5,2,132,264,0,0
"월요일",02시~03시,1,0.33,1.9,187,187,0,0
"월요일",03시~04시,0,0,2,0,0,0,0
"월요일",04시~05시,1,0.42,2.2,66,66,0,0
"월요일",05시~06시,2,0.62,2.1,215,429,0,0
"월요일",06시~07시,8,1.46,1.7,128,"1,023",0,0
"월요일",07시~08시,3,0.46,1.9,367,"1,100",0,0
"월요일",08시~09시,4,0.48,1.7,132,528,0,0
"월요일",09시~10시,7,0.78,1.8,302,"2,112",0,0
"월요일",10시~11시,10,0.94,1.8,284,"2,838",0,0
"월요일",11시~12시,10,0.79,1.8,205,"2,046",0,0
"월요일",12시~13시,5,0.43,1.7,354,"1,771",0,0
"월요일",13시~14시,19,1.36,1.6,290,"5,511",0,0
"월요일",14시~15시,6,0.5,1.7,136,814,0,0
"월요일",15시~16시,15,1.16,1.7,235,"3,520",0,0
"월요일",16시~17시,15,1.11,1.7,229,"3,432",0,0
"월요일",17시~18시,18,1.25,1.7,288,"5,181",0,0
"월요일",18시~19시,11,0.92,1.7,361,"3,971",0,0
"월요일",19시~20시,11,0.93,1.7,228,"2,508",0,0
"월요일",20시~21시,9,0.79,1.8,411,"3,696",0,0
"월요일",21시~22시,10,0.74,1.6,312,"3,124",0,0
"월요일",22시~23시,10,0.82,1.5,176,"1,760",0,0
"월요일",23시~00시,3,0.24,1.6,191,572,0,0
"화요일",00시~01시,2,0.27,1.5,589,"1,177",0,0
"화요일",01시~02시,3,0.64,1.6,92,275,0,0
"화요일",02시~03시,0,0,1.7,0,0,0,0
"화요일",03시~04시,2,0.83,1.8,88,176,0,0
"화요일",04시~05시,0,0,1.8,0,0,0,0
"화요일",05시~06시,1,0.32,1.7,495,495,0,0
"화요일",06시~07시,2,0.45,1.6,286,572,0,0
"화요일",07시~08시,3,0.56,1.6,95,286,0,0
"화요일",08시~09시,6,0.82,1.7,226,"1,353",0,0
"화요일",09시~10시,2,0.25,1.7,220,440,0,0
"화요일",10시~11시,2,0.24,1.8,303,605,0,0
