"요일별보고서(2025.06.01.~2025.06.30.),mircan:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,5,0,0,0,0
"월요일",01시~02시,4,1.47,4.5,"1,111","4,444",0,0
"월요일",02시~03시,1,0.87,3.2,"1,408","1,408",0,0
"월요일",03시~04시,2,1.57,2.9,"1,188","2,376",0,0
"월요일",04시~05시,5,3.29,6.3,"1,232","6,160",0,0
"월요일",05시~06시,6,4.26,2.8,"1,106","6,633",0,0
"월요일",06시~07시,8,3.91,2.6,"1,310","10,483",0,0
"월요일",07시~08시,3,1.49,3.6,869,"2,607",0,0
"월요일",08시~09시,13,2.06,2.9,"1,119","14,542",0,0
"월요일",09시~10시,21,2.91,3.2,"1,244","26,114",0,0
"월요일",10시~11시,14,1.74,2.6,957,"13,398",0,0
"월요일",11시~12시,16,2.1,3.3,"1,225","19,602",0,0
"월요일",12시~13시,12,1.53,3.1,"1,271","15,257",0,0
"월요일",13시~14시,17,2.49,3.5,"1,036","17,611",0,0
"월요일",14시~15시,13,1.58,3.6,"1,077","14,003",0,0
"월요일",15시~16시,12,4.77,3.5,858,"10,296",0,0
"월요일",16시~17시,9,8.04,5.9,764,"6,875",0,0
"월요일",17시~18시,5,4.51,4,768,"3,839",0,0
"월요일",18시~19시,1,1.52,2.6,726,726,0,0
"월요일",19시~20시,3,5.36,2.5,326,979,0,0
"월요일",20시~21시,4,6.78,2.4,828,"3,311",0,0
"월요일",21시~22시,0,0,2.2,0,0,0,0
"월요일",22시~23시,1,3.45,3,"1,100","1,100",0,0
"월요일",23시~00시,1,4.35,4.1,968,968,0,0
"화요일",00시~01시,2,11.12,2.6,726,"1,452",0,0
"화요일",01시~02시,1,0.93,4.1,"1,056","1,056",0,0
"화요일",02시~03시,4,3.11,2.1,"1,309","5,236",0,0
"화요일",03시~04시,3,4.35,2.6,"1,434","4,301",0,0
"화요일",04시~05시,0,0,1.7,0,0,0,0
"화요일",05시~06시,5,4.32,3.9,"1,098","5,489",0,0
"화요일",06시~07시,8,2.97,4.5,"1,260","10,076",0,0
"화요일",07시~08시,7,1.88,3.8,"1,276","8,932",0,0
"화요일",08시~09시,5,1.16,3.2,"1,351","6,754",0,0
"화요일",09시~10시,10,1.9,3.2,"1,337","13,365",0,0
"화요일",10시~11시,17,2.33,3.3,"1,256","21,351",0,0
"화요일",11시~12시,17,3.06,3,"1,342","22,814",0,0
"화요일",12시~13시,6,1.47,2.7,"1,247","7,480",0,0
"화요일",13시~14시,8,3.89,2.1,"1,181","9,449",0,0
"화요일",14시~15시,5,2.05,3.4,733,"3,663",0,0
"화요일",15시~16시,4,1.75,3.8,"1,276","5,104",0,0
"화요일",16시~17시,6,2.4,3.4,713,"4,279",0,0
"화요일",17시~18시,8,4.17,3.3,791,"6,325",1,"390,000"
"화요일",18시~19시,3,11.54,2.8,968,"2,904",0,0
"화요일",19시~20시,2,11.12,3,"1,023","2,046",0,0
"화요일",20시~21시,1,3.13,3.2,121,121,0,0
"화요일",21시~22시,2,7.41,4.3,319,638,0,0
"화요일",22시~23시,3,11.54,2,763,"2,288",0,0
"화요일",23시~00시,1,16.67,2.3,946,946,0,0
"수요일",00시~01시,0,0,3.1,0,0,0,0
"수요일",01시~02시,3,2.92,2.2,"1,170","3,509",0,0
"수요일",02시~03시,1,0.87,2.5,990,990,0,0
"수요일",03시~04시,1,1.79,2.8,"1,166","1,166",0,0
"수요일",04시~05시,2,2.78,1.8,"1,298","2,596",0,0
"수요일",05시~06시,1,0.85,2.6,"1,463","1,463",0,0
"수요일",06시~07시,1,0.8,3.1,308,308,0,0
