"요일별보고서(2025.06.01.~2025.06.30.),mis3497:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,2,0.44,2.5,363,726,0,0
"월요일",01시~02시,3,1.12,3.1,260,781,0,0
"월요일",02시~03시,1,0.54,2.8,407,407,0,0
"월요일",03시~04시,1,0.72,2.4,220,220,0,0
"월요일",04시~05시,0,0,2.2,0,0,0,0
"월요일",05시~06시,0,0,2.2,0,0,0,0
"월요일",06시~07시,1,0.4,2.3,407,407,0,0
"월요일",07시~08시,1,0.29,2.6,396,396,0,0
"월요일",08시~09시,3,0.52,3,598,"1,793",0,0
"월요일",09시~10시,8,0.63,2.6,287,"2,299",0,0
"월요일",10시~11시,12,0.67,2.4,292,"3,498",0,0
"월요일",11시~12시,7,0.36,2.7,236,"1,650",0,0
"월요일",12시~13시,5,0.36,2.7,376,"1,881",0,0
"월요일",13시~14시,9,0.64,2.6,362,"3,256",0,0
"월요일",14시~15시,7,0.42,2.2,374,"2,618",0,0
"월요일",15시~16시,6,0.32,2.1,392,"2,354",0,0
"월요일",16시~17시,14,0.58,2.2,395,"5,533",0,0
"월요일",17시~18시,14,0.65,2.7,306,"4,290",0,0
"월요일",18시~19시,11,0.62,2.7,385,"4,235",0,0
"월요일",19시~20시,13,0.77,2.5,308,"4,004",0,0
"월요일",20시~21시,6,0.42,2,365,"2,189",0,0
"월요일",21시~22시,15,1,1.9,333,"4,994",0,0
"월요일",22시~23시,10,0.66,1.9,241,"2,409",0,0
"월요일",23시~00시,4,0.32,1.8,250,"1,001",0,0
"화요일",00시~01시,1,0.23,2.5,319,319,0,0
"화요일",01시~02시,2,0.71,3.1,418,836,0,0
"화요일",02시~03시,1,0.54,2.9,308,308,0,0
"화요일",03시~04시,0,0,2.9,0,0,0,0
"화요일",04시~05시,1,0.85,2.7,396,396,0,0
"화요일",05시~06시,1,0.59,2.4,341,341,0,0
"화요일",06시~07시,0,0,2.5,0,0,0,0
"화요일",07시~08시,4,1.06,2.8,446,"1,782",0,0
"화요일",08시~09시,2,0.31,2.9,418,836,0,0
"화요일",09시~10시,5,0.37,2.7,299,"1,496",0,0
"화요일",10시~11시,8,0.46,2.5,408,"3,267",0,0
"화요일",11시~12시,13,0.62,2.7,344,"4,466",0,0
"화요일",12시~13시,4,0.27,2.7,272,"1,089",0,0
"화요일",13시~14시,7,0.49,2.6,255,"1,782",0,0
"화요일",14시~15시,13,0.68,2.2,336,"4,367",0,0
"화요일",15시~16시,8,0.51,2.3,360,"2,882",0,0
"화요일",16시~17시,14,0.71,2.3,347,"4,862",0,0
"화요일",17시~18시,7,0.38,2.6,317,"2,222",0,0
"화요일",18시~19시,6,0.55,2.7,345,"2,068",0,0
"화요일",19시~20시,4,0.43,2.9,184,737,0,0
