"요일별보고서(2025.06.01.~2025.06.30.),ndh5622:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,5.7,0,0,0,0
"월요일",01시~02시,0,0,8,0,0,0,0
"월요일",02시~03시,0,0,1,0,0,0,0
"월요일",04시~05시,2,20,1.5,77,154,0,0
"월요일",05시~06시,1,1.62,1.9,198,198,0,0
"월요일",06시~07시,6,11.33,2.8,810,"4,862",0,0
"월요일",07시~08시,3,4.55,3,"1,701","5,104",0,0
"월요일",08시~09시,4,5.89,3,811,"3,245",0,0
"월요일",09시~10시,3,4.48,3.3,"1,239","3,718",0,0
"월요일",10시~11시,7,7.87,3.2,"1,221","8,547",0,0
"월요일",11시~12시,4,3.48,2.5,630,"2,519",0,0
"월요일",12시~13시,8,8.17,3,"1,580","12,639",0,0
"월요일",13시~14시,7,6.61,2.7,"1,410","9,867",0,0
"월요일",14시~15시,12,11.33,2.8,"1,587","19,041",0,0
"월요일",15시~16시,5,4.04,2.5,975,"4,873",0,0
"월요일",16시~17시,9,7.7,2.6,634,"5,709",0,0
"월요일",17시~18시,7,8.05,2.4,814,"5,698",0,0
"월요일",18시~19시,6,5.31,2,"1,250","7,502",0,0
"월요일",19시~20시,2,2.11,1.7,"1,474","2,948",0,0
"월요일",20시~21시,1,33.34,1,121,121,0,0
"월요일",21시~22시,0,0,4.3,0,0,0,0
"월요일",22시~23시,0,0,2,0,0,0,0
"월요일",23시~00시,0,0,3,0,0,0,0
"화요일",04시~05시,0,0,6,0,0,0,0
"화요일",05시~06시,2,6.07,2.4,138,275,0,0
"화요일",06시~07시,1,3.34,2.6,"2,189","2,189",0,0
"화요일",07시~08시,4,9.53,2.7,"1,125","4,499",0,0
"화요일",08시~09시,2,9.53,2.5,"2,393","4,785",0,0
"화요일",09시~10시,3,4.69,3.2,"1,745","5,236",0,0
"화요일",10시~11시,6,5.22,2.4,"1,723","10,340",0,0
"화요일",11시~12시,10,12.83,2.5,"1,290","12,903",0,0
"화요일",12시~13시,2,3.71,2.4,"1,282","2,563",0,0
"화요일",13시~14시,3,4.55,2.6,"1,074","3,223",0,0
"화요일",14시~15시,1,1.34,2.5,165,165,0,0
"화요일",15시~16시,9,10.12,2.7,"1,524","13,717",0,0
"화요일",16시~17시,9,8.66,2.8,"1,274","11,462",0,0
"화요일",17시~18시,5,7.36,2.4,876,"4,378",0,0
"화요일",18시~19시,1,1.86,2.2,"1,265","1,265",0,0
"화요일",19시~20시,4,11.12,1.7,"1,488","5,951",0,0
"화요일",20시~21시,0,0,1.5,0,0,0,0
"화요일",21시~22시,1,33.34,1,77,77,0,0
"화요일",22시~23시,0,0,4,0,0,0,0
"화요일",23시~00시,1,16.67,3.5,77,77,0,0
"수요일",00시~01시,0,0,4,0,0,0,0
"수요일",01시~02시,0,0,2,0,0,0,0
"수요일",03시~04시,0,0,1,0,0,0,0
"수요일",05시~06시,2,6.25,2.2,"1,018","2,035",0,0
"수요일",06시~07시,1,3.85,2.7,231,231,0,0
"수요일",07시~08시,5,12.5,2.8,"1,104","5,522",0,0
"수요일",08시~09시,1,2.39,3.2,"1,782","1,782",0,0
"수요일",09시~10시,3,6.13,2.5,"1,591","4,774",0,0
"수요일",10시~11시,10,12.35,3,"1,356","13,563",0,0
"수요일",11시~12시,10,10.21,2.5,"1,235","12,353",0,0
"수요일",12시~13시,4,6.78,3.1,"1,821","7,282",0,0
"수요일",13시~14시,5,5.27,2.8,"2,066","10,329",0,0
"수요일",14시~15시,5,5.16,2.4,636,"3,179",0,0
"수요일",15시~16시,10,10.21,2.5,"1,344","13,442",0,0
"수요일",16시~17시,8,11.27,2.3,"1,346","10,769",0,0
"수요일",17시~18시,1,2.05,3,"1,749","1,749",0,0
"수요일",18시~19시,2,8,3.8,"1,122","2,244",0,0
"수요일",19시~20시,2,10.53,3.6,325,649,0,0
