"요일별보고서(2025.06.01.~2025.06.30.),pi_shin:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,4,4.26,2.2,"1,469","5,874",0,0
"월요일",01시~02시,0,0,2.9,0,0,0,0
"월요일",02시~03시,0,0,1.8,0,0,0,0
"월요일",03시~04시,0,0,1.7,0,0,0,0
"월요일",04시~05시,0,0,3.4,0,0,0,0
"월요일",05시~06시,1,5.56,2.1,484,484,0,0
"월요일",06시~07시,0,0,2.5,0,0,0,0
"월요일",07시~08시,5,8.34,2.5,"1,734","8,668",0,0
"월요일",08시~09시,3,2.39,2.3,979,"2,937",0,0
"월요일",09시~10시,5,2.62,2.6,"1,043","5,214",0,0
"월요일",10시~11시,4,2,2.7,"1,452","5,808",0,0
"월요일",11시~12시,1,0.45,2.5,"3,080","3,080",0,0
"월요일",12시~13시,3,1.6,2.6,"1,555","4,664",0,0
"월요일",13시~14시,3,1.36,2.4,440,"1,320",0,0
"월요일",14시~15시,4,1.82,2.6,"1,260","5,038",0,0
"월요일",15시~16시,5,1.89,3.1,"1,494","7,469",0,0
"월요일",16시~17시,3,1.37,2.5,906,"2,717",0,0
"월요일",17시~18시,6,3.16,2.7,953,"5,720",0,0
"월요일",18시~19시,4,2.71,2.4,"1,317","5,269",0,0
"월요일",19시~20시,5,2.58,2.2,889,"4,444",0,0
"월요일",20시~21시,3,2.37,2.9,407,"1,221",0,0
"월요일",21시~22시,1,0.63,2.3,"1,672","1,672",0,0
"월요일",22시~23시,0,0,2.3,0,0,0,0
"월요일",23시~00시,4,3.06,2.7,"1,037","4,147",0,0
"화요일",00시~01시,1,1.24,2.5,"1,793","1,793",0,0
"화요일",01시~02시,0,0,1.7,0,0,0,0
"화요일",02시~03시,1,4.55,2.2,77,77,0,0
"화요일",03시~04시,1,4.35,2.3,726,726,0,0
"화요일",04시~05시,1,5,3.1,"1,639","1,639",0,0
"화요일",05시~06시,0,0,2.7,0,0,0,0
"화요일",06시~07시,1,1.89,2.8,616,616,0,0
"화요일",07시~08시,0,0,2.8,0,0,0,0
"화요일",08시~09시,1,0.83,2.5,924,924,0,0
"화요일",09시~10시,1,0.77,3.3,869,869,0,0
"화요일",10시~11시,1,0.79,3.5,682,682,0,0
"화요일",11시~12시,2,1.46,2.7,"1,227","2,453",0,0
"화요일",12시~13시,3,2.26,2.5,"1,393","4,180",0,0
"화요일",13시~14시,5,3.36,2.6,359,"1,793",0,0
"화요일",14시~15시,6,4,2.6,"1,549","9,295",0,0
"화요일",15시~16시,4,2.36,2.8,"1,037","4,147",0,0
"화요일",16시~17시,2,1.3,2.6,528,"1,056",0,0
"화요일",17시~18시,4,2.3,2.5,344,"1,375",0,0
"화요일",18시~19시,3,2.03,2.4,829,"2,486",0,0
"화요일",19시~20시,1,1.07,2.4,891,891,0,0
"화요일",20시~21시,0,0,2.1,0,0,0,0
"화요일",21시~22시,2,1.82,2.2,440,880,0,0
"화요일",22시~23시,3,2.68,2.2,"1,082","3,245",0,0
"화요일",23시~00시,1,1.43,2.1,836,836,0,0
"수요일",00시~01시,1,2,2.1,781,781,0,0
"수요일",01시~02시,3,12,2.2,"1,555","4,664",0,0
"수요일",02시~03시,0,0,2.4,0,0,0,0
"수요일",03시~04시,0,0,2.1,0,0,0,0
"수요일",04시~05시,0,0,1.4,0,0,0,0
"수요일",05시~06시,0,0,1.7,0,0,0,0
"수요일",06시~07시,1,3.85,2.5,693,693,0,0
"수요일",07시~08시,3,5.09,2.6,"2,614","7,843",0,0
"수요일",08시~09시,2,2.25,2.9,"1,854","3,707",0,0
"수요일",09시~10시,1,0.82,2.9,"1,001","1,001",0,0
"수요일",10시~11시,4,2.34,3.4,930,"3,718",0,0
"수요일",11시~12시,2,1.35,3,495,990,0,0
"수요일",12시~13시,0,0,2,0,0,0,0
"수요일",13시~14시,2,1.57,2.3,"1,672","3,344",0,0
"수요일",14시~15시,2,1.25,2.9,715,"1,430",0,0
"수요일",15시~16시,1,0.56,2.7,957,957,0,0
"수요일",16시~17시,1,0.65,2.4,77,77,0,0
"수요일",17시~18시,5,2.69,2.6,"1,179","5,896",0,0
"수요일",18시~19시,2,1.89,2.2,"1,001","2,002",0,0
