"요일별보고서(2025.06.01.~2025.06.30.),qkdgksquf5:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",07시~08시,0,0,0,0,0,1,10
"월요일",08시~09시,33,1.34,2.2,"8,543","281,908",11,110
"월요일",09시~10시,46,1.41,2.2,"21,536","990,671",7,70
"월요일",10시~11시,23,0.95,2.2,"12,868","295,966",4,40
"월요일",11시~12시,37,1.06,2,"12,743","471,493",14,140
"월요일",12시~13시,43,1.08,2.2,"12,899","554,664",5,50
"월요일",13시~14시,55,1.53,2.2,"13,251","728,805",9,90
"월요일",14시~15시,39,0.98,2.1,"14,304","557,843",5,50
"월요일",15시~16시,38,1.04,2.1,"13,624","517,704",6,60
"월요일",16시~17시,45,1.29,2.1,"16,879","759,539",9,90
"월요일",17시~18시,36,0.94,2.1,"11,186","402,688",8,80
"월요일",18시~19시,67,1.62,1.9,"14,529","973,412",10,100
"월요일",19시~20시,42,1.24,1.7,"9,336","392,106",12,120
"월요일",20시~21시,43,1.33,1.7,"10,912","469,227",6,60
"월요일",21시~22시,30,1.77,1.6,"11,360","340,802",6,60
"월요일",22시~23시,44,2.44,1.7,"8,764","385,605",3,30
"월요일",23시~00시,0,0,2.3,0,0,0,0
"화요일",06시~07시,0,0,0,0,0,1,10
"화요일",08시~09시,20,1.27,2.3,"12,487","249,744",2,20
"화요일",09시~10시,21,0.78,2.1,"16,823","353,276",3,30
"화요일",10시~11시,29,1.03,2.1,"14,816","429,671",6,60
"화요일",11시~12시,32,0.94,2,"15,115","483,670",4,40
"화요일",12시~13시,35,1.11,2.1,"17,656","617,947",5,50
"화요일",13시~14시,22,0.78,2.1,"18,530","407,660",6,60
"화요일",14시~15시,32,0.98,2.1,"20,053","641,707",2,20
"화요일",15시~16시,20,0.68,2,"15,776","315,513",6,60
"화요일",16시~17시,18,0.92,2,"23,762","427,713",3,30
"화요일",17시~18시,27,1.33,2.1,"13,819","373,109",6,60
"화요일",18시~19시,62,2.01,2,"12,791","793,067",16,160
"화요일",19시~20시,52,2.13,1.9,"15,256","793,331",11,110
"화요일",20시~21시,16,1.63,1.9,"10,350","165,594",2,20
"화요일",21시~22시,15,4.35,1.4,"7,499","112,486",3,30
"화요일",22시~23시,13,2.44,1.5,"11,608","150,898",3,30
"수요일",08시~09시,0,0,2.3,0,0,0,0
"수요일",09시~10시,27,1.41,2.1,"14,121","381,271",3,30
"수요일",10시~11시,30,0.89,2.1,"15,891","476,729",4,40
"수요일",11시~12시,31,1.33,2.1,"14,078","436,425",3,30
"수요일",12시~13시,39,1.26,2.1,"11,302","440,759",7,70
"수요일",13시~14시,28,0.96,2.2,"10,657","298,397",8,80
"수요일",14시~15시,28,1.08,2.3,"15,242","426,767",4,40
"수요일",15시~16시,27,1.11,2.3,"17,701","477,928",2,20
"수요일",16시~17시,23,0.99,2.1,"14,583","335,412",6,60
"수요일",17시~18시,49,1.43,2,"10,985","538,252",8,80
"수요일",18시~19시,42,1.27,1.9,"12,359","519,068",10,100
"수요일",19시~20시,46,1.68,1.8,"11,843","544,775",8,80
"수요일",20시~21시,37,1.79,1.9,"13,117","485,320",4,40
"수요일",21시~22시,7,2.4,1.8,"13,627","95,392",2,20
"수요일",22시~23시,4,3.28,1.5,"18,527","74,107",1,10
"목요일",08시~09시,7,0.71,2.2,"19,703","137,918",1,10
"목요일",09시~10시,31,0.85,2.1,"17,325","537,086",3,30
"목요일",10시~11시,21,0.8,2.2,"16,987","356,719",2,20
"목요일",11시~12시,19,0.74,2.1,"18,922","359,524",4,40
"목요일",12시~13시,22,0.74,2.2,"13,252","291,544",2,20
"목요일",13시~14시,26,0.81,2.2,"14,231","370,007",3,30
"목요일",14시~15시,27,0.86,2,"14,143","381,865",4,40
"목요일",15시~16시,31,0.9,2,"16,701","517,726",6,60
"목요일",16시~17시,30,0.94,2.1,"11,724","351,714",7,70
"목요일",17시~18시,47,1.27,1.9,"13,549","636,812",10,100
"목요일",18시~19시,46,1.37,1.9,"13,572","624,294",7,70
"목요일",19시~20시,57,1.38,1.8,"12,763","727,485",8,80
"목요일",20시~21시,30,1.91,1.8,"15,556","466,686",5,50
"목요일",21시~22시,28,2.02,1.7,"11,639","325,886",4,40
"목요일",22시~23시,0,0,0,0,0,1,10
"금요일",08시~09시,9,0.63,1.9,"17,855","160,699",2,20
"금요일",09시~10시,27,0.93,2,"19,624","529,848",10,100
"금요일",10시~11시,35,1.14,2.1,"15,578","545,226",9,90
"금요일",11시~12시,22,0.78,2.1,"16,017","352,363",0,0
"금요일",12시~13시,31,0.94,2.2,"15,459","479,237",5,50
"금요일",13시~14시,29,0.97,2.2,"12,402","359,645",3,30
"금요일",14시~15시,34,1.21,2.1,"16,897","574,497",6,60
"금요일",15시~16시,37,1.39,2.1,"17,850","660,462",7,70
"금요일",16시~17시,26,1.37,2.2,"15,119","393,096",9,90
"금요일",17시~18시,37,1.62,2,"15,842","586,146",5,50
"금요일",18시~19시,37,1.23,1.9,"13,122","485,529",12,120
"금요일",19시~20시,49,1.56,1.8,"10,387","508,959",9,90
"금요일",20시~21시,45,1.47,1.7,"12,665","569,943",6,60
"금요일",21시~22시,29,2.11,1.6,"8,567","248,457",5,50
"금요일",22시~23시,0,0,2.1,0,0,0,0
"금요일",23시~00시,1,4,2.9,"14,058","14,058",0,0
"토요일",08시~09시,27,1.12,2.1,"10,946","295,548",3,30
"토요일",09시~10시,29,0.68,2.2,"12,064","349,855",6,60
"토요일",10시~11시,35,0.82,2.1,"13,813","483,472",4,40
"토요일",11시~12시,33,1.07,2.1,"19,472","642,576",3,30
"토요일",12시~13시,26,0.91,2.1,"15,120","393,118",5,50
"토요일",13시~14시,31,0.66,2,"12,742","394,999",3,30
"토요일",14시~15시,40,1,2,"14,748","589,919",9,90
"토요일",15시~16시,46,1.35,2,"10,405","478,632",12,120
"토요일",16시~17시,55,1.53,2.1,"12,457","685,113",9,90
"토요일",17시~18시,45,1.5,1.8,"12,839","577,764",12,120
"토요일",18시~19시,57,1.51,1.9,"13,591","774,708",12,120
"토요일",19시~20시,29,1.57,1.8,"15,783","457,721",4,40
"토요일",20시~21시,29,1.91,1.7,"9,934","288,079",7,70
"토요일",21시~22시,23,1.67,1.7,"9,879","227,227",4,40
"토요일",22시~23시,21,1.13,1.5,"11,024","231,506",2,20
"일요일",08시~09시,18,1,2,"12,424","223,630",5,50
"일요일",09시~10시,81,1.77,2,"11,073","896,907",13,130
"일요일",10시~11시,60,1.36,2,"13,330","799,810",12,120
"일요일",11시~12시,68,1.84,2,"12,147","825,968",10,100
"일요일",12시~13시,53,1.26,1.9,"19,481","1,032,504",8,80
"일요일",13시~14시,54,1.41,1.9,"14,352","775,016",19,190
"일요일",14시~15시,56,1.72,1.9,"12,145","680,141",13,130
"일요일",15시~16시,49,1.43,1.9,"9,995","489,775",10,100
"일요일",16시~17시,64,1.43,1.7,"12,946","828,553",14,140
"일요일",17시~18시,51,1.15,1.9,"12,934","659,659",16,160
"일요일",18시~19시,48,1.41,1.8,"13,563","651,002",13,130
"일요일",19시~20시,26,2.07,1.7,"12,389","322,124",8,80
"일요일",20시~21시,1,50,1,55,55,2,20
