"요일별보고서(2025.06.01.~2025.06.30.),rigel8413:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,2,1.03,1.6,655,"1,309",0,0
"월요일",01시~02시,8,3.91,1.2,506,"4,049.1",0,0
"월요일",02시~03시,0,0,1.5,0,0.55,0,0
"월요일",03시~04시,1,1.05,1.3,815,814.55,0,0
"월요일",04시~05시,4,5.56,1.3,591,"2,365.55",0,0
"월요일",05시~06시,5,2.83,1.2,524,"2,618",0,0
"월요일",06시~07시,4,1.39,1.2,641,"2,563",0,0
"월요일",07시~08시,8,1.64,1.1,638,"5,105.65",0,0
"월요일",08시~09시,7,0.88,1.5,612,"4,280.65",0,0
"월요일",09시~10시,7,0.89,2.2,219,"1,530.65",0,0
"월요일",10시~11시,12,1.25,2.6,259,"3,104.75",0,0
"월요일",11시~12시,6,0.95,2.6,268,"1,608.2",0,0
"월요일",12시~13시,8,5.84,2.5,73,585.2,0,0
"월요일",13시~14시,8,2.78,2.3,146,"1,167.65",0,0
"월요일",14시~15시,3,1.82,2.3,165,496.1,0,0
"월요일",15시~16시,0,0,1.3,0,0,0,0
"월요일",16시~17시,0,0,1,0,0,0,0
"월요일",17시~18시,0,0,1.8,0,0,0,0
"월요일",19시~20시,0,0,1,0,0,0,0
"월요일",20시~21시,0,0,3,0,0,0,0
"월요일",23시~00시,0,0,2.3,0,0,0,0
"화요일",00시~01시,0,0,1,0,0,0,0
"화요일",02시~03시,0,0,3,0,0,0,0
"화요일",07시~08시,0,0,1,0,0,0,0
"화요일",08시~09시,0,0,1,0,0,0,0
"화요일",09시~10시,0,0,1,0,0,0,0
"화요일",10시~11시,0,0,3,0,0,0,0
"화요일",11시~12시,0,0,1,0,0,0,0
"화요일",19시~20시,0,0,1,0,0,0,0
"수요일",13시~14시,0,0,1,0,0,0,0
"수요일",19시~20시,0,0,2,0,0,0,0
"수요일",20시~21시,0,0,1,0,0,0,0
"목요일",17시~18시,0,0,3,0,0,0,0
"목요일",18시~19시,0,0,3,0,0,0,0
"금요일",05시~06시,0,0,3,0,0,0,0
"금요일",06시~07시,0,0,1,0,0,0,0
"금요일",17시~18시,0,0,3,0,0,0,0
"금요일",19시~20시,0,0,2,0,0,0,0
"일요일",00시~01시,6,2.81,2,429,"2,574.55",0,0
"일요일",01시~02시,4,1.24,1.5,682,"2,728.55",0,0
"일요일",02시~03시,4,2.64,1.4,459,"1,837.55",0,0
"일요일",03시~04시,1,1.34,1.5,451,451,0,0
"일요일",04시~05시,1,1,1.2,770,770,0,0
"일요일",05시~06시,13,6,1.2,563,"7,315",0,0
"일요일",06시~07시,8,2.06,1.5,737,"5,896",0,0
"일요일",07시~08시,15,2.77,2.2,412,"6,184.2",0,0
"일요일",08시~09시,2,2.86,2.7,66,132.55,0,0
"일요일",09시~10시,3,3.49,2.8,78,232.65,0,0
"일요일",10시~11시,1,1.06,3.1,78,77.55,0,0
"일요일",11시~12시,3,2.4,2.6,74,223.3,0,0
"일요일",12시~13시,2,1.82,3.1,78,155.1,0,0
"일요일",13시~14시,8,1.68,2.4,249,"1,993.75",0,0
"일요일",14시~15시,6,2.03,2.5,191,"1,146.2",0,0
"일요일",15시~16시,8,1.37,2.5,119,948.2,0,0
"일요일",16시~17시,13,1.61,2.6,138,"1,794.65",0,0
"일요일",17시~18시,2,0.38,2.3,78,155.1,0,0
"일요일",18시~19시,13,1.81,2.3,348,"4,521.55",0,0
"일요일",19시~20시,2,2.16,2.8,77,154.55,0,0
"일요일",20시~21시,0,0,2.3,0,1.1,0,0
"일요일",21시~22시,7,2.29,2.1,208,"1,454.2",0,0
"일요일",22시~23시,12,2.92,1.8,319,"3,829.65",0,0
"일요일",23시~00시,2,3.13,1.9,77,154.55,0,0
