"요일별보고서(2025.06.01.~2025.06.30.),seulteo2056:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,2,0.75,3.3,429,858,0,0
"월요일",01시~02시,3,2.02,3.9,392,"1,177",0,0
"월요일",02시~03시,1,0.61,3.3,407,407,0,0
"월요일",03시~04시,4,4.05,3.6,407,"1,628",0,0
"월요일",04시~05시,0,0,3.5,0,0,0,0
"월요일",05시~06시,1,0.27,2.3,385,385,0,0
"월요일",06시~07시,3,0.36,1.7,268,803,0,0
"월요일",07시~08시,3,0.27,1.8,308,924,0,0
"월요일",08시~09시,3,0.21,2.1,359,"1,078",0,0
"월요일",09시~10시,4,0.26,2.3,528,"2,112",0,0
"월요일",10시~11시,3,0.18,2.6,359,"1,078",0,0
"월요일",11시~12시,4,0.21,2.5,311,"1,243",0,0
"월요일",12시~13시,4,0.24,2.3,396,"1,584",0,0
"월요일",13시~14시,9,0.52,2.6,434,"3,905",0,0
"월요일",14시~15시,3,0.18,2.6,407,"1,221",0,0
"월요일",15시~16시,8,0.4,2.9,333,"2,662",0,0
"월요일",16시~17시,11,0.53,2.5,284,"3,124",0,0
"월요일",17시~18시,4,0.25,2.4,404,"1,617",0,0
"월요일",18시~19시,6,0.51,2.1,264,"1,584",0,0
"월요일",19시~20시,4,0.78,1.8,388,"1,551",0,0
"월요일",20시~21시,5,1.46,2.1,365,"1,826",0,0
"화요일",00시~01시,2,0.96,3.1,539,"1,078",0,0
"화요일",01시~02시,3,1.76,3.6,411,"1,232",0,0
"화요일",02시~03시,1,0.96,3.6,561,561,0,0
"화요일",03시~04시,0,0,3.5,0,0,0,0
"화요일",04시~05시,0,0,3.2,0,0,0,0
"화요일",05시~06시,0,0,2.3,0,0,0,0
"화요일",06시~07시,3,0.51,1.6,279,836,0,0
"화요일",07시~08시,4,0.53,1.7,424,"1,694",0,0
"화요일",08시~09시,3,0.26,1.6,477,"1,430",0,0
"화요일",09시~10시,3,0.26,2,385,"1,155",0,0
"화요일",10시~11시,9,0.74,2.2,365,"3,289",0,0
"화요일",11시~12시,5,0.43,2.3,361,"1,804",0,0
"화요일",12시~13시,3,0.28,2.1,469,"1,408",0,0
"화요일",13시~14시,3,0.25,2.4,557,"1,672",0,0
"화요일",14시~15시,3,0.27,2.8,436,"1,309",0,0
"화요일",15시~16시,1,0.14,2.3,451,451,0,0
"화요일",16시~17시,0,0,2.3,0,0,0,0
"화요일",17시~18시,2,0.31,2.7,286,572,0,0
"화요일",18시~19시,3,0.41,2.1,389,"1,166",0,0
"수요일",00시~01시,2,0.77,3.3,198,396,0,0
"수요일",01시~02시,5,2.85,3.4,396,"1,980",0,0
"수요일",02시~03시,0,0,3,0,0,0,0
"수요일",03시~04시,1,0.87,2.8,385,385,0,0
"수요일",04시~05시,0,0,2.8,0,0,0,0
"수요일",05시~06시,0,0,2.4,0,0,0,0
"수요일",06시~07시,1,0.2,1.5,352,352,0,0
"수요일",07시~08시,5,0.93,1.5,400,"2,002",0,0
"수요일",08시~09시,6,2,2.7,343,"2,057",0,0
"수요일",09시~10시,3,0.74,3,422,"1,265",0,0
"수요일",10시~11시,3,0.59,3,616,"1,848",0,0
"수요일",11시~12시,3,0.5,3.2,407,"1,221",0,0
"수요일",12시~13시,3,0.55,2.6,466,"1,397",0,0
"수요일",13시~14시,4,0.51,2.8,261,"1,045",0,0
"수요일",14시~15시,6,0.74,2.7,367,"2,200",0,0
"수요일",15시~16시,2,0.36,3,424,847,0,0
"수요일",16시~17시,5,1,3.2,370,"1,848",0,0
"수요일",17시~18시,3,0.84,3.1,367,"1,100",0,0
"수요일",18시~19시,0,0,2.6,0,0,0,0
"수요일",19시~20시,0,0,4.5,0,0,0,0
"수요일",20시~21시,1,0.46,2.7,495,495,0,0
"수요일",21시~22시,4,0.9,2.6,336,"1,342",0,0
"수요일",22시~23시,2,0.68,2.7,462,924,0,0
"목요일",00시~01시,1,0.53,2.8,352,352,0,0
"목요일",01시~02시,2,1.58,2.9,176,352,0,0
"목요일",02시~03시,3,3.58,3.1,374,"1,122",0,0
"목요일",03시~04시,0,0,2.6,0,0,0,0
"목요일",04시~05시,1,1.36,2.8,352,352,0,0
"목요일",05시~06시,1,0.47,2.4,330,330,0,0
"목요일",06시~07시,0,0,2.3,0,0,0,0
"목요일",07시~08시,2,0.4,1.9,363,726,0,0
"목요일",08시~09시,2,0.31,2.3,308,616,0,0
"목요일",09시~10시,3,0.42,3,447,"1,342",0,0
"목요일",10시~11시,7,0.87,2.9,404,"2,827",0,0
"목요일",11시~12시,3,0.37,2.8,359,"1,078",0,0
"목요일",12시~13시,3,0.4,2.6,381,"1,144",0,0
"목요일",13시~14시,3,0.41,3,392,"1,177",0,0
"목요일",14시~15시,4,0.5,2.9,393,"1,573",0,0
"목요일",15시~16시,8,0.63,2.7,334,"2,673",0,0
"목요일",16시~17시,7,0.59,2.7,446,"3,124",0,0
"목요일",17시~18시,3,0.38,2.9,268,803,0,0
"목요일",18시~19시,3,0.48,2.6,605,"1,815",0,0
"목요일",19시~20시,1,0.16,2.5,286,286,0,0
"목요일",20시~21시,3,0.91,2.3,414,"1,243",0,0
"목요일",21시~22시,2,0.59,2.1,209,418,0,0
"목요일",22시~23시,1,0.26,2.1,363,363,0,0
"목요일",23시~00시,3,1,2.4,458,"1,375",0,0
"금요일",00시~01시,1,0.32,2.9,363,363,0,0
"금요일",01시~02시,2,1.34,2.7,468,935,0,0
"금요일",02시~03시,0,0,2.8,0,0,0,0
"금요일",03시~04시,1,1.17,2.6,319,319,0,0
"금요일",04시~05시,0,0,3.1,0,0,0,0
"금요일",05시~06시,2,1.28,2.5,286,572,0,0
"금요일",06시~07시,0,0,1.9,0,0,0,0
"금요일",07시~08시,5,0.71,1.6,442,"2,211",0,0
"금요일",08시~09시,3,0.32,1.9,220,660,0,0
"금요일",09시~10시,3,0.29,2.4,506,"1,518",0,0
"금요일",10시~11시,6,0.49,2.7,325,"1,947",0,0
"금요일",11시~12시,2,0.22,3.3,204,407,0,0
"금요일",12시~13시,5,0.49,2.7,429,"2,145",0,0
"금요일",13시~14시,3,0.3,2.8,451,"1,353",0,0
"금요일",14시~15시,4,0.37,3.1,363,"1,452",0,0
"금요일",15시~16시,8,0.77,3,459,"3,674",0,0
"금요일",16시~17시,5,0.54,2.8,519,"2,596",0,0
"금요일",17시~18시,1,0.2,2.6,77,77,0,0
"금요일",18시~19시,3,0.69,2.3,370,"1,111",0,0
"금요일",19시~20시,2,0.37,2.2,347,693,0,0
"금요일",20시~21시,4,0.55,2.1,391,"1,562",0,0
"금요일",21시~22시,5,0.65,2.1,356,"1,782",0,0
"금요일",22시~23시,3,0.53,2,510,"1,529",0,0
"금요일",23시~00시,1,0.33,2,363,363,0,0
"토요일",00시~01시,4,1.6,2.9,454,"1,815",0,0
"토요일",01시~02시,0,0,4.1,0,0,0,0
"토요일",02시~03시,2,1.42,3.3,358,715,0,0
"토요일",03시~04시,1,1.04,3.1,286,286,0,0
"토요일",04시~05시,1,0.99,2.9,88,88,0,0
"토요일",05시~06시,0,0,2.2,0,0,0,0
"토요일",06시~07시,0,0,2.1,0,0,0,0
"토요일",07시~08시,0,0,2,0,0,0,0
"토요일",08시~09시,8,0.81,2.1,406,"3,245",0,0
"토요일",09시~10시,3,0.28,2.1,444,"1,331",0,0
"토요일",10시~11시,3,0.26,2.1,337,"1,012",0,0
"토요일",11시~12시,8,0.95,2.2,472,"3,773",0,0
"토요일",12시~13시,9,1.08,2.8,341,"3,069",0,0
"토요일",13시~14시,7,1,2.9,371,"2,596",0,0
"토요일",14시~15시,5,0.41,2.1,367,"1,837",0,0
"토요일",15시~16시,3,0.27,2.3,403,"1,210",0,0
"토요일",16시~17시,2,0.18,2.4,561,"1,122",0,0
"토요일",17시~18시,10,0.91,2.3,356,"3,564",0,0
"토요일",18시~19시,5,0.47,2.1,420,"2,101",0,0
"토요일",19시~20시,3,0.64,2.2,323,968,0,0
"토요일",20시~21시,1,0.22,2.3,374,374,0,0
"토요일",21시~22시,0,0,2.4,0,0,0,0
"토요일",22시~23시,1,0.21,2.4,484,484,0,0
"일요일",00시~01시,7,2.27,3.2,360,"2,519",0,0
"일요일",01시~02시,2,1.05,3.8,336,671,0,0
"일요일",02시~03시,3,2.12,3.7,337,"1,012",0,0
"일요일",03시~04시,3,2.46,4,341,"1,023",0,0
"일요일",04시~05시,0,0,3.3,0,0,0,0
"일요일",05시~06시,2,0.68,2.6,424,847,0,0
"일요일",06시~07시,2,0.28,1.9,440,880,0,0
"일요일",07시~08시,5,0.47,1.8,363,"1,815",0,0
"일요일",08시~09시,4,0.24,1.8,426,"1,705",0,0
"일요일",09시~10시,6,0.33,1.9,460,"2,761",0,0
"일요일",10시~11시,11,0.59,1.9,392,"4,312",0,0
"일요일",11시~12시,9,0.65,2,414,"3,729",0,0
"일요일",12시~13시,6,0.32,2.1,400,"2,398",0,0
"일요일",13시~14시,9,0.46,1.9,331,"2,981",0,0
"일요일",14시~15시,5,0.28,2.1,387,"1,936",0,0
"일요일",15시~16시,12,0.65,2.1,360,"4,323",0,0
"일요일",16시~17시,6,0.35,2,374,"2,244",0,0
"일요일",17시~18시,3,0.19,2,411,"1,232",0,0
"일요일",18시~19시,2,1.2,1.4,677,"1,353",0,0
