"요일별보고서(2025.06.01.~2025.06.30.),skjrchan127:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,2,0.06,2,77,154,0,0
"월요일",01시~02시,0,0,2.8,0,0,0,0
"월요일",02시~03시,0,0,2.7,0,0,0,0
"월요일",03시~04시,1,0.12,2.7,77,77,0,0
"월요일",04시~05시,1,0.16,2.5,77,77,0,0
"월요일",05시~06시,0,0,2.6,0,0,0,0
"월요일",06시~07시,0,0,2.7,0,0,0,0
"월요일",07시~08시,0,0,2.7,0,0,0,0
"월요일",08시~09시,0,0,2.7,0,0,0,0
"월요일",09시~10시,0,0,2.6,0,0,0,0
"월요일",10시~11시,0,0,2.8,0,0,0,0
"월요일",11시~12시,0,0,2.8,0,0,0,0
"월요일",12시~13시,1,0.09,2.7,77,77,0,0
"월요일",13시~14시,0,0,2.8,0,0,0,0
"월요일",14시~15시,1,0.13,3.3,77,77,0,0
"월요일",15시~16시,0,0,4.1,0,0,0,0
"월요일",16시~17시,1,0.34,4.1,"1,056","1,056",0,0
"월요일",17시~18시,0,0,3.9,0,0,0,0
"월요일",18시~19시,0,0,3.8,0,0,0,0
"월요일",19시~20시,0,0,3.8,0,0,0,0
"월요일",20시~21시,1,0.18,3.9,913,913,0,0
"월요일",21시~22시,1,0.16,3.9,781,781,0,0
"월요일",22시~23시,0,0,3.9,0,0,0,0
"월요일",23시~00시,1,0.15,4,"1,100","1,100",0,0
"화요일",00시~01시,0,0,4.2,0,0,0,0
"화요일",01시~02시,0,0,4.1,0,0,0,0
"화요일",02시~03시,0,0,4.1,0,0,0,0
"화요일",03시~04시,0,0,3.8,0,0,0,0
"화요일",04시~05시,0,0,4,0,0,0,0
"화요일",05시~06시,0,0,3.7,0,0,0,0
"화요일",06시~07시,1,0.59,3.7,726,726,0,0
"화요일",07시~08시,1,0.4,3.7,693,693,0,0
"화요일",08시~09시,0,0,3.5,0,0,0,0
"화요일",09시~10시,0,0,3.8,0,0,0,0
"화요일",10시~11시,0,0,3.9,0,0,0,0
"화요일",11시~12시,0,0,4,0,0,0,0
"화요일",12시~13시,0,0,4.2,0,0,0,0
"화요일",13시~14시,0,0,4.1,0,0,0,0
"화요일",14시~15시,0,0,4,0,0,0,0
"화요일",15시~16시,4,1.12,4,"2,360","9,438",0,0
"화요일",16시~17시,1,0.23,4.2,968,968,0,0
"화요일",17시~18시,0,0,4,0,0,0,0
"화요일",18시~19시,2,0.43,4.1,671,"1,342",0,0
"화요일",19시~20시,0,0,4.1,0,0,0,0
"화요일",20시~21시,0,0,4.4,0,0,0,0
"화요일",21시~22시,0,0,4.3,0,0,0,0
"화요일",22시~23시,2,0.27,4.2,209,418,0,0
"화요일",23시~00시,0,0,4.2,0,0,0,0
"수요일",00시~01시,2,0.35,4.1,"1,029","2,057",0,0
"수요일",01시~02시,0,0,4.1,0,0,0,0
"수요일",02시~03시,1,0.44,4.1,880,880,0,0
"수요일",03시~04시,0,0,4.1,0,0,0,0
"수요일",04시~05시,0,0,3.8,0,0,0,0
"수요일",05시~06시,0,0,3.9,0,0,0,0
"수요일",06시~07시,0,0,3.9,0,0,0,0
"수요일",07시~08시,0,0,3.8,0,0,0,0
"수요일",08시~09시,0,0,3.7,0,0,0,0
"수요일",09시~10시,0,0,3.9,0,0,0,0
"수요일",10시~11시,0,0,3.9,0,0,0,0
"수요일",11시~12시,2,0.64,4.2,"1,018","2,035",0,0
"수요일",12시~13시,0,0,4,0,0,0,0
"수요일",13시~14시,0,0,3.8,0,0,0,0
"수요일",14시~15시,0,0,4.1,0,0,0,0
"수요일",15시~16시,0,0,4.2,0,0,0,0
"수요일",16시~17시,0,0,4.2,0,0,0,0
"수요일",17시~18시,0,0,4.1,0,0,0,0
"수요일",18시~19시,0,0,3.4,0,0,0,0
