"요일별보고서(2025.05.01.~2025.05.31.),sonamu197478:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,15,0.72,2,345,"5,174.95",0,0
"월요일",01시~02시,8,0.75,2.3,350,"2,801.15",0,0
"월요일",02시~03시,1,0.15,2.2,246,245.85,0,0
"월요일",03시~04시,5,1.18,2.2,528,"2,638.35",0,0
"월요일",04시~05시,2,0.57,2.3,255,509.85,0,0
"월요일",05시~06시,7,1.04,2.4,420,"2,937.55",0,0
"월요일",06시~07시,13,1.11,2.2,354,"4,599.1",0,0
"월요일",07시~08시,16,0.85,2.4,409,"6,550.5",0,0
"월요일",08시~09시,21,0.88,2.4,276,"5,806.35",0,0
"월요일",09시~10시,13,0.4,2.4,334,"4,335.65",0,0
"월요일",10시~11시,27,0.63,2.4,303,"8,169.15",0,0
"월요일",11시~12시,27,0.68,2.5,306,"8,252.75",0,0
"월요일",12시~13시,28,0.68,2.4,333,"9,324.7",0,0
"월요일",13시~14시,31,0.63,2.3,371,"11,495.55",0,0
"월요일",14시~15시,39,0.79,2.2,406,"15,834.5",0,0
"월요일",15시~16시,31,0.58,2.1,345,"10,701.9",0,0
"월요일",16시~17시,31,0.59,2,366,"11,347.6",0,0
"월요일",17시~18시,34,0.65,1.9,388,"13,188.45",0,0
"월요일",18시~19시,32,0.64,2.1,302,"9,667.9",0,0
"월요일",19시~20시,34,0.67,2.1,417,"14,170.75",0,0
"월요일",20시~21시,28,0.7,2,367,"10,263.55",0,0
"월요일",21시~22시,29,0.7,2,458,"13,285.25",0,0
"월요일",22시~23시,36,0.94,2.1,401,"14,431.45",0,0
"월요일",23시~00시,20,0.69,2,410,"8,192.25",0,0
"화요일",00시~01시,22,0.8,2.2,425,"9,339",0,0
"화요일",01시~02시,14,0.99,2.4,444,"6,218.3",0,0
"화요일",02시~03시,8,0.85,2.5,296,"2,370.5",0,0
"화요일",03시~04시,5,0.81,2.5,213,"1,063.7",0,0
"화요일",04시~05시,7,1.22,2.6,606,"4,242.15",0,0
"화요일",05시~06시,15,1.63,2.4,293,"4,389.55",0,0
