"요일별보고서(2024.12.01.~2024.12.31.),spogymmilon:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,3,6.13,3.3,390,"1,169.85",0,0
"월요일",01시~02시,0,0,1.8,0,3.3,0,0
"월요일",02시~03시,0,0,3.3,0,2.2,0,0
"월요일",03시~04시,2,12.5,3.8,55,110.55,0,0
"월요일",04시~05시,1,5.27,2.7,55,55,0,0
"월요일",05시~06시,0,0,1.5,0,2.75,0,0
"월요일",06시~07시,0,0,1.5,0,8.25,0,0
"월요일",07시~08시,1,2.57,1.7,"8,425","8,425.45",0,0
"월요일",08시~09시,1,1.59,1.5,82,81.95,0,0
"월요일",09시~10시,6,7.06,1.7,"1,459","8,753.8",0,0
"월요일",10시~11시,3,4.06,1.8,62,187,0,0
"월요일",11시~12시,6,5.89,1.6,"1,893","11,359.15",0,0
"월요일",12시~13시,5,3.88,1.8,"2,469","12,345.3",0,0
"월요일",13시~14시,2,1.82,1.9,65,130.9,0,0
"월요일",14시~15시,5,3.68,1.9,"2,052","10,261.35",0,0
"월요일",15시~16시,1,0.91,1.5,90,89.65,0,0
"월요일",16시~17시,2,1.84,2.2,65,130.35,0,0
"월요일",17시~18시,2,1.57,2.1,66,131.45,0,0
"월요일",18시~19시,3,3.27,1.6,"4,232","12,695.65",0,0
"월요일",19시~20시,0,0,2,0,7.7,0,0
"월요일",20시~21시,4,4.31,2,57,228.25,0,0
"월요일",21시~22시,2,1.62,2.3,59,117.7,0,0
"월요일",22시~23시,4,3.51,2.1,57,229.9,0,0
"월요일",23시~00시,4,3.93,2.2,56,224.4,0,0
"화요일",00시~01시,5,5.89,2.4,"1,446","7,231.4",0,0
"화요일",01시~02시,1,1.97,3.3,57,57.2,0,0
"화요일",02시~03시,0,0,4,0,1.1,0,0
"화요일",03시~04시,0,0,1.6,0,1.1,0,0
"화요일",04시~05시,0,0,1.8,0,0.55,0,0
"화요일",05시~06시,0,0,2.7,0,1.1,0,0
"화요일",06시~07시,0,0,2.1,0,7.7,0,0
"화요일",07시~08시,0,0,2.1,0,13.2,0,0
"화요일",08시~09시,1,1.43,1.6,79,78.65,0,0
"화요일",09시~10시,2,2.25,1.7,"6,120","12,239.7",0,0
"화요일",10시~11시,1,1.08,1.8,"8,693","8,693.3",0,0
"화요일",11시~12시,3,2.78,1.5,"6,885","20,654.7",0,0
"화요일",12시~13시,2,1.79,1.6,"4,329","8,658.65",0,0
"화요일",13시~14시,2,1.73,1.9,67,134.75,0,0
"화요일",14시~15시,3,2.35,2.4,63,188.1,0,0
"화요일",15시~16시,3,2.78,1.7,63,188.1,0,0
"화요일",16시~17시,4,3.81,1.6,"2,883","11,531.85",0,0
"화요일",17시~18시,1,1.2,1.7,72,71.5,0,0
"화요일",18시~19시,1,1,1.9,73,73.15,0,0
"화요일",19시~20시,2,2.05,1.9,59,118.25,0,0
"화요일",20시~21시,0,0,2.1,0,8.25,0,0
"화요일",21시~22시,3,3,1.8,57,171.6,0,0
"화요일",22시~23시,1,0.91,2,"1,013","1,012.55",0,0
"화요일",23시~00시,1,1.43,1.8,65,65.45,0,0
"수요일",00시~01시,0,0,2.4,0,8.25,0,0
"수요일",01시~02시,2,5,1.6,"3,210","6,420.15",0,0
"수요일",02시~03시,0,0,2.1,0,4.4,0,0
"수요일",03시~04시,0,0,1.2,0,2.2,0,0
"수요일",04시~05시,0,0,2,0,1.65,0,0
"수요일",05시~06시,0,0,1.3,0,1.1,0,0
"수요일",06시~07시,1,3.85,2.4,63,63.25,0,0
"수요일",07시~08시,0,0,1.2,0,17.05,0,0
"수요일",08시~09시,1,1.62,1.5,80,79.75,0,0
"수요일",09시~10시,2,2.28,1.6,"6,081","12,162.15",0,0
"수요일",10시~11시,0,0,1.5,0,29.15,0,0
"수요일",11시~12시,0,0,1.6,0,30.8,0,0
"수요일",12시~13시,3,2.48,1.6,"1,723","5,170",0,0
"수요일",13시~14시,4,3.39,1.8,62,249.7,0,0
"수요일",14시~15시,0,0,2.3,0,29.7,0,0
"수요일",15시~16시,4,3.39,2.2,"2,283","9,132.2",0,0
"수요일",16시~17시,3,1.92,1.9,"1,552","4,657.4",0,0
"수요일",17시~18시,4,3.85,2,60,238.7,0,0
"수요일",18시~19시,3,3.8,1.5,60,179.3,0,0
"수요일",19시~20시,2,2.64,2.3,59,117.15,0,0
"수요일",20시~21시,3,4.84,2.1,57,170.5,0,0
"수요일",21시~22시,5,5.89,1.8,57,285.45,0,0
"수요일",22시~23시,2,3.23,1.4,58,116.6,0,0
"수요일",23시~00시,1,1.64,1.9,60,59.95,0,0
"목요일",00시~01시,3,6.25,1.7,56,169.4,0,0
"목요일",01시~02시,0,0,3.7,0,1.1,0,0
"목요일",02시~03시,0,0,5.5,0,0,0,0
"목요일",03시~04시,2,20,3.5,56,111.1,0,0
"목요일",04시~05시,0,0,5,0,0,0,0
"목요일",05시~06시,0,0,2.8,0,1.1,0,0
"목요일",06시~07시,0,0,1.3,0,7.7,0,0
"목요일",07시~08시,1,3.13,2.3,65,65.45,0,0
"목요일",08시~09시,1,1.27,1.5,80,79.75,0,0
"목요일",09시~10시,1,1.04,1.2,87,86.9,0,0
"목요일",10시~11시,4,3.04,1.5,57,228.25,0,0
"목요일",11시~12시,1,1,2.3,83,82.5,0,0
"목요일",12시~13시,0,0,2.4,0,37.4,0,0
"목요일",13시~14시,2,1.66,1.9,"4,625","9,249.35",0,0
"목요일",14시~15시,0,0,1.8,0,30.25,0,0
"목요일",15시~16시,3,1.89,1.8,"4,267","12,800.15",0,0
"목요일",16시~17시,3,2.02,1.7,"4,102","12,306.8",0,0
"목요일",17시~18시,2,1.84,2,65,130.35,0,0
"목요일",18시~19시,3,3.07,2.2,61,183.15,0,0
"목요일",19시~20시,2,2.78,1.8,"6,358","12,716.55",0,0
"목요일",20시~21시,0,0,2.3,0,7.15,0,0
"목요일",21시~22시,3,3.58,2,58,174.35,0,0
"목요일",22시~23시,1,1.13,2.2,64,64.35,0,0
"목요일",23시~00시,3,4.69,3.8,56,167.75,0,0
"금요일",00시~01시,0,0,2.3,0,2.2,0,0
"금요일",01시~02시,0,0,2.2,0,2.75,0,0
"금요일",02시~03시,0,0,1.3,0,0,0,0
"금요일",03시~04시,0,0,1.6,0,0,0,0
"금요일",04시~05시,0,0,1.7,0,1.65,0,0
"금요일",05시~06시,0,0,1.6,0,0.55,0,0
"금요일",06시~07시,0,0,1.6,0,2.2,0,0
"금요일",07시~08시,0,0,1.6,0,9.9,0,0
"금요일",08시~09시,2,3.18,1.2,"6,067","12,133",0,0
"금요일",09시~10시,2,2.78,1.6,66,132,0,0
"금요일",10시~11시,1,1.15,1.4,86,85.8,0,0
"금요일",11시~12시,3,2.98,1.6,65,195.25,0,0
"금요일",12시~13시,0,0,2.2,0,31.35,0,0
"금요일",13시~14시,1,0.98,1.7,91,91.3,0,0
"금요일",14시~15시,3,2.92,1.4,72,217.25,0,0
"금요일",15시~16시,0,0,1.5,0,39.6,0,0
"금요일",16시~17시,1,0.84,1.5,84,83.6,0,0
"금요일",17시~18시,4,3.97,1.6,741,"2,962.3",0,0
"금요일",18시~19시,2,2.16,2,62,123.75,0,0
"금요일",19시~20시,0,0,2.3,0,12.65,0,0
"금요일",20시~21시,0,0,2.3,0,5.5,0,0
"금요일",21시~22시,2,2.23,1.6,"5,840","11,679.8",0,0
"금요일",22시~23시,0,0,1.7,0,5.5,0,0
"금요일",23시~00시,2,3.93,2.7,57,113.3,0,0
"토요일",00시~01시,2,3.13,1.8,56,112.75,0,0
"토요일",01시~02시,0,0,1.9,0,0.55,0,0
"토요일",02시~03시,0,0,2.5,0,0,0,0
"토요일",03시~04시,0,0,2.8,0,0,0,0
"토요일",04시~05시,0,0,1,0,0,0,0
"토요일",05시~06시,0,0,1,0,1.1,0,0
"토요일",06시~07시,0,0,4.3,0,1.65,0,0
"토요일",07시~08시,1,5.56,2.1,57,57.2,0,0
"토요일",08시~09시,0,0,1.6,0,6.6,0,0
"토요일",09시~10시,0,0,2.4,0,3.3,0,0
"토요일",10시~11시,0,0,1.4,0,7.15,0,0
"토요일",11시~12시,1,3.34,1.7,"12,962","12,961.85",0,0
"토요일",12시~13시,0,0,1.9,0,3.3,0,0
"토요일",13시~14시,2,4.77,2.3,59,117.15,0,0
"토요일",14시~15시,2,4,2.2,59,117.15,0,0
"토요일",15시~16시,1,2.09,1.8,59,59.4,0,0
"토요일",16시~17시,2,3.93,2.3,520,"1,040.05",0,0
"토요일",17시~18시,3,4.17,1.7,60,179.3,0,0
"토요일",18시~19시,2,4,1.5,"5,657","11,314.6",0,0
"토요일",19시~20시,2,2.71,1.3,"10,856","21,711.8",0,0
"토요일",20시~21시,0,0,1.5,0,4.95,0,0
"토요일",21시~22시,1,1.24,2.4,58,58.3,0,0
"토요일",22시~23시,2,2.28,2.5,30,60.5,0,0
"토요일",23시~00시,0,0,1.5,0,3.85,0,0
"일요일",00시~01시,2,2.82,2,"3,208","6,416.3",0,0
"일요일",01시~02시,5,9.26,2,210,"1,047.75",0,0
"일요일",02시~03시,0,0,1.5,0,1.1,0,0
"일요일",03시~04시,1,2.78,2.1,56,55.55,0,0
"일요일",04시~05시,0,0,4.4,0,0.55,0,0
"일요일",05시~06시,1,9.1,3.3,56,56.1,0,0
"일요일",06시~07시,0,0,2.6,0,3.3,0,0
"일요일",07시~08시,0,0,2.3,0,3.85,0,0
"일요일",08시~09시,1,3.85,1.8,61,61.05,0,0
"일요일",09시~10시,0,0,2.3,0,7.7,0,0
"일요일",10시~11시,0,0,2,0,7.7,0,0
"일요일",11시~12시,1,1.67,2.1,66,66,0,0
"일요일",12시~13시,1,1.82,1.8,"13,102","13,101.55",0,0
"일요일",13시~14시,3,3.9,2.8,41,121.55,0,0
"일요일",14시~15시,1,1.59,1.7,12,11.55,0,0
"일요일",15시~16시,4,5.27,2.4,"3,237","12,948.1",0,0
"일요일",16시~17시,0,0,1.8,0,17.05,0,0
"일요일",17시~18시,2,2.57,2.5,60,119.35,0,0
"일요일",18시~19시,3,3.53,2,"3,154","9,460.55",0,0
"일요일",19시~20시,4,4.55,2,57,229.35,0,0
"일요일",20시~21시,2,2.86,2.3,"4,327","8,653.7",0,0
"일요일",21시~22시,2,1.84,2.3,59,118.8,0,0
"일요일",22시~23시,4,3.71,2.4,"3,269","13,077.9",0,0
"일요일",23시~00시,2,2.41,2.2,"6,575","13,150.5",0,0
