"요일별보고서(2025.06.01.~2025.06.30.),ssosso0947:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,2.1,0,14.85,0,0
"월요일",01시~02시,7,1.16,3.1,"1,023","7,158.8",0,0
"월요일",02시~03시,2,0.56,3.2,761,"1,522.4",0,0
"월요일",03시~04시,1,0.34,2.9,"1,173","1,173.15",0,0
"월요일",04시~05시,3,1.34,2.7,"1,109","3,326.4",0,0
"월요일",05시~06시,0,0,1.8,0,9.35,0,0
"월요일",06시~07시,3,0.73,2.1,613,"1,838.1",0,0
"월요일",07시~08시,3,0.39,2.9,"1,148","3,443.55",0,0
"월요일",08시~09시,4,0.41,2.7,"1,073","4,291.1",0,0
"월요일",09시~10시,3,0.21,2.6,965,"2,895.2",0,0
"월요일",10시~11시,8,0.34,2.6,976,"7,808.9",0,0
"월요일",11시~12시,6,0.24,2.4,861,"5,166.7",0,0
"월요일",12시~13시,5,0.23,2.3,"1,028","5,138.1",0,0
"월요일",13시~14시,9,0.42,2.4,974,"8,766.45",0,0
"월요일",14시~15시,4,0.16,2.5,548,"2,193.95",0,0
"월요일",15시~16시,13,0.43,2.4,"1,075","13,976.6",0,0
"월요일",16시~17시,14,0.46,2.3,840,"11,763.95",0,0
"월요일",17시~18시,27,0.8,2.2,991,"26,750.35",0,0
"월요일",18시~19시,11,0.59,2.1,823,"9,048.6",0,0
"월요일",19시~20시,9,0.78,2.4,866,"7,796.8",0,0
"월요일",20시~21시,10,1.14,2.4,"1,086","10,857",0,0
"월요일",21시~22시,0,0,3,0,16.5,0,0
"월요일",22시~23시,2,0.62,1.9,"1,684","3,367.1",0,0
"월요일",23시~00시,1,0.42,1.6,"1,795","1,794.65",0,0
"화요일",00시~01시,2,0.49,2,"1,057","2,114.2",0,0
"화요일",01시~02시,3,0.55,2.6,"1,128","3,384.7",0,0
"화요일",02시~03시,1,0.25,3.9,477,476.85,0,0
"화요일",03시~04시,3,1.33,3.8,448,"1,344.75",0,0
"화요일",04시~05시,1,0.53,2.3,"1,280","1,280.4",0,0
"화요일",05시~06시,1,0.36,2.2,"1,217","1,217.15",0,0
"화요일",06시~07시,1,0.21,2.2,"1,279","1,279.3",0,0
"화요일",07시~08시,2,0.35,2.3,"1,131","2,261.05",0,0
"화요일",08시~09시,2,0.2,2.4,829,"1,657.15",0,0
"화요일",09시~10시,6,0.43,2.4,974,"5,843.2",0,0
"화요일",10시~11시,8,0.43,2.3,822,"6,576.9",0,0
"화요일",11시~12시,12,0.54,2.2,845,"10,135.95",0,0
"화요일",12시~13시,3,0.18,2.2,870,"2,611.4",0,0
"화요일",13시~14시,6,0.38,2.2,718,"4,310.35",0,0
"화요일",14시~15시,11,0.7,2.4,919,"10,111.2",0,0
"화요일",15시~16시,7,0.4,2.5,"1,107","7,745.65",0,0
"화요일",16시~17시,15,0.77,2.6,879,"13,178.55",0,0
"화요일",17시~18시,13,0.67,2.3,802,"10,431.85",0,0
"화요일",18시~19시,6,0.71,2.3,949,"5,694.7",0,0
"화요일",19시~20시,2,0.59,2.9,974,"1,948.65",0,0
"화요일",20시~21시,3,0.69,3.3,960,"2,880.35",0,0
"화요일",21시~22시,5,1.53,2.4,917,"4,582.6",0,0
"화요일",22시~23시,1,0.46,1.6,28,28.05,0,0
"화요일",23시~00시,0,0,1.6,0,23.1,0,0
"수요일",00시~01시,1,0.26,1.7,"1,351","1,351.35",0,0
"수요일",01시~02시,3,0.6,2.6,"1,019","3,057.45",0,0
"수요일",02시~03시,0,0,3.6,0,7.7,0,0
"수요일",03시~04시,1,0.43,3.7,"1,436","1,435.5",0,0
"수요일",04시~05시,0,0,3.5,0,4.4,0,0
"수요일",05시~06시,2,0.79,3.3,655,"1,309.55",0,0
"수요일",06시~07시,0,0,2.5,0,18.15,0,0
"수요일",07시~08시,3,0.57,2.8,"1,035","3,105.85",0,0
"수요일",08시~09시,2,0.29,2.5,617,"1,233.65",0,0
"수요일",09시~10시,3,0.28,2.6,847,"2,542.1",0,0
"수요일",10시~11시,3,0.2,2.7,"1,376","4,128.85",0,0
"수요일",11시~12시,7,0.38,2.6,671,"4,698.1",0,0
"수요일",12시~13시,1,0.07,2.3,"1,053","1,052.7",0,0
"수요일",13시~14시,4,0.28,2.6,"1,133","4,533.65",0,0
"수요일",14시~15시,11,0.76,2.6,899,"9,891.2",0,0
"수요일",15시~16시,5,0.39,2.7,"1,061","5,304.75",0,0
"수요일",16시~17시,9,0.84,2.6,"1,131","10,176.1",0,0
"수요일",17시~18시,3,0.28,2.5,"1,210","3,630",0,0
"수요일",18시~19시,12,1.17,2.1,804,"9,644.25",0,0
"수요일",19시~20시,2,0.48,2.6,"1,054","2,107.05",0,0
"수요일",20시~21시,1,0.77,3,15,14.85,0,0
"수요일",21시~22시,3,0.71,2.7,"1,409","4,226.75",0,0
"수요일",22시~23시,8,1.45,2.5,"1,201","9,605.2",0,0
"수요일",23시~00시,7,1.29,1.8,"1,363","9,540.85",0,0
"목요일",00시~01시,3,0.67,1.9,"1,045","3,134.45",0,0
"목요일",01시~02시,0,0,2.9,0,8.8,0,0
"목요일",02시~03시,3,1.16,3,368,"1,102.75",0,0
"목요일",03시~04시,3,1.36,3.6,"1,156","3,468.85",0,0
"목요일",04시~05시,0,0,2.3,0,3.85,0,0
"목요일",05시~06시,0,0,2.8,0,3.3,0,0
"목요일",06시~07시,2,0.71,2.6,860,"1,720.95",0,0
"목요일",07시~08시,1,0.24,2.8,94,94.05,0,0
"목요일",08시~09시,5,0.53,2.6,942,"4,710.75",0,0
"목요일",09시~10시,6,0.41,2.6,802,"4,811.4",0,0
"목요일",10시~11시,5,0.27,2.6,"1,168","5,839.9",0,0
"목요일",11시~12시,4,0.21,2.5,883,"3,531",0,0
"목요일",12시~13시,3,0.17,2.2,"1,285","3,853.85",0,0
"목요일",13시~14시,6,0.33,2.6,816,"4,898.85",0,0
"목요일",14시~15시,9,0.52,2.6,"1,086","9,770.75",0,0
"목요일",15시~16시,10,0.5,2.5,938,"9,383.55",0,0
"목요일",16시~17시,8,0.43,2.4,"1,139","9,111.3",0,0
"목요일",17시~18시,12,0.63,2.3,865,"10,379.6",0,0
"목요일",18시~19시,5,0.27,2.1,606,"3,028.85",0,0
"목요일",19시~20시,5,0.42,2.1,843,"4,216.3",0,0
"목요일",20시~21시,3,0.45,2.6,"1,367","4,100.25",0,0
"목요일",21시~22시,0,0,2.3,0,16.5,0,0
"목요일",22시~23시,0,0,2.5,0,14.3,0,0
"목요일",23시~00시,0,0,2.3,0,12.1,0,0
"금요일",00시~01시,1,0.24,2,"1,249","1,248.5",0,0
"금요일",01시~02시,1,0.23,2.6,"1,095","1,095.05",0,0
"금요일",02시~03시,2,0.55,3.5,843,"1,685.75",0,0
"금요일",03시~04시,0,0,4,0,3.85,0,0
"금요일",04시~05시,0,0,3.1,0,5.5,0,0
"금요일",05시~06시,4,1.66,2.3,"1,034","4,135.45",0,0
"금요일",06시~07시,2,0.53,2.4,"1,052","2,103.2",0,0
