"요일별보고서(2025.06.01.~2025.06.30.),sunhostay0216:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,5,2.18,2.2,121,605,0,0
"월요일",01시~02시,6,3.39,2.4,95,572,0,0
"월요일",02시~03시,1,0.96,2,242,242,0,0
"월요일",03시~04시,1,1.48,2.3,99,99,0,0
"월요일",04시~05시,1,2.78,1.5,99,99,0,0
"월요일",05시~06시,4,7.28,1.7,94,374,0,0
"월요일",06시~07시,8,4.15,1.8,99,792,0,0
"월요일",07시~08시,14,6.52,2,129,"1,804",0,0
"월요일",08시~09시,11,2.43,1.7,172,"1,892",0,0
"월요일",09시~10시,10,1.91,1.8,134,"1,342",0,0
"월요일",10시~11시,7,1.61,1.9,118,825,0,0
"월요일",11시~12시,26,3.66,2.1,114,"2,970",0,0
"월요일",12시~13시,27,4.42,2.2,117,"3,146",0,0
"월요일",13시~14시,1,0.31,2.3,88,88,0,0
"월요일",14시~15시,12,3.03,2,133,"1,595",0,0
"월요일",15시~16시,17,3.52,2.3,168,"2,849",0,0
"월요일",16시~17시,18,3.2,2.4,138,"2,486",0,0
"월요일",17시~18시,14,2.8,2.4,121,"1,694",0,0
"월요일",18시~19시,15,3.88,2,148,"2,222",0,0
"월요일",19시~20시,1,0.56,2.4,110,110,0,0
"월요일",20시~21시,14,4.22,2.3,99,"1,386",0,0
"월요일",21시~22시,25,3.48,2.2,118,"2,959",0,0
"월요일",22시~23시,7,1.37,2.4,113,792,0,0
"월요일",23시~00시,6,1.41,2.5,125,748,0,0
"화요일",00시~01시,0,0,2.1,0,0,0,0
"화요일",01시~02시,11,4.22,2.1,126,"1,386",0,0
"화요일",02시~03시,3,3.34,1.9,136,407,0,0
"화요일",03시~04시,2,2.13,3.1,77,154,0,0
"화요일",04시~05시,2,3.58,2.1,110,220,0,0
"화요일",05시~06시,0,0,2,0,0,0,0
"화요일",06시~07시,10,5.65,2,118,"1,177",0,0
"화요일",07시~08시,4,1.91,1.5,151,605,0,0
"화요일",08시~09시,12,3.38,1.7,98,"1,177",0,0
"화요일",09시~10시,13,2.52,1.9,143,"1,859",0,0
"화요일",10시~11시,14,2.01,1.9,101,"1,419",0,0
"화요일",11시~12시,22,2.64,2,125,"2,739",0,0
"화요일",12시~13시,13,1.96,2.2,144,"1,870",0,0
"화요일",13시~14시,31,4.11,1.6,129,"3,993",0,0
"화요일",14시~15시,18,3.59,2,119,"2,145",0,0
"화요일",15시~16시,15,1.98,2,131,"1,969",0,0
"화요일",16시~17시,16,2.85,2.1,91,"1,452",0,0
"화요일",17시~18시,18,4.11,2.1,123,"2,211",0,0
"화요일",18시~19시,22,5.23,2,128,"2,805",0,0
"화요일",19시~20시,3,2.3,2.5,106,319,0,0
"화요일",20시~21시,8,3.42,2.2,133,"1,067",0,0
"화요일",21시~22시,10,3.03,2.9,136,"1,364",0,0
"화요일",22시~23시,6,3.41,2.3,163,979,0,0
"화요일",23시~00시,2,2.33,2.7,116,231,0,0
"수요일",00시~01시,2,2.09,2.1,182,363,0,0
"수요일",01시~02시,5,2.56,1.9,130,649,0,0
"수요일",02시~03시,1,1,2.1,88,88,0,0
"수요일",03시~04시,1,1.86,2.2,330,330,0,0
"수요일",04시~05시,3,7.9,2.1,92,275,0,0
"수요일",05시~06시,2,3.34,1.4,94,187,0,0
"수요일",06시~07시,6,5.56,1.8,134,803,0,0
"수요일",07시~08시,1,0.61,1.5,121,121,0,0
"수요일",08시~09시,12,4.5,1.6,120,"1,441",0,0
"수요일",09시~10시,11,4.98,1.9,131,"1,441",0,0
"수요일",10시~11시,12,6.63,2,127,"1,518",0,0
"수요일",11시~12시,5,2.41,1.6,106,528,0,0
"수요일",12시~13시,3,1.49,1.9,132,396,0,0
"수요일",13시~14시,3,1.83,2.1,84,253,0,0
"수요일",14시~15시,2,1.79,1.8,72,143,0,0
"수요일",15시~16시,10,5.08,1.7,94,935,0,0
"수요일",16시~17시,3,1.95,1.8,88,264,0,0
"수요일",17시~18시,4,4.82,1.8,127,506,0,0
"수요일",18시~19시,3,1.73,2.2,117,352,0,0
"수요일",19시~20시,7,5.35,1.9,143,"1,001",0,0
"수요일",20시~21시,1,1.3,2.4,88,88,0,0
"수요일",21시~22시,2,3.34,1.8,105,209,0,0
