"요일별보고서(2025.06.01.~2025.06.30.),sunjjoo:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,3,0.32,1.5,873,"2,618",0,0
"월요일",01시~02시,1,0.31,2.5,968,968,0,0
"월요일",02시~03시,1,25,2,858,858,0,0
"월요일",03시~04시,0,0,1.7,0,0,0,0
"월요일",04시~05시,0,0,2,0,0,0,0
"월요일",05시~06시,0,0,1,0,0,0,0
"월요일",06시~07시,3,0.44,1.8,532,"1,595",0,0
"월요일",07시~08시,4,0.38,2,869,"3,476",0,0
"월요일",08시~09시,17,0.66,1.9,873,"14,839",0,0
"월요일",09시~10시,31,0.89,1.5,929,"28,787",0,0
"월요일",10시~11시,65,1.24,1.7,"1,014","65,934",0,0
"월요일",11시~12시,53,0.8,1.7,"1,051","55,693",0,0
"월요일",12시~13시,60,0.97,1.7,"1,040","62,370",0,0
"월요일",13시~14시,27,0.57,1.8,857,"23,144",0,0
"월요일",14시~15시,17,1.17,2.1,965,"16,412",0,0
"월요일",15시~16시,42,0.84,1.6,827,"34,738",0,0
"월요일",16시~17시,66,1.21,1.6,854,"56,386",0,0
"월요일",17시~18시,48,0.8,1.8,907,"43,527",0,0
"월요일",18시~19시,45,1.09,1.7,913,"41,107",0,0
"월요일",19시~20시,19,0.83,1.9,863,"16,401",0,0
"월요일",20시~21시,38,0.92,1.7,915,"34,771",0,0
"월요일",21시~22시,28,0.84,1.7,871,"24,387",0,0
"월요일",22시~23시,30,0.79,1.6,865,"25,960",0,0
"월요일",23시~00시,30,1,1.4,804,"24,112",0,0
"화요일",00시~01시,14,0.71,1.5,827,"11,583",0,0
"화요일",01시~02시,3,0.37,1.9,891,"2,673",0,0
"화요일",02시~03시,0,0,1.9,0,0,0,0
"화요일",03시~04시,0,0,1.3,0,0,0,0
"화요일",04시~05시,0,0,1.8,0,0,0,0
"화요일",05시~06시,0,0,1.2,0,0,0,0
"화요일",06시~07시,2,0.21,1.8,996,"1,991",0,0
"화요일",07시~08시,10,0.65,1.7,"1,051","10,505",0,0
"화요일",08시~09시,23,0.87,1.4,946,"21,758",0,0
"화요일",09시~10시,28,0.73,1.5,874,"24,464",0,0
"화요일",10시~11시,68,1.33,1.7,"1,079","73,359",0,0
"화요일",11시~12시,64,1.17,1.9,"1,091","69,828",0,0
"화요일",12시~13시,21,0.55,2,"1,013","21,263",0,0
"화요일",13시~14시,10,0.41,1.8,960,"9,603",0,0
"화요일",14시~15시,4,0.56,2.1,776,"3,102",0,0
"화요일",15시~16시,35,0.92,1.6,887,"31,042",0,0
"화요일",16시~17시,46,1.01,1.5,876,"40,315",0,0
"화요일",17시~18시,39,0.98,2,926,"36,102",0,0
"화요일",18시~19시,35,1.09,1.9,932,"32,615",0,0
"화요일",19시~20시,6,0.52,2,"1,106","6,633",0,0
"화요일",20시~21시,29,1.01,1.7,835,"24,211",0,0
"화요일",21시~22시,23,0.96,1.7,764,"17,567",0,0
"화요일",22시~23시,22,0.95,1.5,836,"18,392",0,0
"화요일",23시~00시,23,1.16,1.3,793,"18,238",0,0
"수요일",00시~01시,15,0.79,1.5,849,"12,738",0,0
"수요일",01시~02시,2,0.24,1.7,930,"1,859",0,0
"수요일",02시~03시,0,0,2.1,0,0,0,0
"수요일",03시~04시,0,0,1.4,0,0,0,0
"수요일",04시~05시,0,0,1.5,0,0,0,0
"수요일",05시~06시,0,0,1.3,0,0,0,0
"수요일",06시~07시,5,0.41,1.9,691,"3,454",0,0
"수요일",07시~08시,9,0.5,1.7,931,"8,382",0,0
"수요일",08시~09시,16,0.68,1.5,828,"13,255",0,0
"수요일",09시~10시,23,0.69,1.6,886,"20,383",0,0
"수요일",10시~11시,49,1.04,1.6,"1,062","52,030",0,0
"수요일",11시~12시,60,1.07,1.9,"1,002","60,093",0,0
"수요일",12시~13시,24,0.59,2,971,"23,298",0,0
"수요일",13시~14시,22,0.69,1.9,850,"18,700",0,0
"수요일",14시~15시,4,0.42,1.8,641,"2,563",0,0
"수요일",15시~16시,33,0.87,1.6,920,"30,349",0,0
"수요일",16시~17시,26,0.58,1.6,958,"24,915",0,0
"수요일",17시~18시,21,0.56,1.9,926,"19,437",0,0
"수요일",18시~19시,29,0.8,2,918,"26,620",0,0
"수요일",19시~20시,16,0.72,1.8,928,"14,850",0,0
"수요일",20시~21시,22,0.74,1.8,795,"17,490",0,0
"수요일",21시~22시,18,0.75,1.7,900,"16,203",0,0
"수요일",22시~23시,24,0.93,1.6,810,"19,437",0,0
"수요일",23시~00시,15,0.86,1.5,857,"12,859",0,0
"목요일",00시~01시,13,0.88,1.5,845,"10,989",0,0
"목요일",01시~02시,4,0.64,1.9,767,"3,069",0,0
"목요일",02시~03시,0,0,1.7,0,0,0,0
"목요일",03시~04시,0,0,1.3,0,0,0,0
"목요일",04시~05시,0,0,1,0,0,0,0
"목요일",05시~06시,0,0,2,0,0,0,0
"목요일",06시~07시,7,0.62,2,"1,018","7,128",0,0
"목요일",07시~08시,8,0.51,1.6,905,"7,238",0,0
"목요일",08시~09시,12,0.46,1.4,964,"11,572",0,0
"목요일",09시~10시,21,0.62,1.7,853,"17,919",0,0
"목요일",10시~11시,41,0.81,1.7,"1,008","41,327",0,0
"목요일",11시~12시,28,0.54,1.9,932,"26,092",0,0
"목요일",12시~13시,36,0.79,1.7,"1,068","38,445",0,0
"목요일",13시~14시,21,0.54,1.7,"1,079","22,649",0,0
"목요일",14시~15시,5,0.51,1.9,884,"4,422",0,0
"목요일",15시~16시,23,0.59,1.7,878,"20,185",0,0
"목요일",16시~17시,32,0.75,1.7,840,"26,884",0,0
"목요일",17시~18시,43,0.94,1.8,960,"41,261",0,0
"목요일",18시~19시,24,0.69,2.1,872,"20,922",0,0
"목요일",19시~20시,18,0.69,1.9,962,"17,314",0,0
"목요일",20시~21시,21,0.65,1.8,879,"18,458",0,0
"목요일",21시~22시,6,0.26,1.8,823,"4,939",0,0
"목요일",22시~23시,23,0.92,1.6,874,"20,108",0,0
"목요일",23시~00시,18,0.81,1.5,813,"14,630",0,0
"금요일",00시~01시,7,0.39,1.5,877,"6,138",0,0
"금요일",01시~02시,4,0.41,1.8,877,"3,509",0,0
"금요일",02시~03시,0,0,2.6,0,0,0,0
"금요일",03시~04시,0,0,1.4,0,0,0,0
"금요일",04시~05시,0,0,1.5,0,0,0,0
"금요일",05시~06시,0,0,2.8,0,0,0,0
"금요일",06시~07시,5,0.54,1.9,884,"4,422",0,0
"금요일",07시~08시,8,0.62,1.7,888,"7,106",0,0
"금요일",08시~09시,12,0.48,1.5,849,"10,186",0,0
"금요일",09시~10시,34,0.94,1.9,905,"30,767",0,0
"금요일",10시~11시,43,0.89,1.8,995,"42,790",0,0
