"요일별보고서(2025.06.01.~2025.06.30.),tjswn1939:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,4,0,0,0,0
"월요일",01시~02시,0,0,3,0,0,0,0
"월요일",02시~03시,0,0,4,0,0,0,0
"월요일",03시~04시,0,0,1.5,0,0,0,0
"월요일",05시~06시,0,0,3.7,0,0,0,0
"월요일",06시~07시,1,33.34,2.3,528,528,0,0
"수요일",00시~01시,0,0,1.6,0,0,0,0
"수요일",01시~02시,0,0,1.3,0,0,0,0
"수요일",05시~06시,0,0,2,0,0,0,0
"수요일",06시~07시,0,0,1,0,0,0,0
"수요일",07시~08시,0,0,3.8,0,0,0,0
"수요일",08시~09시,0,0,5.7,0,0,0,0
"수요일",10시~11시,0,0,2.3,0,0,0,0
"수요일",11시~12시,0,0,3.3,0,0,0,0
"수요일",12시~13시,0,0,2.2,0,0,0,0
"수요일",13시~14시,0,0,4.9,0,0,0,0
"수요일",14시~15시,0,0,5,0,0,0,0
"수요일",15시~16시,0,0,4,0,0,0,0
"수요일",16시~17시,0,0,2.8,0,0,0,0
"수요일",17시~18시,0,0,4.6,0,0,0,0
"수요일",18시~19시,0,0,5,0,0,0,0
"수요일",19시~20시,0,0,2.3,0,0,0,0
"수요일",20시~21시,0,0,2,0,0,0,0
"수요일",21시~22시,0,0,1.8,0,0,0,0
"수요일",22시~23시,2,50,2.8,72,143,0,0
"수요일",23시~00시,0,0,2.5,0,0,0,0
"목요일",00시~01시,0,0,5.8,0,0,0,0
"목요일",01시~02시,0,0,2.5,0,0,0,0
"목요일",02시~03시,0,0,10,0,0,0,0
"목요일",03시~04시,0,0,3,0,0,0,0
"목요일",04시~05시,0,0,2,0,0,0,0
"목요일",07시~08시,0,0,2,0,0,0,0
"목요일",08시~09시,0,0,3.2,0,0,0,0
"목요일",09시~10시,0,0,3.6,0,0,0,0
"목요일",10시~11시,0,0,1,0,0,0,0
"목요일",11시~12시,1,14.29,3.3,363,363,0,0
"목요일",12시~13시,0,0,1,0,0,0,0
"일요일",00시~01시,0,0,1,0,0,0,0
"일요일",01시~02시,0,0,4.8,0,0,0,0
"일요일",02시~03시,0,0,2.3,0,0,0,0
"일요일",03시~04시,1,50,2.5,77,77,0,0
"일요일",04시~05시,0,0,3,0,0,0,0
"일요일",05시~06시,0,0,2,0,0,0,0
"일요일",06시~07시,0,0,4,0,0,0,0
"일요일",07시~08시,0,0,4,0,0,0,0
"일요일",08시~09시,0,0,2.8,0,0,0,0
"일요일",09시~10시,0,0,3.1,0,0,0,0
"일요일",10시~11시,1,11.12,3.6,77,77,0,0
"일요일",11시~12시,0,0,8,0,0,0,0
"일요일",12시~13시,0,0,2.5,0,0,0,0
"일요일",13시~14시,0,0,1.7,0,0,0,0
"일요일",14시~15시,0,0,1,0,0,0,0
"일요일",15시~16시,0,0,2,0,0,0,0
"일요일",16시~17시,0,0,2.3,0,0,0,0
"일요일",17시~18시,0,0,2,0,0,0,0
"일요일",18시~19시,0,0,1.3,0,0,0,0
"일요일",19시~20시,0,0,4,0,0,0,0
"일요일",20시~21시,0,0,1.8,0,0,0,0
"일요일",21시~22시,0,0,1.8,0,0,0,0
"일요일",22시~23시,0,0,4.7,0,0,0,0
"일요일",23시~00시,0,0,6,0,0,0,0
