"요일별보고서(2025.06.01.~2025.06.30.),wns0092:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,6,0.41,1.9,629,"3,773",0,0
"월요일",01시~02시,7,0.76,2.2,723,"5,060",0,0
"월요일",02시~03시,3,0.59,2.2,524,"1,573",0,0
"월요일",03시~04시,3,0.8,2,418,"1,254",0,0
"월요일",04시~05시,2,0.81,1.9,435,869,0,0
"월요일",05시~06시,2,0.5,1.8,836,"1,672",0,0
"월요일",06시~07시,1,0.22,2,803,803,0,0
"월요일",07시~08시,3,0.31,2,524,"1,573",0,0
"월요일",08시~09시,2,0.14,2,737,"1,474",0,0
"월요일",09시~10시,9,0.41,2.2,574,"5,170",0,0
"월요일",10시~11시,11,0.47,2.1,712,"7,832",0,0
"월요일",11시~12시,10,0.33,2.2,628,"6,281",0,0
"월요일",12시~13시,8,0.3,2.4,741,"5,929",0,0
"월요일",13시~14시,23,0.7,2.3,734,"16,885",0,0
"월요일",14시~15시,22,0.75,2.3,719,"15,807",0,0
"월요일",15시~16시,13,0.42,2.2,703,"9,141",0,0
"월요일",16시~17시,28,0.71,2.3,746,"20,900",0,0
"월요일",17시~18시,46,0.9,2.4,740,"34,034",0,0
"월요일",18시~19시,42,0.98,2.4,681,"28,622",0,0
"월요일",19시~20시,37,0.99,2.3,723,"26,741",0,0
"월요일",20시~21시,25,1.07,2.1,690,"17,259",0,0
"월요일",21시~22시,17,1.12,1.9,863,"14,674",0,0
"월요일",22시~23시,8,0.73,1.7,851,"6,809",0,0
"월요일",23시~00시,7,1.48,1.6,717,"5,016",0,0
"화요일",00시~01시,5,0.59,2,645,"3,223",0,0
"화요일",01시~02시,8,0.68,2,661,"5,291",0,0
"화요일",02시~03시,6,1.07,2,779,"4,675",0,0
"화요일",03시~04시,3,0.64,1.8,686,"2,057",0,0
"화요일",04시~05시,3,0.81,1.8,510,"1,529",0,0
"화요일",05시~06시,0,0,1.8,0,0,0,0
"화요일",06시~07시,1,0.2,1.8,814,814,0,0
"화요일",07시~08시,5,0.58,2.1,726,"3,630",0,0
"화요일",08시~09시,5,0.35,2.1,601,"3,003",0,0
"화요일",09시~10시,6,0.33,2.2,658,"3,949",0,0
"화요일",10시~11시,9,0.47,2.2,587,"5,280",0,0
"화요일",11시~12시,9,0.41,2.3,676,"6,083",0,0
"화요일",12시~13시,13,0.68,2.3,674,"8,756",0,0
"화요일",13시~14시,9,0.42,2.4,725,"6,523",0,0
"화요일",14시~15시,8,0.44,2.2,545,"4,356",0,0
"화요일",15시~16시,12,0.55,2.2,689,"8,272",0,0
"화요일",16시~17시,21,0.73,2.3,786,"16,511",0,0
"화요일",17시~18시,27,0.81,2.3,744,"20,097",0,0
"화요일",18시~19시,22,0.71,2.3,671,"14,751",0,0
"화요일",19시~20시,31,1.06,2.2,670,"20,768",0,0
"화요일",20시~21시,18,0.87,2.1,713,"12,826",0,0
"화요일",21시~22시,10,0.51,2,722,"7,216",0,0
"화요일",22시~23시,12,0.81,1.8,733,"8,800",0,0
"화요일",23시~00시,4,0.76,1.6,817,"3,267",0,0
"수요일",00시~01시,6,0.94,1.8,440,"2,640",0,0
"수요일",01시~02시,3,0.4,2.3,601,"1,804",0,0
"수요일",02시~03시,3,0.59,2.1,777,"2,332",0,0
"수요일",03시~04시,3,0.95,2,847,"2,541",0,0
"수요일",04시~05시,1,0.38,2.2,440,440,0,0
"수요일",05시~06시,3,0.86,1.9,271,814,0,0
"수요일",06시~07시,2,0.49,2,572,"1,144",0,0
"수요일",07시~08시,3,0.43,2,638,"1,914",0,0
"수요일",08시~09시,7,0.64,2.1,594,"4,158",0,0
"수요일",09시~10시,12,0.83,2,512,"6,149",0,0
"수요일",10시~11시,12,0.74,2.3,625,"7,502",0,0
"수요일",11시~12시,10,0.6,2.2,612,"6,116",0,0
"수요일",12시~13시,4,0.34,2.6,726,"2,904",0,0
"수요일",13시~14시,13,0.83,2.3,684,"8,888",0,0
"수요일",14시~15시,11,0.82,2.3,597,"6,567",0,0
"수요일",15시~16시,12,0.84,2.3,750,"8,998",0,0
"수요일",16시~17시,30,1.64,2.3,790,"23,694",0,0
"수요일",17시~18시,24,1.02,2.4,761,"18,260",0,0
"수요일",18시~19시,27,1.38,2.3,697,"18,832",0,0
"수요일",19시~20시,16,0.95,2.4,776,"12,419",0,0
