"요일별보고서(2025.06.01.~2025.06.30.),xodud0817:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,1.1,0,3.85,0,0
"월요일",01시~02시,0,0,2.5,0,0.55,0,0
"월요일",02시~03시,0,0,1.2,0,2.75,0,0
"월요일",03시~04시,0,0,1.4,0,0,0,0
"월요일",04시~05시,0,0,1.3,0,1.1,0,0
"월요일",05시~06시,0,0,1,0,2.2,0,0
"월요일",06시~07시,0,0,1.1,0,10.45,0,0
"월요일",07시~08시,0,0,1.1,0,8.25,0,0
"월요일",08시~09시,0,0,1.4,0,4.95,0,0
"월요일",09시~10시,31,1.43,1.6,"1,434","44,464.75",0,0
"월요일",10시~11시,63,1.39,1.9,"1,474","92,830.65",0,0
"월요일",11시~12시,115,1.74,2.1,"1,540","177,067.55",0,0
"월요일",12시~13시,83,1.43,2.2,"1,535","127,443.8",0,0
"월요일",13시~14시,77,1.5,1.9,"1,602","123,366.1",0,0
"월요일",14시~15시,84,1.86,1.5,"1,581","132,812.35",0,0
"월요일",15시~16시,57,1.32,1.7,"1,550","88,347.05",0,0
"월요일",16시~17시,45,1.81,2.2,"1,455","65,453.3",0,0
"월요일",17시~18시,48,1.27,2.6,"1,313","63,015.7",0,0
"월요일",18시~19시,73,1.83,2.3,"1,400","102,188.9",0,0
"월요일",19시~20시,103,1.8,1.9,"1,526","157,170.75",0,0
"월요일",20시~21시,81,1.56,1.7,"1,360","110,163.35",0,0
"월요일",21시~22시,41,1.33,1.5,"1,447","59,318.05",0,0
"월요일",22시~23시,1,1.76,1.3,"2,351","2,350.7",0,0
"월요일",23시~00시,0,0,1.1,0,6.6,0,0
"화요일",00시~01시,0,0,1.1,0,4.4,0,0
"화요일",01시~02시,0,0,1.4,0,4.95,0,0
"화요일",02시~03시,0,0,1.3,0,0.55,0,0
"화요일",03시~04시,0,0,1,0,0.55,0,0
"화요일",05시~06시,0,0,1.3,0,2.2,0,0
"화요일",06시~07시,0,0,1,0,4.95,0,0
"화요일",07시~08시,0,0,1,0,9.35,0,0
"화요일",08시~09시,0,0,1,0,23.1,0,0
"화요일",09시~10시,81,1.94,1.8,"1,305","105,722.1",0,0
"화요일",10시~11시,79,1.58,2,"1,387","109,602.9",0,0
"화요일",11시~12시,86,1.43,2.2,"1,758","151,217",0,0
"화요일",12시~13시,73,1.37,2.2,"1,635","119,387.95",0,0
"화요일",13시~14시,71,1.51,2,"1,706","121,151.25",0,0
"화요일",14시~15시,73,1.57,1.7,"1,743","127,268.35",0,0
"화요일",15시~16시,90,1.88,1.8,"1,536","138,239.75",0,0
"화요일",16시~17시,65,1.38,2.1,"1,586","103,103",0,0
"화요일",17시~18시,59,1.19,2.2,"1,633","96,358.35",0,0
"화요일",18시~19시,70,1.41,2.1,"1,625","113,762.55",0,0
"화요일",19시~20시,65,1.52,1.8,"1,582","102,813.15",0,0
"화요일",20시~21시,63,1.76,1.5,"1,453","91,510.1",0,0
"화요일",21시~22시,60,1.83,1.3,"1,425","85,479.9",0,0
"화요일",22시~23시,3,2.89,1.1,"1,172","3,514.5",0,0
"화요일",23시~00시,0,0,1.1,0,11,0,0
"수요일",00시~01시,0,0,1.1,0,5.5,0,0
"수요일",01시~02시,0,0,1.2,0,3.85,0,0
"수요일",02시~03시,0,0,1,0,4.4,0,0
"수요일",03시~04시,0,0,1,0,3.3,0,0
"수요일",04시~05시,0,0,1.3,0,1.1,0,0
"수요일",05시~06시,0,0,1.4,0,7.15,0,0
"수요일",06시~07시,0,0,1.1,0,6.6,0,0
"수요일",07시~08시,0,0,1.5,0,6.6,0,0
"수요일",08시~09시,0,0,1.2,0,11.55,0,0
"수요일",09시~10시,38,1.25,1.5,"1,408","53,490.8",0,0
"수요일",10시~11시,55,1.12,1.7,"1,603","88,184.8",0,0
"수요일",11시~12시,82,1.25,1.9,"1,758","144,179.2",0,0
"수요일",12시~13시,46,0.9,1.9,"1,551","71,366.35",0,0
"수요일",13시~14시,53,1.07,1.7,"1,797","95,254.5",0,0
"수요일",14시~15시,66,1.4,1.4,"1,654","109,138.7",0,0
"수요일",15시~16시,60,1.2,1.6,"1,547","92,831.75",0,0
"수요일",16시~17시,54,1.15,1.9,"1,479","79,845.7",0,0
"수요일",17시~18시,46,0.83,1.9,"1,465","67,388.75",0,0
"수요일",18시~19시,60,1.07,1.9,"1,615","96,888.55",0,0
"수요일",19시~20시,63,1.19,1.7,"1,560","98,249.8",0,0
"수요일",20시~21시,74,1.49,1.5,"1,506","111,420.65",0,0
"수요일",21시~22시,48,1.75,1.3,"1,374","65,957.65",0,0
"수요일",22시~23시,1,1.62,1.4,"1,628","1,628",0,0
"수요일",23시~00시,0,0,1.2,0,0,0,0
"목요일",00시~01시,0,0,1,0,0,0,0
"목요일",01시~02시,0,0,1.1,0,0,0,0
"목요일",02시~03시,0,0,1.5,0,0,0,0
"목요일",03시~04시,0,0,1,0,0,0,0
"목요일",04시~05시,0,0,1.3,0,0,0,0
"목요일",05시~06시,0,0,1,0,0,0,0
"목요일",06시~07시,0,0,1.3,0,0,0,0
"목요일",07시~08시,0,0,1.2,0,2.75,0,0
"목요일",08시~09시,0,0,1.3,0,7.7,0,0
"목요일",09시~10시,44,2.19,1.8,"1,403","61,725.95",0,0
"목요일",10시~11시,49,1.32,1.9,"1,525","74,743.9",0,0
"목요일",11시~12시,76,1.31,1.9,"1,680","127,677.55",0,0
"목요일",12시~13시,41,0.92,2,"1,554","63,699.9",0,0
"목요일",13시~14시,51,1.27,1.9,"1,573","80,198.25",0,0
"목요일",14시~15시,38,1.02,1.5,"1,557","59,167.9",0,0
"목요일",15시~16시,61,1.47,1.7,"1,539","93,850.9",0,0
"목요일",16시~17시,66,1.5,2,"1,456","96,105.9",0,0
"목요일",17시~18시,64,1.39,2.2,"1,492","95,481.1",0,0
"목요일",18시~19시,69,1.5,2.2,"1,533","105,761.15",0,0
"목요일",19시~20시,85,1.5,1.8,"1,671","142,073.8",0,0
"목요일",20시~21시,66,1.69,1.4,"1,469","96,925.4",0,0
"목요일",21시~22시,24,1.64,1.4,"1,515","36,350.6",0,0
"목요일",22시~23시,0,0,1.5,0,0,0,0
"목요일",23시~00시,0,0,1.5,0,0,0,0
"금요일",00시~01시,0,0,1.7,0,0,0,0
"금요일",01시~02시,0,0,1.3,0,0,0,0
"금요일",02시~03시,0,0,1,0,0,0,0
"금요일",03시~04시,0,0,1,0,0,0,0
"금요일",05시~06시,0,0,1,0,0,0,0
"금요일",06시~07시,0,0,1,0,0,0,0
"금요일",07시~08시,0,0,1.4,0,6.6,0,0
"금요일",08시~09시,0,0,1,0,11,0,0
"금요일",09시~10시,56,1.68,2.2,"1,521","85,164.2",0,0
"금요일",10시~11시,50,1.38,2.4,"1,397","69,852.2",0,0
"금요일",11시~12시,92,1.84,2.5,"1,793","164,933.45",0,0
"금요일",12시~13시,68,1.84,2.6,"1,570","106,775.35",0,0
"금요일",13시~14시,54,1.74,2.4,"1,721","92,929.1",0,0
"금요일",14시~15시,86,2.56,1.9,"1,734","149,094.55",0,0
"금요일",15시~16시,68,1.73,2,"1,745","118,658.1",0,0
"금요일",16시~17시,63,1.6,2.3,"1,738","109,467.6",0,0
"금요일",17시~18시,76,1.95,2.5,"1,618","122,961.85",0,0
"금요일",18시~19시,106,2.03,2.1,"1,782","188,928.3",0,0
"금요일",19시~20시,114,2.25,1.8,"1,691","192,788.2",0,0
"금요일",20시~21시,83,2.15,1.7,"1,401","116,265.6",0,0
"금요일",21시~22시,45,2.4,1.8,"1,514","68,130.7",0,0
"금요일",22시~23시,2,4.88,1.2,"1,476","2,951.3",0,0
"금요일",23시~00시,0,0,1.7,0,0,0,0
"토요일",00시~01시,0,0,1.8,0,0,0,0
"토요일",01시~02시,0,0,1.6,0,0,0,0
"토요일",03시~04시,0,0,1,0,0,0,0
"토요일",04시~05시,0,0,1,0,0,0,0
"토요일",05시~06시,0,0,1,0,0,0,0
"토요일",06시~07시,0,0,4,0,0,0,0
"토요일",07시~08시,0,0,1.2,0,4.95,0,0
"토요일",08시~09시,0,0,1.2,0,14.3,0,0
"토요일",09시~10시,75,2.26,1.9,"1,394","104,548.4",0,0
"토요일",10시~11시,79,2.06,2.4,"1,449","114,437.95",0,0
"토요일",11시~12시,93,1.77,2.9,"1,792","166,615.9",0,0
"토요일",12시~13시,101,1.94,3,"1,884","190,309.35",0,0
"토요일",13시~14시,128,2.56,2.4,"1,969","252,044.65",0,0
"토요일",14시~15시,123,2.77,1.7,"1,869","229,948.4",0,0
"토요일",15시~16시,112,2.51,1.8,"1,847","206,828.05",0,0
"토요일",16시~17시,107,2.15,2.3,"1,831","195,920.45",0,0
"토요일",17시~18시,141,2.02,2.2,"1,753","247,207.4",0,0
"토요일",18시~19시,191,2.64,2.1,"1,842","351,895.5",0,0
"토요일",19시~20시,122,2,1.9,"1,761","214,816.25",0,0
"토요일",20시~21시,119,2.6,1.7,"1,389","165,248.05",0,0
"토요일",21시~22시,32,2.17,1.7,"1,392","44,535.15",0,0
"토요일",22시~23시,1,2.09,2.3,"1,683","1,683",0,0
"토요일",23시~00시,0,0,1.3,0,0,0,0
"일요일",00시~01시,0,0,1.3,0,0,0,0
"일요일",01시~02시,0,0,1.6,0,0,0,0
"일요일",02시~03시,0,0,2.3,0,0,0,0
"일요일",03시~04시,0,0,1.3,0,0,0,0
"일요일",04시~05시,0,0,1.3,0,0,0,0
"일요일",05시~06시,0,0,1.5,0,0,0,0
"일요일",06시~07시,0,0,1.6,0,0,0,0
"일요일",07시~08시,0,0,1.2,0,4.95,0,0
"일요일",08시~09시,0,0,1.4,0,8.8,0,0
"일요일",09시~10시,101,1.86,2,"1,603","161,859.5",0,0
"일요일",10시~11시,185,2.42,1.9,"1,703","315,132.95",0,0
"일요일",11시~12시,198,2.2,2.5,"1,847","365,671.9",0,0
"일요일",12시~13시,179,2.26,2.7,"1,740","311,388.55",0,0
"일요일",13시~14시,189,2.75,2.1,"1,850","349,685.6",0,0
"일요일",14시~15시,140,2.52,1.6,"1,800","252,033.1",0,0
"일요일",15시~16시,124,2.32,1.9,"1,737","215,378.35",0,0
"일요일",16시~17시,107,2.09,2.5,"1,575","168,504.6",0,0
"일요일",17시~18시,167,2.02,2.2,"1,675","279,706.35",0,0
"일요일",18시~19시,164,2.07,2,"1,665","273,075",0,0
"일요일",19시~20시,121,2.04,1.7,"1,407","170,214.55",0,0
"일요일",20시~21시,72,1.62,1.6,"1,347","96,999.65",0,0
"일요일",21시~22시,36,2.08,1.5,"1,254","45,154.45",0,0
"일요일",22시~23시,1,1.97,1.2,3,3.3,0,0
"일요일",23시~00시,0,0,1.3,0,3.85,0,0
