"일별보고서(2025.03.31.~2025.06.30.),911jokbo:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,572,3,0.53,247,741.95,0,0
2025.03.31.,모바일,"1,316",3,0.23,188,562.65,0,0
2025.04.01.,PC,486,5,1.03,159,793.65,0,0
2025.04.01.,모바일,"1,720",4,0.24,248,991.1,0,0
2025.04.02.,PC,542,7,1.3,160,"1,119.8",0,0
2025.04.02.,모바일,"1,085",1,0.1,433,433.4,0,0
2025.04.03.,PC,263,3,1.15,159,477.95,0,0
2025.04.03.,모바일,759,6,0.8,109,653.95,0,0
2025.04.04.,PC,452,4,0.89,109,434.5,0,0
2025.04.04.,모바일,"1,690",4,0.24,243,971.85,0,0
2025.04.05.,PC,141,0,0,0,56.1,0,0
2025.04.05.,모바일,"1,202",5,0.42,180,898.7,0,0
2025.04.06.,PC,122,2,1.64,125,250.25,0,0
2025.04.06.,모바일,"1,057",6,0.57,130,779.35,0,0
2025.04.07.,PC,595,3,0.51,163,490.05,0,0
2025.04.07.,모바일,"1,178",5,0.43,159,796.95,0,0
2025.04.08.,PC,554,4,0.73,193,770,0,0
2025.04.08.,모바일,"1,289",6,0.47,168,"1,009.8",0,0
2025.04.09.,PC,531,2,0.38,247,493.35,0,0
2025.04.09.,모바일,"1,339",4,0.3,204,815.1,0,0
2025.04.10.,PC,484,6,1.24,179,"1,076.35",0,0
2025.04.10.,모바일,"1,215",6,0.5,158,948.75,0,0
2025.04.11.,PC,418,4,0.96,108,433.95,0,0
2025.04.11.,모바일,"1,103",8,0.73,154,"1,232",0,0
2025.04.12.,PC,115,0,0,0,47.85,0,0
2025.04.12.,모바일,"1,176",4,0.35,113,453.2,0,0
2025.04.13.,PC,116,1,0.87,229,228.8,0,0
2025.04.13.,모바일,"1,122",7,0.63,124,867.35,0,0
2025.04.14.,PC,607,1,0.17,466,465.85,0,0
2025.04.14.,모바일,"1,252",7,0.56,178,"1,247.4",0,0
2025.04.15.,PC,573,5,0.88,158,791.45,0,0
2025.04.15.,모바일,"1,394",8,0.58,159,"1,270.5",0,0
2025.04.16.,PC,482,7,1.46,205,"1,436.05",0,0
2025.04.16.,모바일,"1,134",5,0.45,185,926.2,0,0
2025.04.17.,PC,511,5,0.98,148,740.3,0,0
2025.04.17.,모바일,"1,225",5,0.41,217,"1,084.05",0,0
2025.04.18.,PC,457,3,0.66,208,622.6,0,0
2025.04.18.,모바일,"1,206",5,0.42,145,724.9,0,0
2025.04.19.,PC,131,0,0,0,60.5,0,0
2025.04.19.,모바일,"1,013",5,0.5,147,734.25,0,0
2025.04.20.,PC,107,2,1.87,101,201.85,0,0
2025.04.20.,모바일,920,5,0.55,187,933.35,0,0
2025.04.21.,PC,590,9,1.53,130,"1,166.55",0,0
2025.04.21.,모바일,"1,278",3,0.24,171,513.15,0,0
2025.04.22.,PC,649,4,0.62,196,782.65,0,0
2025.04.22.,모바일,"1,298",8,0.62,129,"1,032.9",0,0
2025.04.23.,PC,735,3,0.41,190,569.25,0,0
2025.04.23.,모바일,"1,434",6,0.42,211,"1,263.9",0,0
2025.04.24.,PC,691,4,0.58,153,611.6,0,0
2025.04.24.,모바일,"1,647",3,0.19,194,580.8,0,0
2025.04.25.,PC,538,4,0.75,215,858.55,0,0
2025.04.25.,모바일,"1,320",8,0.61,132,"1,057.65",0,0
2025.04.26.,PC,147,0,0,0,50.05,0,0
2025.04.26.,모바일,"1,075",5,0.47,198,988.9,0,0
2025.04.27.,PC,154,0,0,0,55.55,0,0
2025.04.27.,모바일,972,2,0.21,209,417.45,0,0
2025.04.28.,PC,680,6,0.89,143,857.45,0,0
2025.04.28.,모바일,"1,190",3,0.26,243,728.2,0,0
2025.04.29.,PC,688,4,0.59,166,663.85,0,0
2025.04.29.,모바일,"1,385",5,0.37,209,"1,043.35",0,0
2025.04.30.,PC,542,1,0.19,288,287.65,0,0
2025.04.30.,모바일,"1,101",6,0.55,137,822.25,0,0
2025.05.01.,PC,162,0,0,0,62.15,0,0
2025.05.01.,모바일,"1,129",8,0.71,104,831.05,0,0
2025.05.02.,PC,462,5,1.09,171,852.5,0,0
2025.05.02.,모바일,"1,122",8,0.72,114,913.55,0,0
2025.05.03.,PC,163,2,1.23,177,353.1,0,0
2025.05.03.,모바일,"1,129",3,0.27,166,497.2,0,0
2025.05.04.,PC,120,0,0,0,39.05,0,0
2025.05.04.,모바일,991,11,1.11,177,"1,950.85",0,0
2025.05.05.,PC,124,0,0,0,44.55,0,0
2025.05.05.,모바일,846,3,0.36,176,528,0,0
2025.05.06.,PC,146,0,0,0,61.05,0,0
2025.05.06.,모바일,882,4,0.46,126,504.9,0,0
2025.05.07.,PC,703,0,0,0,242.55,0,0
2025.05.07.,모바일,"1,290",6,0.47,152,909.7,0,0
2025.05.08.,PC,532,2,0.38,143,286,0,0
2025.05.08.,모바일,"1,322",7,0.53,145,"1,018.05",0,0
2025.05.09.,PC,555,4,0.73,138,550,0,0
2025.05.09.,모바일,"1,358",5,0.37,201,"1,005.4",0,0
2025.05.10.,PC,126,1,0.8,246,246.4,0,0
2025.05.10.,모바일,"1,381",2,0.15,290,579.7,0,0
2025.05.11.,PC,115,1,0.87,129,128.7,0,0
2025.05.11.,모바일,"1,269",8,0.64,136,"1,084.6",0,0
2025.05.12.,PC,567,5,0.89,189,944.35,0,0
2025.05.12.,모바일,"1,219",5,0.42,175,875.05,0,0
2025.05.13.,PC,570,2,0.36,252,504.9,0,0
2025.05.13.,모바일,"1,223",9,0.74,167,"1,503.15",0,0
2025.05.14.,PC,539,1,0.19,388,387.75,0,0
2025.05.14.,모바일,"1,344",6,0.45,100,601.15,0,0
2025.05.15.,PC,552,3,0.55,158,473.55,0,0
2025.05.15.,모바일,"1,181",5,0.43,165,824.45,0,0
2025.05.16.,PC,474,4,0.85,142,568.7,0,0
