"일별보고서(2025.03.31.~2025.06.30.),bae3jh:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,712,9,1.27,441,"3,971",0,0
2025.03.31.,모바일,239,10,4.19,81,814,0,0
2025.04.01.,PC,641,7,1.1,809,"5,665",0,0
2025.04.01.,모바일,251,6,2.4,99,594,0,0
2025.04.02.,PC,508,6,1.19,"1,183","7,095",0,0
2025.04.02.,모바일,199,7,3.52,376,"2,629",0,0
2025.04.03.,PC,622,8,1.29,670,"5,357",0,0
2025.04.03.,모바일,212,8,3.78,437,"3,498",0,0
2025.04.04.,PC,492,8,1.63,527,"4,213",0,0
2025.04.04.,모바일,183,4,2.19,91,363,0,0
2025.04.05.,PC,309,7,2.27,"1,017","7,117",0,0
2025.04.05.,모바일,236,7,2.97,374,"2,618",0,0
2025.04.06.,PC,324,6,1.86,798,"4,785",0,0
2025.04.06.,모바일,329,15,4.56,229,"3,432",0,0
2025.04.07.,PC,660,8,1.22,161,"1,287",0,0
2025.04.07.,모바일,270,12,4.45,108,"1,298",0,0
2025.04.08.,PC,663,6,0.91,479,"2,871",0,0
2025.04.08.,모바일,229,7,3.06,115,803,0,0
2025.04.09.,PC,626,3,0.48,594,"1,782",0,0
2025.04.09.,모바일,278,8,2.88,375,"3,003",0,0
2025.04.10.,PC,583,12,2.06,669,"8,030",0,0
2025.04.10.,모바일,235,6,2.56,128,770,0,0
2025.04.11.,PC,465,3,0.65,"1,056","3,168",0,0
2025.04.11.,모바일,282,11,3.91,463,"5,093",0,0
2025.04.12.,PC,291,4,1.38,498,"1,991",0,0
2025.04.12.,모바일,227,7,3.09,489,"3,421",0,0
2025.04.13.,PC,375,3,0.8,521,"1,562",0,0
2025.04.13.,모바일,331,6,1.82,81,484,0,0
2025.04.14.,PC,555,11,1.99,634,"6,974",0,0
2025.04.14.,모바일,195,5,2.57,449,"2,244",0,0
2025.04.15.,PC,654,10,1.53,350,"3,498",0,0
2025.04.15.,모바일,238,8,3.37,91,726,0,0
2025.04.16.,PC,603,7,1.17,723,"5,060",0,0
2025.04.16.,모바일,247,8,3.24,432,"3,454",0,0
2025.04.17.,PC,596,7,1.18,338,"2,365",0,0
2025.04.17.,모바일,250,7,2.8,97,682,0,0
2025.04.18.,PC,571,12,2.11,520,"6,237",0,0
2025.04.18.,모바일,274,3,1.1,"1,030","3,091",0,0
2025.04.19.,PC,341,1,0.3,"1,617","1,617",0,0
2025.04.19.,모바일,373,12,3.22,270,"3,234",0,0
2025.04.20.,PC,290,12,4.14,448,"5,379",0,0
2025.04.20.,모바일,249,4,1.61,204,814,0,0
2025.04.21.,PC,598,4,0.67,803,"3,212",0,0
2025.04.21.,모바일,305,11,3.61,329,"3,619",0,0
2025.04.22.,PC,688,9,1.31,571,"5,137",0,0
2025.04.22.,모바일,306,6,1.97,191,"1,144",0,0
2025.04.23.,PC,759,9,1.19,803,"7,227",0,0
2025.04.23.,모바일,316,5,1.59,359,"1,793",0,0
2025.04.24.,PC,663,7,1.06,305,"2,134",0,0
2025.04.24.,모바일,292,8,2.74,116,924,0,0
2025.04.25.,PC,568,4,0.71,"1,042","4,169",0,0
2025.04.25.,모바일,230,8,3.48,707,"5,654",0,0
2025.04.26.,PC,314,7,2.23,927,"6,490",0,0
2025.04.26.,모바일,308,8,2.6,326,"2,607",0,0
2025.04.27.,PC,383,10,2.62,364,"3,641",0,0
2025.04.27.,모바일,290,7,2.42,203,"1,419",0,0
2025.04.28.,PC,802,9,1.13,508,"4,576",0,0
2025.04.28.,모바일,296,3,1.02,110,330,0,0
2025.04.29.,PC,748,10,1.34,452,"4,521",0,0
2025.04.29.,모바일,289,12,4.16,355,"4,257",0,0
2025.04.30.,PC,633,8,1.27,337,"2,695",0,0
2025.04.30.,모바일,250,5,2,460,"2,299",0,0
2025.05.01.,PC,385,4,1.04,415,"1,661",0,0
2025.05.01.,모바일,274,7,2.56,170,"1,188",0,0
2025.05.02.,PC,513,3,0.59,191,572,0,0
2025.05.02.,모바일,267,7,2.63,124,869,0,0
2025.05.03.,PC,311,5,1.61,968,"4,840",0,0
2025.05.03.,모바일,251,6,2.4,310,"1,859",0,0
2025.05.04.,PC,290,3,1.04,312,935,0,0
2025.05.04.,모바일,239,5,2.1,108,539,0,0
2025.05.05.,PC,300,9,3,552,"4,972",0,0
2025.05.05.,모바일,248,6,2.42,99,594,0,0
2025.05.06.,PC,438,4,0.92,619,"2,475",0,0
2025.05.06.,모바일,304,8,2.64,337,"2,695",0,0
2025.05.07.,PC,823,17,2.07,483,"8,217",0,0
2025.05.07.,모바일,296,7,2.37,138,968,0,0
2025.05.08.,PC,743,13,1.75,450,"5,852",0,0
2025.05.08.,모바일,244,6,2.46,207,"1,243",0,0
2025.05.09.,PC,742,10,1.35,288,"2,882",0,0
2025.05.09.,모바일,251,5,2,147,737,0,0
2025.05.10.,PC,433,6,1.39,970,"5,819",0,0
2025.05.10.,모바일,331,12,3.63,254,"3,047",0,0
2025.05.11.,PC,366,5,1.37,660,"3,300",0,0
2025.05.11.,모바일,439,10,2.28,84,836,0,0
2025.05.12.,PC,837,5,0.6,407,"2,035",0,0
2025.05.12.,모바일,302,7,2.32,217,"1,518",0,0
2025.05.13.,PC,693,10,1.45,525,"5,247",0,0
2025.05.13.,모바일,248,10,4.04,352,"3,520",0,0
2025.05.14.,PC,576,9,1.57,755,"6,798",0,0
2025.05.14.,모바일,264,1,0.38,77,77,0,0
2025.05.15.,PC,562,3,0.54,535,"1,606",0,0
2025.05.15.,모바일,174,3,1.73,246,737,0,0
2025.05.16.,PC,483,7,1.45,863,"6,039",0,0
2025.05.16.,모바일,241,7,2.91,91,638,0,0
2025.05.17.,PC,715,10,1.4,809,"8,085",0,0
2025.05.17.,모바일,738,4,0.55,107,429,0,0
2025.05.18.,PC,305,4,1.32,462,"1,848",0,0
2025.05.18.,모바일,333,3,0.91,73,220,0,0
2025.05.19.,PC,585,8,1.37,535,"4,279",0,0
2025.05.19.,모바일,227,5,2.21,216,"1,078",0,0
2025.05.20.,PC,597,6,1.01,655,"3,927",0,0
2025.05.20.,모바일,265,7,2.65,482,"3,377",0,0
2025.05.21.,PC,560,9,1.61,242,"2,178",0,0
2025.05.21.,모바일,196,7,3.58,93,649,0,0
2025.05.22.,PC,601,4,0.67,847,"3,388",0,0
2025.05.22.,모바일,211,4,1.9,553,"2,211",0,0
2025.05.23.,PC,500,6,1.2,"1,087","6,523",0,0
2025.05.23.,모바일,284,7,2.47,218,"1,529",0,0
2025.05.24.,PC,259,4,1.55,85,341,0,0
2025.05.24.,모바일,324,10,3.09,282,"2,816",0,0
2025.05.25.,PC,274,5,1.83,585,"2,926",0,0
2025.05.25.,모바일,356,9,2.53,225,"2,024",0,0
2025.05.26.,PC,592,9,1.53,572,"5,148",0,0
2025.05.26.,모바일,524,13,2.49,276,"3,586",0,0
2025.05.27.,PC,611,10,1.64,501,"5,005",0,0
2025.05.27.,모바일,548,8,1.46,309,"2,475",0,0
2025.05.28.,PC,638,10,1.57,636,"6,358",0,0
2025.05.28.,모바일,"1,241",13,1.05,356,"4,631",0,0
2025.05.29.,PC,553,4,0.73,74,297,0,0
2025.05.29.,모바일,751,9,1.2,387,"3,487",0,0
2025.05.30.,PC,405,3,0.75,653,"1,958",0,0
2025.05.30.,모바일,"1,222",10,0.82,160,"1,595",0,0
2025.05.31.,PC,258,2,0.78,748,"1,496",0,0
2025.05.31.,모바일,"1,545",4,0.26,193,770,0,0
2025.06.01.,PC,270,3,1.12,546,"1,639",0,0
2025.06.01.,모바일,396,2,0.51,77,154,0,0
2025.06.02.,PC,489,7,1.44,470,"3,289",0,0
2025.06.02.,모바일,489,11,2.25,423,"4,653",0,0
2025.06.03.,PC,310,4,1.3,83,330,0,0
2025.06.03.,모바일,289,13,4.5,190,"2,475",0,0
2025.06.04.,PC,652,9,1.39,460,"4,136",0,0
2025.06.04.,모바일,545,12,2.21,134,"1,606",0,0
2025.06.05.,PC,518,5,0.97,"1,082","5,412",0,0
2025.06.05.,모바일,323,13,4.03,381,"4,950",0,0
2025.06.06.,PC,330,6,1.82,636,"3,817",0,0
2025.06.06.,모바일,428,15,3.51,337,"5,049",0,0
2025.06.07.,PC,310,6,1.94,948,"5,687",0,0
2025.06.07.,모바일,715,13,1.82,417,"5,423",0,0
2025.06.08.,PC,444,5,1.13,81,407,0,0
2025.06.08.,모바일,500,7,1.4,346,"2,420",0,0
2025.06.09.,PC,786,9,1.15,384,"3,454",0,0
2025.06.09.,모바일,475,12,2.53,322,"3,861",0,0
2025.06.10.,PC,741,8,1.08,308,"2,464",0,0
2025.06.10.,모바일,443,8,1.81,297,"2,376",0,0
2025.06.11.,PC,566,10,1.77,294,"2,937",0,0
2025.06.11.,모바일,383,12,3.14,621,"7,447",0,0
2025.06.12.,PC,559,7,1.26,325,"2,277",0,0
2025.06.12.,모바일,419,8,1.91,820,"6,556",0,0
2025.06.13.,PC,448,5,1.12,180,902,0,0
