"일별보고서(2025.03.31.~2025.06.30.),cmengineering:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"2,107",3,0.15,"3,142","9,427",0,0
2025.03.31.,모바일,599,9,1.51,"2,638","23,738",0,0
2025.04.01.,PC,"1,583",5,0.32,"2,416","12,078",0,0
2025.04.01.,모바일,501,7,1.4,"1,938","13,563",0,0
2025.04.02.,PC,"1,630",4,0.25,391,"1,562",0,0
2025.04.02.,모바일,350,5,1.43,"8,226","41,129",0,0
2025.04.03.,PC,"1,398",6,0.43,389,"2,332",0,0
2025.04.03.,모바일,346,7,2.03,"3,958","27,709",0,0
2025.04.04.,PC,"1,344",4,0.3,"1,133","4,532",0,0
2025.04.04.,모바일,340,6,1.77,"3,812","22,869",0,0
2025.04.05.,PC,614,1,0.17,957,957,0,0
2025.04.05.,모바일,357,4,1.13,"6,575","26,301",0,0
2025.04.06.,PC,14,0,0,0,0,0,0
2025.04.06.,모바일,69,2,2.9,369,737,0,0
2025.04.07.,PC,"1,535",0,0,0,0,0,0
2025.04.07.,모바일,340,8,2.36,"5,954","47,630",0,0
2025.04.08.,PC,"1,609",1,0.07,187,187,0,0
2025.04.08.,모바일,412,9,2.19,"3,513","31,614",0,0
2025.04.09.,PC,"1,554",7,0.46,341,"2,387",0,0
2025.04.09.,모바일,420,7,1.67,"9,138","63,965",0,0
2025.04.10.,PC,"1,543",3,0.2,"2,574","7,722",0,0
2025.04.10.,모바일,362,7,1.94,"3,324","23,265",0,0
2025.04.11.,PC,"1,286",0,0,0,0,0,0
2025.04.11.,모바일,364,9,2.48,"5,293","47,641",0,0
2025.04.12.,PC,"1,013",2,0.2,"7,112","14,223",0,0
2025.04.12.,모바일,281,9,3.21,926,"8,338",0,0
2025.04.13.,PC,14,1,7.15,"2,948","2,948",0,0
2025.04.13.,모바일,107,6,5.61,"8,074","48,444",0,0
2025.04.14.,PC,"1,656",2,0.13,611,"1,221",0,0
2025.04.14.,모바일,286,7,2.45,"3,614","25,300",0,0
2025.04.15.,PC,"2,100",3,0.15,887,"2,662",0,0
2025.04.15.,모바일,389,12,3.09,"7,273","87,274",0,0
2025.04.16.,PC,"1,785",1,0.06,440,440,0,0
2025.04.16.,모바일,396,7,1.77,"4,147","29,029",0,0
2025.04.17.,PC,"1,646",2,0.13,352,704,0,0
2025.04.17.,모바일,"1,042",7,0.68,"4,090","28,633",0,0
2025.04.18.,PC,"1,528",4,0.27,325,"1,298",0,0
2025.04.18.,모바일,783,12,1.54,"6,443","77,319",0,0
2025.04.19.,PC,"1,053",1,0.1,418,418,0,0
2025.04.19.,모바일,"1,035",6,0.58,"2,011","12,067",0,0
2025.04.20.,PC,9,0,0,0,0,0,0
2025.04.20.,모바일,110,7,6.37,"7,200","50,402",0,0
2025.04.21.,PC,"1,532",3,0.2,433,"1,298",0,0
2025.04.21.,모바일,957,11,1.15,"4,567","50,237",0,0
2025.04.22.,PC,"1,662",0,0,0,0,0,0
2025.04.22.,모바일,"1,043",8,0.77,"5,511","44,088",0,0
2025.04.23.,PC,"1,674",5,0.3,"1,591","7,953",0,0
2025.04.23.,모바일,"1,288",10,0.78,"5,698","56,980",0,0
2025.04.24.,PC,"1,355",2,0.15,616,"1,232",0,0
2025.04.24.,모바일,"1,074",9,0.84,"4,099","36,894",0,0
2025.04.25.,PC,828,3,0.37,"1,525","4,576",0,0
2025.04.25.,모바일,927,9,0.98,"4,130","37,169",0,0
2025.04.26.,PC,420,1,0.24,77,77,0,0
2025.04.26.,모바일,897,6,0.67,"4,990","29,942",0,0
2025.04.27.,PC,10,0,0,0,0,0,0
2025.04.27.,모바일,55,2,3.64,"7,865","15,730",0,0
2025.04.28.,PC,"1,010",1,0.1,803,803,0,0
2025.04.28.,모바일,940,11,1.18,"4,932","54,252",0,0
2025.04.29.,PC,609,1,0.17,"4,719","4,719",0,0
2025.04.29.,모바일,413,2,0.49,"9,697","19,393",0,0
2025.04.30.,PC,86,6,6.98,"2,739","16,434",0,0
2025.04.30.,모바일,286,6,2.1,"3,582","21,494",0,0
2025.05.01.,PC,47,2,4.26,"14,586","29,172",0,0
2025.05.01.,모바일,183,7,3.83,"6,014","42,097",0,0
2025.05.02.,PC,68,2,2.95,"3,377","6,754",0,0
2025.05.02.,모바일,215,4,1.87,"5,976","23,903",0,0
2025.05.03.,PC,29,1,3.45,627,627,0,0
2025.05.03.,모바일,166,3,1.81,"2,974","8,921",0,0
2025.05.04.,PC,24,0,0,0,0,0,0
2025.05.04.,모바일,143,4,2.8,"6,773","27,093",0,0
2025.05.05.,PC,28,0,0,0,0,0,0
2025.05.05.,모바일,126,2,1.59,"2,959","5,918",0,0
2025.05.06.,PC,43,1,2.33,891,891,0,0
2025.05.06.,모바일,197,6,3.05,"4,528","27,170",0,0
2025.05.07.,PC,83,4,4.82,"3,911","15,642",0,0
2025.05.07.,모바일,222,12,5.41,"3,195","38,335",0,0
2025.05.08.,PC,75,4,5.34,"1,911","7,645",0,0
2025.05.08.,모바일,222,7,3.16,"3,671","25,696",0,0
2025.05.09.,PC,77,3,3.9,851,"2,552",1,10
2025.05.09.,모바일,209,10,4.79,"4,265","42,647",0,0
2025.05.10.,PC,33,1,3.04,891,891,0,0
2025.05.10.,모바일,175,4,2.29,"2,016","8,063",0,0
2025.05.11.,PC,35,0,0,0,0,0,0
2025.05.11.,모바일,179,9,5.03,"3,466","31,196",2,20
2025.05.12.,PC,57,3,5.27,"5,449","16,346",0,0
2025.05.12.,모바일,179,13,7.27,"5,239","68,112",1,10
2025.05.13.,PC,74,6,8.11,"5,047","30,283",0,0
2025.05.13.,모바일,286,7,2.45,"1,122","7,854",1,10
2025.05.14.,PC,76,2,2.64,"5,533","11,066",0,0
2025.05.14.,모바일,194,8,4.13,"6,509","52,074",5,50
2025.05.15.,PC,66,1,1.52,"5,269","5,269",0,0
2025.05.15.,모바일,155,5,3.23,"5,843","29,216",3,30
2025.05.16.,PC,75,5,6.67,"4,369","21,846",0,0
2025.05.16.,모바일,172,9,5.24,"2,036","18,326",4,40
2025.05.17.,모바일,16,1,6.25,"11,913","11,913",0,0
2025.05.20.,PC,60,4,6.67,"2,951","11,803",0,0
2025.05.20.,모바일,131,4,3.06,"6,168","24,673",2,20
2025.05.21.,PC,59,1,1.7,"4,983","4,983",0,0
2025.05.21.,모바일,200,8,4,"6,793","54,340",2,20
2025.05.22.,PC,77,2,2.6,"5,115","10,230",0,0
2025.05.22.,모바일,197,8,4.07,"2,182","17,457",1,10
2025.05.23.,PC,68,2,2.95,"13,189","26,378",0,0
2025.05.23.,모바일,190,6,3.16,"3,293","19,756",1,10
2025.05.24.,PC,16,0,0,0,0,0,0
2025.05.24.,모바일,174,2,1.15,"6,936","13,871",2,20
2025.05.25.,PC,27,2,7.41,"3,267","6,534",1,10
2025.05.25.,모바일,115,6,5.22,"7,253","43,516",1,10
2025.05.26.,PC,61,1,1.64,748,748,0,0
2025.05.26.,모바일,196,4,2.05,"4,111","16,445",0,0
2025.05.27.,PC,66,5,7.58,"3,670","18,348",0,0
2025.05.27.,모바일,189,9,4.77,"3,536","31,823",2,20
2025.05.28.,PC,69,2,2.9,"1,111","2,222",0,0
2025.05.28.,모바일,183,8,4.38,"5,401","43,208",4,40
2025.05.29.,PC,67,4,5.98,"3,077","12,309",0,0
2025.05.29.,모바일,168,8,4.77,754,"6,028",0,0
2025.05.30.,PC,49,1,2.05,"2,343","2,343",0,0
2025.05.30.,모바일,137,4,2.92,"1,480","5,918",1,10
2025.05.31.,PC,34,0,0,0,0,0,0
2025.05.31.,모바일,148,6,4.06,"5,817","34,903",2,20
2025.06.01.,PC,13,1,7.7,"5,434","5,434",0,0
2025.06.01.,모바일,143,5,3.5,"3,582","17,908",0,0
2025.06.02.,PC,46,0,0,0,0,0,0
2025.06.02.,모바일,176,10,5.69,"6,680","66,803",4,40
2025.06.03.,PC,37,0,0,0,0,0,0
2025.06.03.,모바일,162,6,3.71,"3,669","22,011",1,10
2025.06.04.,PC,62,2,3.23,"1,348","2,695",0,0
2025.06.04.,모바일,149,9,6.05,"3,676","33,088",3,30
2025.06.05.,PC,63,0,0,0,0,0,0
