"일별보고서(2025.03.31.~2025.06.30.),cmfitness12:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,66,4,6.07,"1,092","4,367",0,0
2025.03.31.,모바일,568,25,4.41,"2,251","56,276",0,0
2025.04.01.,PC,301,12,3.99,"1,283","15,400",0,0
2025.04.01.,모바일,896,20,2.24,"2,223","44,462",0,0
2025.04.02.,PC,149,6,4.03,"1,931","11,583",0,0
2025.04.02.,모바일,693,20,2.89,"2,267","45,342",0,0
2025.04.03.,PC,216,4,1.86,"1,507","6,028",0,0
2025.04.03.,모바일,814,17,2.09,"1,855","31,537",0,0
2025.04.04.,PC,172,4,2.33,"1,796","7,183",0,0
2025.04.04.,모바일,"1,183",19,1.61,"2,448","46,508",0,0
2025.04.05.,PC,73,2,2.74,"1,975","3,949",0,0
2025.04.05.,모바일,"1,110",36,3.25,"1,815","65,351",0,0
2025.04.06.,PC,49,2,4.09,902,"1,804",0,0
2025.04.06.,모바일,"1,091",30,2.75,"2,305","69,157",0,0
2025.04.07.,PC,167,5,3,"1,351","6,754",0,0
2025.04.07.,모바일,911,25,2.75,"2,124","53,097",0,0
2025.04.08.,PC,180,7,3.89,"1,468","10,274",0,0
2025.04.08.,모바일,"1,070",24,2.25,"1,969","47,267",0,0
2025.04.09.,PC,76,2,2.64,"1,271","2,541",0,0
2025.04.09.,모바일,738,23,3.12,"2,504","57,585",0,0
2025.04.10.,PC,160,8,5,"1,338","10,703",0,0
2025.04.10.,모바일,739,24,3.25,"2,254","54,098",0,0
2025.04.11.,PC,93,3,3.23,"1,331","3,993",0,0
2025.04.11.,모바일,851,29,3.41,"2,091","60,643",0,0
2025.04.12.,PC,34,2,5.89,"1,821","3,641",0,0
2025.04.12.,모바일,906,16,1.77,"2,306","36,894",0,0
2025.04.13.,모바일,5,0,0,0,0,0,0
2025.04.14.,모바일,1,0,0,0,0,0,0
2025.04.15.,모바일,5,0,0,0,0,0,0
2025.04.16.,PC,142,2,1.41,"1,551","3,102",0,0
2025.04.16.,모바일,375,9,2.4,"2,250","20,251",0,0
2025.04.17.,PC,107,6,5.61,"1,221","7,326",0,0
2025.04.17.,모바일,725,21,2.9,"2,171","45,595",0,0
2025.04.18.,PC,72,5,6.95,"1,188","5,940",0,0
2025.04.18.,모바일,498,25,5.03,"1,476","36,894",0,0
2025.04.19.,PC,44,0,0,0,0,0,0
2025.04.19.,모바일,844,23,2.73,"1,867","42,944",0,0
2025.04.20.,PC,53,6,11.33,"1,058","6,347",0,0
2025.04.20.,모바일,835,17,2.04,"2,104","35,772",0,0
2025.04.21.,PC,251,7,2.79,"1,065","7,458",0,0
2025.04.21.,모바일,781,22,2.82,"1,676","36,872",0,0
2025.04.22.,PC,314,4,1.28,"1,966","7,865",0,0
2025.04.22.,모바일,938,21,2.24,"1,442","30,272",0,0
2025.04.23.,모바일,58,3,5.18,"2,182","6,545",0,0
2025.04.24.,PC,1,0,0,0,0,0,0
2025.04.24.,모바일,1,0,0,0,0,0,0
2025.04.25.,모바일,2,0,0,0,0,0,0
2025.04.26.,PC,25,1,4,"1,320","1,320",0,0
2025.04.26.,모바일,482,9,1.87,"1,754","15,785",0,0
2025.04.27.,PC,73,3,4.11,"1,599","4,796",0,0
2025.04.27.,모바일,900,24,2.67,"1,580","37,928",0,0
2025.04.28.,PC,231,7,3.04,"1,149","8,041",0,0
2025.04.28.,모바일,917,21,2.3,"1,692","35,541",0,0
2025.04.29.,PC,104,2,1.93,"1,524","3,047",0,0
2025.04.29.,모바일,806,17,2.11,"1,712","29,106",0,0
2025.04.30.,PC,165,4,2.43,"1,042","4,169",0,0
2025.04.30.,모바일,936,26,2.78,"1,762","45,804",0,0
2025.05.01.,PC,108,3,2.78,"1,052","3,157",0,0
2025.05.01.,모바일,"1,110",19,1.72,"1,846","35,068",0,0
2025.05.02.,PC,33,0,0,0,0,0,0
2025.05.02.,모바일,613,24,3.92,"1,806","43,340",0,0
2025.05.03.,PC,18,2,11.12,"1,133","2,266",0,0
2025.05.03.,모바일,559,13,2.33,"2,281","29,656",0,0
2025.05.04.,모바일,4,0,0,0,0,0,0
2025.05.05.,모바일,2,0,0,0,0,0,0
2025.05.06.,PC,110,1,0.91,"1,056","1,056",0,0
2025.05.06.,모바일,734,14,1.91,"2,004","28,050",0,0
2025.05.07.,PC,150,10,6.67,"1,167","11,671",0,0
2025.05.07.,모바일,979,17,1.74,"1,974","33,561",0,0
2025.05.08.,PC,100,1,1,110,110,0,0
2025.05.08.,모바일,728,21,2.89,"2,163","45,430",0,0
2025.05.09.,PC,56,3,5.36,"1,151","3,454",0,0
2025.05.09.,모바일,731,21,2.88,"2,038","42,801",0,0
2025.05.10.,PC,26,0,0,0,0,0,0
2025.05.10.,모바일,994,24,2.42,"2,048","49,148",0,0
2025.05.11.,PC,84,3,3.58,"2,031","6,094",0,0
2025.05.11.,모바일,"1,075",19,1.77,"2,044","38,841",0,0
2025.05.12.,PC,66,4,6.07,"1,686","6,743",0,0
2025.05.12.,모바일,751,17,2.27,"1,970","33,484",0,0
2025.05.14.,PC,163,4,2.46,844,"3,377",0,0
2025.05.14.,모바일,513,12,2.34,"1,564","18,766",0,0
2025.05.15.,PC,192,10,5.21,"1,244","12,441",0,0
2025.05.15.,모바일,947,19,2.01,"1,675","31,834",0,0
2025.05.16.,PC,156,9,5.77,"1,177","10,593",0,0
2025.05.16.,모바일,987,22,2.23,"1,721","37,851",0,0
2025.05.17.,PC,31,1,3.23,"2,200","2,200",0,0
2025.05.17.,모바일,"1,170",28,2.4,"1,640","45,925",0,0
2025.05.18.,PC,57,5,8.78,944,"4,719",0,0
2025.05.18.,모바일,"1,157",29,2.51,"1,621","47,003",0,0
2025.05.19.,PC,118,10,8.48,"1,302","13,024",0,0
2025.05.19.,모바일,615,25,4.07,"1,473","36,817",0,0
2025.05.20.,PC,145,5,3.45,"1,500","7,502",0,0
2025.05.20.,모바일,829,18,2.18,"1,822","32,802",0,0
