"일별보고서(2025.03.31.~2025.06.30.),dldudgns33:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,112",13,1.17,498,"6,468",0,0
2025.03.31.,모바일,"9,120",36,0.4,605,"21,780",0,0
2025.04.01.,PC,926,10,1.08,619,"6,193",0,0
2025.04.01.,모바일,"9,204",42,0.46,676,"28,402",0,0
2025.04.02.,PC,997,9,0.91,620,"5,577",0,0
2025.04.02.,모바일,"11,316",39,0.35,545,"21,274",0,0
2025.04.03.,PC,"1,142",10,0.88,618,"6,182",0,0
2025.04.03.,모바일,"12,898",70,0.55,647,"45,276",0,0
2025.04.04.,PC,"1,145",15,1.32,472,"7,073",0,0
2025.04.04.,모바일,"11,987",60,0.51,681,"40,887",0,0
2025.04.05.,PC,497,8,1.61,611,"4,884",0,0
2025.04.05.,모바일,"13,043",56,0.43,647,"36,212",0,0
2025.04.06.,PC,411,4,0.98,479,"1,914",0,0
2025.04.06.,모바일,"11,911",44,0.37,536,"23,573",0,0
2025.04.07.,PC,"1,138",6,0.53,486,"2,915",0,0
2025.04.07.,모바일,"11,608",46,0.4,646,"29,733",0,0
2025.04.08.,PC,"1,002",18,1.8,489,"8,800",0,0
2025.04.08.,모바일,"10,322",42,0.41,586,"24,618",0,0
2025.04.09.,PC,928,13,1.41,553,"7,194",0,0
2025.04.09.,모바일,"10,679",54,0.51,608,"32,824",0,0
2025.04.10.,PC,"1,234",23,1.87,670,"15,411",0,0
2025.04.10.,모바일,"9,582",56,0.59,657,"36,795",0,0
2025.04.11.,PC,645,17,2.64,512,"8,712",0,0
2025.04.11.,모바일,"5,808",47,0.81,602,"28,314",0,0
2025.04.12.,PC,627,5,0.8,420,"2,101",0,0
2025.04.12.,모바일,"9,490",54,0.57,584,"31,526",0,0
2025.04.13.,PC,500,3,0.6,436,"1,309",0,0
2025.04.13.,모바일,"9,444",40,0.43,616,"24,640",0,0
2025.04.14.,PC,"1,589",16,1.01,431,"6,897",0,0
2025.04.14.,모바일,"8,262",42,0.51,688,"28,908",0,0
2025.04.15.,PC,"1,575",16,1.02,655,"10,472",0,0
2025.04.15.,모바일,"7,982",46,0.58,708,"32,549",0,0
2025.04.16.,PC,"1,297",16,1.24,614,"9,823",0,0
2025.04.16.,모바일,"7,808",45,0.58,593,"26,664",0,0
2025.04.17.,PC,"1,801",14,0.78,601,"8,415",0,0
2025.04.17.,모바일,"8,985",39,0.44,599,"23,364",0,0
2025.04.18.,PC,"1,531",11,0.72,581,"6,391",0,0
2025.04.18.,모바일,"11,061",57,0.52,637,"36,333",0,0
2025.04.19.,PC,230,5,2.18,605,"3,025",0,0
2025.04.19.,모바일,"10,778",57,0.53,629,"35,827",0,0
2025.04.20.,PC,366,1,0.28,891,891,0,0
2025.04.20.,모바일,"11,213",43,0.39,536,"23,034",0,0
2025.04.21.,PC,"1,465",8,0.55,567,"4,532",0,0
2025.04.21.,모바일,"10,252",49,0.48,561,"27,478",0,0
2025.04.22.,PC,"1,253",17,1.36,547,"9,306",0,0
2025.04.22.,모바일,"9,596",46,0.48,600,"27,577",0,0
2025.04.23.,PC,"1,288",14,1.09,568,"7,953",0,0
2025.04.23.,모바일,"10,689",34,0.32,575,"19,558",0,0
2025.04.24.,PC,"1,875",12,0.64,612,"7,348",0,0
2025.04.24.,모바일,"12,658",49,0.39,557,"27,269",0,0
2025.04.25.,PC,"1,330",18,1.36,564,"10,153",0,0
2025.04.25.,모바일,"11,841",65,0.55,624,"40,579",0,0
2025.04.26.,PC,610,8,1.32,622,"4,972",0,0
2025.04.26.,모바일,"15,328",53,0.35,540,"28,633",0,0
2025.04.27.,PC,433,4,0.93,512,"2,046",0,0
2025.04.27.,모바일,"11,723",38,0.33,503,"19,096",0,0
2025.04.28.,PC,"1,515",14,0.93,446,"6,248",0,0
2025.04.28.,모바일,"13,057",39,0.3,578,"22,539",0,0
2025.04.29.,PC,"1,454",16,1.11,591,"9,449",0,0
2025.04.29.,모바일,"13,150",49,0.38,597,"29,249",0,0
2025.04.30.,PC,"1,428",16,1.13,635,"10,153",0,0
2025.04.30.,모바일,"11,623",47,0.41,556,"26,136",0,0
2025.05.01.,PC,535,3,0.57,693,"2,079",0,0
2025.05.01.,모바일,"11,743",50,0.43,538,"26,895",0,0
2025.05.02.,PC,817,12,1.47,442,"5,302",0,0
2025.05.02.,모바일,"11,217",51,0.46,586,"29,865",0,0
2025.05.03.,PC,465,6,1.3,499,"2,992",0,0
2025.05.03.,모바일,"11,743",52,0.45,543,"28,226",0,0
2025.05.04.,PC,377,1,0.27,528,528,0,0
2025.05.04.,모바일,"12,444",59,0.48,555,"32,769",0,0
2025.05.05.,PC,399,3,0.76,744,"2,233",0,0
2025.05.05.,모바일,"14,131",66,0.47,548,"36,190",0,0
2025.05.06.,PC,381,4,1.05,619,"2,475",0,0
2025.05.06.,모바일,"10,658",41,0.39,607,"24,904",0,0
2025.05.07.,PC,765,11,1.44,609,"6,699",0,0
2025.05.07.,모바일,"9,084",35,0.39,618,"21,626",0,0
2025.05.08.,PC,"1,170",8,0.69,560,"4,477",0,0
2025.05.08.,모바일,"9,084",35,0.39,565,"19,789",0,0
2025.05.09.,PC,"1,861",16,0.86,457,"7,315",0,0
2025.05.09.,모바일,"12,251",49,0.4,738,"36,146",0,0
2025.05.10.,PC,410,3,0.74,796,"2,387",0,0
2025.05.10.,모바일,"11,212",55,0.5,627,"34,474",0,0
2025.05.11.,PC,452,6,1.33,669,"4,015",0,0
2025.05.11.,모바일,"10,657",30,0.29,579,"17,358",0,0
2025.05.12.,PC,"1,007",15,1.49,408,"6,116",0,0
2025.05.12.,모바일,"9,262",29,0.32,567,"16,445",0,0
2025.05.13.,PC,"1,247",17,1.37,553,"9,394",0,0
2025.05.13.,모바일,"9,268",41,0.45,667,"27,335",0,0
2025.05.14.,PC,"1,419",14,0.99,429,"6,006",0,0
