"일별보고서(2025.03.31.~2025.06.30.),dokkaebi0402:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,679",11,0.66,441,"4,851",0,0
2025.03.31.,모바일,"3,707",60,1.62,508,"30,481",0,0
2025.04.01.,PC,"1,620",18,1.12,571,"10,285",0,0
2025.04.01.,모바일,"2,928",59,2.02,506,"29,832",0,0
2025.04.02.,PC,"1,734",17,0.99,539,"9,163",0,0
2025.04.02.,모바일,"2,368",67,2.83,342,"22,891",0,0
2025.04.03.,PC,"1,789",17,0.96,505,"8,591",0,0
2025.04.03.,모바일,"2,862",43,1.51,419,"18,007",0,0
2025.04.04.,PC,"1,434",11,0.77,519,"5,709",0,0
2025.04.04.,모바일,"2,956",55,1.87,347,"19,074",0,0
2025.04.05.,PC,319,4,1.26,556,"2,222",0,0
2025.04.05.,모바일,"3,167",90,2.85,431,"38,808",0,0
2025.04.06.,PC,357,5,1.41,519,"2,596",0,0
2025.04.06.,모바일,"4,014",79,1.97,509,"40,194",0,0
2025.04.07.,PC,"1,704",11,0.65,436,"4,796",0,0
2025.04.07.,모바일,"2,371",41,1.73,216,"8,855",0,0
2025.04.08.,PC,"1,971",14,0.72,422,"5,907",0,0
2025.04.08.,모바일,"2,447",52,2.13,265,"13,761",0,0
2025.04.09.,PC,"1,751",20,1.15,578,"11,561",0,0
2025.04.09.,모바일,"2,285",45,1.97,338,"15,191",0,0
2025.04.10.,PC,"1,607",9,0.57,291,"2,618",0,0
2025.04.10.,모바일,"2,053",46,2.25,237,"10,923",0,0
2025.04.11.,PC,"1,605",9,0.57,282,"2,541",0,0
2025.04.11.,모바일,"2,127",50,2.36,222,"11,099",0,0
2025.04.12.,PC,589,10,1.7,296,"2,959",0,0
2025.04.12.,모바일,"3,313",69,2.09,363,"25,014",0,0
2025.04.13.,PC,407,7,1.72,207,"1,452",0,0
2025.04.13.,모바일,"3,588",90,2.51,267,"24,024",0,0
2025.04.14.,PC,"1,647",11,0.67,602,"6,622",0,0
2025.04.14.,모바일,"2,339",70,3,320,"22,429",0,0
