"일별보고서(2025.03.31.~2025.06.30.),ghkswnsluk7:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"26,212",5,0.02,112,561,0,0
2025.03.31.,모바일,"58,282",37,0.07,341,"12,628",0,0
2025.04.01.,PC,"25,089",8,0.04,135,"1,078",0,0
2025.04.01.,모바일,"49,014",30,0.07,402,"12,056",0,0
2025.04.02.,PC,"18,933",4,0.03,869,"3,476",0,0
2025.04.02.,모바일,"39,380",37,0.1,286,"10,593",0,0
2025.04.03.,PC,"18,516",6,0.04,130,781,0,0
2025.04.03.,모바일,"42,780",31,0.08,319,"9,878",0,0
2025.04.04.,PC,"15,909",7,0.05,383,"2,684",0,0
2025.04.04.,모바일,"53,552",41,0.08,178,"7,315",0,0
2025.04.05.,PC,"15,050",5,0.04,97,484,0,0
2025.04.05.,모바일,"67,471",50,0.08,264,"13,222",0,0
2025.04.06.,PC,"32,109",2,0.01,259,517,0,0
2025.04.06.,모바일,"87,814",51,0.06,300,"15,312",0,0
2025.04.07.,PC,"44,318",10,0.03,466,"4,664",0,0
2025.04.07.,모바일,"141,266",53,0.04,258,"13,651",0,0
2025.04.08.,PC,"26,740",9,0.04,193,"1,738",0,0
2025.04.08.,모바일,"117,158",48,0.05,212,"10,197",0,0
2025.04.09.,PC,"34,637",10,0.03,502,"5,016",0,0
2025.04.09.,모바일,"141,245",54,0.04,264,"14,278",0,0
2025.04.10.,PC,"32,834",5,0.02,161,803,0,0
2025.04.10.,모바일,"137,087",55,0.05,320,"17,622",0,0
2025.04.11.,PC,"33,703",7,0.03,193,"1,353",0,0
2025.04.11.,모바일,"155,427",58,0.04,193,"11,220",0,0
2025.04.12.,PC,"24,039",5,0.03,667,"3,333",0,0
2025.04.12.,모바일,"148,460",58,0.04,219,"12,705",0,0
2025.04.13.,PC,"23,622",5,0.03,189,946,0,0
2025.04.13.,모바일,"193,358",58,0.03,356,"20,658",0,0
2025.04.14.,PC,"34,755",8,0.03,444,"3,553",0,0
2025.04.14.,모바일,"162,365",55,0.04,310,"17,072",0,0
2025.04.15.,PC,"32,858",8,0.03,905,"7,238",0,0
2025.04.15.,모바일,"124,544",51,0.05,278,"14,168",0,0
2025.04.16.,PC,"29,237",10,0.04,180,"1,804",0,0
2025.04.16.,모바일,"106,769",47,0.05,232,"10,890",0,0
2025.04.17.,PC,"24,687",6,0.03,165,990,0,0
2025.04.17.,모바일,"103,277",49,0.05,495,"24,255",0,0
2025.04.18.,PC,"25,951",8,0.04,512,"4,092",0,0
2025.04.18.,모바일,"94,492",46,0.05,363,"16,676",0,0
2025.04.19.,PC,"30,153",5,0.02,99,495,0,0
2025.04.19.,모바일,"158,026",55,0.04,344,"18,898",0,0
2025.04.20.,PC,"23,668",3,0.02,821,"2,464",0,0
2025.04.20.,모바일,"120,911",61,0.06,343,"20,922",0,0
2025.04.21.,PC,"31,993",13,0.05,393,"5,104",0,0
2025.04.21.,모바일,"95,943",44,0.05,412,"18,106",0,0
2025.04.22.,PC,"24,183",9,0.04,159,"1,430",0,0
2025.04.22.,모바일,"76,278",50,0.07,470,"23,485",0,0
2025.04.23.,PC,"22,512",13,0.06,167,"2,167",0,0
2025.04.23.,모바일,"71,723",53,0.08,375,"19,855",0,0
2025.04.24.,PC,"25,714",11,0.05,318,"3,498",0,0
2025.04.24.,모바일,"75,045",55,0.08,337,"18,513",0,0
2025.04.25.,PC,"16,201",15,0.1,668,"10,021",0,0
2025.04.25.,모바일,"43,640",51,0.12,446,"22,759",0,0
2025.04.26.,PC,777,4,0.52,767,"3,069",0,0
2025.04.26.,모바일,"2,748",47,1.72,521,"24,464",0,0
2025.04.27.,PC,798,1,0.13,110,110,0,0
2025.04.27.,모바일,"2,742",43,1.57,205,"8,822",0,0
2025.04.28.,PC,"2,051",5,0.25,755,"3,773",0,0
2025.04.28.,모바일,"3,080",31,1.01,347,"10,769",0,0
2025.04.29.,PC,"1,615",8,0.5,"1,309","10,472",0,0
2025.04.29.,모바일,"2,696",52,1.93,381,"19,833",0,0
2025.04.30.,PC,"1,396",7,0.51,591,"4,136",0,0
2025.04.30.,모바일,"2,207",22,1,189,"4,158",0,0
2025.05.01.,PC,692,6,0.87,633,"3,795",0,0
2025.05.01.,모바일,"2,353",30,1.28,311,"9,317",0,0
2025.05.02.,PC,"1,795",2,0.12,"1,326","2,651",0,0
2025.05.02.,모바일,"3,981",22,0.56,611,"13,431",0,0
2025.05.03.,PC,526,5,0.96,178,891,0,0
2025.05.03.,모바일,"2,817",33,1.18,410,"13,530",0,0
2025.05.04.,PC,404,4,1,176,704,0,0
2025.05.04.,모바일,"2,551",41,1.61,531,"21,791",0,0
2025.05.05.,PC,618,1,0.17,275,275,0,0
2025.05.05.,모바일,"2,371",40,1.69,317,"12,661",0,0
2025.05.06.,PC,535,0,0,0,0,0,0
2025.05.06.,모바일,"2,128",31,1.46,549,"17,017",0,0
2025.05.07.,PC,174,1,0.58,77,77,0,0
2025.05.07.,모바일,598,7,1.18,196,"1,375",0,0
2025.05.08.,PC,"1,305",8,0.62,584,"4,675",0,0
2025.05.08.,모바일,"2,008",22,1.1,192,"4,213",0,0
2025.05.09.,PC,"1,279",11,0.87,245,"2,695",0,0
2025.05.09.,모바일,"1,912",37,1.94,395,"14,597",0,0
2025.05.10.,PC,477,2,0.42,"1,210","2,420",0,0
2025.05.10.,모바일,"2,145",27,1.26,203,"5,478",0,0
2025.05.11.,PC,327,3,0.92,253,759,0,0
2025.05.11.,모바일,"1,871",23,1.23,658,"15,136",0,0
2025.05.12.,PC,696,4,0.58,256,"1,023",0,0
2025.05.12.,모바일,"1,231",26,2.12,269,"6,985",0,0
2025.05.13.,PC,"1,155",7,0.61,209,"1,463",0,0
2025.05.13.,모바일,"1,990",24,1.21,566,"13,574",0,0
2025.05.14.,PC,"1,033",6,0.59,149,891,0,0
2025.05.14.,모바일,"2,335",33,1.42,365,"12,045",0,0
2025.05.15.,PC,903,5,0.56,240,"1,199",0,0
2025.05.15.,모바일,"1,969",14,0.72,438,"6,138",0,0
2025.05.16.,PC,800,5,0.63,218,"1,089",0,0
2025.05.16.,모바일,"1,946",37,1.91,403,"14,905",0,0
2025.05.17.,PC,499,6,1.21,198,"1,188",0,0
2025.05.17.,모바일,"2,947",35,1.19,373,"13,068",0,0
2025.05.18.,PC,407,4,0.99,891,"3,564",0,0
2025.05.18.,모바일,"2,604",36,1.39,424,"15,268",0,0
2025.05.19.,PC,598,11,1.84,203,"2,233",0,0
2025.05.19.,모바일,"1,161",16,1.38,375,"5,995",0,0
2025.05.20.,PC,802,5,0.63,198,990,0,0
2025.05.20.,모바일,"1,944",27,1.39,299,"8,085",0,0
2025.05.21.,PC,896,5,0.56,194,968,0,0
2025.05.21.,모바일,"2,498",37,1.49,485,"17,963",0,0
2025.05.22.,PC,916,10,1.1,156,"1,562",0,0
2025.05.22.,모바일,"2,080",27,1.3,844,"22,792",0,0
2025.05.23.,PC,948,3,0.32,154,462,0,0
2025.05.23.,모바일,"2,339",37,1.59,340,"12,595",0,0
2025.05.24.,PC,395,2,0.51,"1,595","3,190",0,0
2025.05.24.,모바일,"2,621",33,1.26,454,"14,993",0,0
2025.05.25.,PC,245,4,1.64,"1,631","6,523",0,0
2025.05.25.,모바일,"1,841",29,1.58,330,"9,581",0,0
2025.05.26.,PC,383,5,1.31,128,638,0,0
2025.05.26.,모바일,"1,013",16,1.58,201,"3,212",0,0
2025.05.27.,PC,906,4,0.45,949,"3,795",0,0
