"일별보고서(2025.03.31.~2025.06.30.),grimmart_official:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,620,1,0.17,737,737,0,0
2025.03.31.,모바일,"1,205",3,0.25,"1,173","3,520",0,0
2025.04.01.,PC,"1,629",1,0.07,77,77,0,0
2025.04.01.,모바일,"2,395",7,0.3,984,"6,886",0,0
2025.04.02.,PC,"1,714",3,0.18,"1,775","5,324",0,0
2025.04.02.,모바일,"1,890",8,0.43,"1,095","8,756",0,0
2025.04.03.,PC,"1,802",1,0.06,"1,089","1,089",0,0
2025.04.03.,모바일,"2,228",6,0.27,611,"3,663",0,0
2025.04.04.,PC,"1,314",1,0.08,737,737,0,0
2025.04.04.,모바일,"2,102",9,0.43,736,"6,622",0,0
2025.04.05.,PC,760,1,0.14,77,77,0,0
2025.04.05.,모바일,"1,755",9,0.52,549,"4,939",0,0
2025.04.06.,PC,"1,005",5,0.5,"1,153","5,764",0,0
2025.04.06.,모바일,"1,593",6,0.38,"1,463","8,778",0,0
2025.04.07.,PC,"1,875",2,0.11,"2,068","4,136",0,0
2025.04.07.,모바일,"2,093",7,0.34,511,"3,575",0,0
2025.04.08.,PC,"1,831",3,0.17,"2,578","7,733",0,0
2025.04.08.,모바일,"1,932",13,0.68,830,"10,791",0,0
2025.04.09.,PC,"1,430",2,0.14,600,"1,199",0,0
2025.04.09.,모바일,"1,567",9,0.58,598,"5,379",0,0
2025.04.10.,PC,"1,017",2,0.2,"1,232","2,464",0,0
2025.04.10.,모바일,"1,128",5,0.45,812,"4,059",0,0
2025.04.11.,PC,86,2,2.33,"2,118","4,235",0,0
2025.04.11.,모바일,225,1,0.45,242,242,0,0
2025.05.07.,PC,605,0,0,0,0,0,0
2025.05.07.,모바일,"1,302",4,0.31,979,"3,916",0,0
2025.05.08.,PC,926,1,0.11,517,517,0,0
2025.05.08.,모바일,"2,208",11,0.5,"1,650","18,150",0,0
2025.05.09.,PC,913,3,0.33,491,"1,474",0,0
2025.05.09.,모바일,"2,388",9,0.38,865,"7,788",0,0
2025.05.10.,PC,456,2,0.44,"1,029","2,057",0,0
2025.05.10.,모바일,"1,520",4,0.27,792,"3,168",0,0
2025.05.11.,PC,505,0,0,0,0,0,0
2025.05.11.,모바일,"1,572",8,0.51,645,"5,159",0,0
2025.05.12.,PC,"1,258",1,0.08,"1,914","1,914",0,0
