"일별보고서(2025.03.31.~2025.06.30.),hyemi7447:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.04.05.,PC,138,6,4.35,379,"2,273.15",0,0
2025.04.05.,모바일,"1,467",19,1.3,294,"5,588.55",0,0
2025.04.06.,PC,180,4,2.23,325,"1,300.2",0,0
2025.04.06.,모바일,"2,080",26,1.25,213,"5,536.85",0,0
2025.04.07.,PC,356,3,0.85,405,"1,214.95",0,0
2025.04.07.,모바일,"1,839",16,0.88,199,"3,176.25",0,0
2025.04.08.,PC,243,6,2.47,239,"1,431.1",0,0
2025.04.08.,모바일,"1,103",11,1,301,"3,315.4",0,0
2025.04.09.,PC,248,4,1.62,263,"1,053.25",0,0
2025.04.09.,모바일,"1,020",9,0.89,229,"2,064.7",0,0
2025.04.10.,PC,334,4,1.2,358,"1,430",0,0
2025.04.10.,모바일,"1,360",9,0.67,294,"2,647.7",0,0
2025.04.11.,PC,711,6,0.85,341,"2,047.65",0,0
2025.04.11.,모바일,"2,170",12,0.56,441,"5,293.2",0,0
2025.04.12.,PC,339,4,1.18,579,"2,316.6",0,0
2025.04.12.,모바일,"2,278",15,0.66,246,"3,689.4",0,0
2025.04.13.,PC,316,2,0.64,280,559.9,0,0
2025.04.13.,모바일,"1,996",21,1.06,382,"8,018.45",0,0
2025.04.14.,PC,584,10,1.72,394,"3,940.2",0,0
2025.04.14.,모바일,"1,714",19,1.11,206,"3,921.5",0,0
2025.04.15.,PC,498,3,0.61,"1,094","3,280.75",0,0
2025.04.15.,모바일,"1,617",14,0.87,171,"2,388.1",0,0
2025.04.16.,PC,518,9,1.74,"1,117","10,052.35",0,0
2025.04.16.,모바일,"1,736",14,0.81,293,"4,103",0,0
2025.04.17.,PC,523,4,0.77,880,"3,518.9",0,0
2025.04.17.,모바일,"1,578",6,0.39,547,"3,283.5",0,0
2025.04.18.,PC,535,6,1.13,457,"2,743.4",0,0
2025.04.18.,모바일,"1,958",18,0.92,390,"7,026.8",0,0
2025.04.19.,PC,345,1,0.29,591,591.25,0,0
2025.04.19.,모바일,"2,479",25,1.01,381,"9,532.05",0,0
2025.04.20.,PC,291,4,1.38,363,"1,452.55",0,0
2025.04.20.,모바일,"2,699",21,0.78,570,"11,971.85",0,0
2025.04.21.,PC,394,10,2.54,689,"6,886.55",0,0
2025.04.21.,모바일,"2,168",22,1.02,346,"7,606.5",0,0
2025.04.22.,PC,573,7,1.23,365,"2,556.95",0,0
2025.04.22.,모바일,"2,158",14,0.65,375,"5,248.1",0,0
2025.04.23.,PC,443,4,0.91,334,"1,334.85",0,0
2025.04.23.,모바일,"1,536",13,0.85,503,"6,538.95",0,0
2025.04.24.,PC,368,10,2.72,544,"5,438.95",0,0
2025.04.24.,모바일,857,8,0.94,374,"2,994.2",0,0
2025.04.25.,PC,423,6,1.42,390,"2,341.9",0,0
2025.04.25.,모바일,"1,234",13,1.06,233,"3,023.35",0,0
2025.04.26.,PC,209,0,0,0,33.55,0,0
2025.04.26.,모바일,"1,530",17,1.12,360,"6,118.75",0,0
2025.04.27.,PC,189,2,1.06,446,891,0,0
2025.04.27.,모바일,854,15,1.76,292,"4,387.35",0,0
2025.04.28.,PC,365,0,0,0,67.1,0,0
2025.04.28.,모바일,"1,330",23,1.73,323,"7,432.15",0,0
2025.04.29.,PC,340,4,1.18,406,"1,622.5",0,0
2025.04.29.,모바일,"1,211",15,1.24,298,"4,466",0,0
2025.04.30.,PC,404,4,1,272,"1,089",0,0
2025.04.30.,모바일,"1,187",19,1.61,342,"6,496.05",0,0
2025.05.01.,PC,286,3,1.05,740,"2,220.35",0,0
2025.05.01.,모바일,"1,810",19,1.05,373,"7,085.65",0,0
2025.05.02.,PC,524,5,0.96,436,"2,181.3",0,0
2025.05.02.,모바일,"2,701",16,0.6,300,"4,794.35",0,0
2025.05.03.,PC,218,4,1.84,688,"2,752.75",0,0
2025.05.03.,모바일,"1,328",15,1.13,273,"4,094.75",0,0
2025.05.04.,PC,227,3,1.33,481,"1,442.1",0,0
2025.05.04.,모바일,"1,308",23,1.76,273,"6,274.95",0,0
2025.05.05.,PC,186,2,1.08,519,"1,038.4",0,0
2025.05.05.,모바일,"1,719",19,1.11,252,"4,797.1",0,0
2025.05.06.,PC,153,3,1.97,547,"1,641.75",0,0
2025.05.06.,모바일,"1,228",16,1.31,367,"5,878.4",0,0
2025.05.07.,PC,340,6,1.77,468,"2,806.65",0,0
2025.05.07.,모바일,"1,294",19,1.47,337,"6,404.2",0,0
2025.05.08.,PC,471,6,1.28,383,"2,300.65",0,0
2025.05.08.,모바일,"1,111",13,1.18,222,"2,885.3",0,0
2025.05.09.,PC,321,3,0.94,420,"1,258.95",0,0
2025.05.09.,모바일,"1,074",15,1.4,255,"3,818.1",0,0
2025.05.10.,PC,244,4,1.64,208,833.25,0,0
2025.05.10.,모바일,"1,528",19,1.25,251,"4,763.55",0,0
2025.05.11.,PC,159,3,1.89,556,"1,667.6",0,0
2025.05.11.,모바일,"1,110",20,1.81,350,"6,993.8",0,0
2025.05.12.,PC,322,6,1.87,229,"1,375.55",0,0
2025.05.12.,모바일,"1,159",15,1.3,256,"3,835.7",0,0
2025.05.13.,PC,492,6,1.22,743,"4,455",0,0
2025.05.13.,모바일,"1,531",15,0.98,286,"4,288.9",0,0
2025.05.14.,PC,401,3,0.75,577,"1,729.75",0,0
2025.05.14.,모바일,"1,052",15,1.43,321,"4,814.7",0,0
2025.05.15.,PC,324,7,2.17,359,"2,511.85",0,0
2025.05.15.,모바일,"1,104",15,1.36,348,"5,223.9",0,0
2025.05.16.,PC,248,4,1.62,368,"1,472.35",0,0
2025.05.16.,모바일,870,16,1.84,368,"5,886.1",0,0
2025.05.17.,PC,172,3,1.75,379,"1,135.75",0,0
2025.05.17.,모바일,"1,014",19,1.88,299,"5,679.3",0,0
2025.05.18.,PC,203,0,0,0,28.05,0,0
2025.05.18.,모바일,"1,586",21,1.33,334,"7,018",0,0
2025.05.19.,PC,289,5,1.74,181,903.65,0,0
2025.05.19.,모바일,"1,081",17,1.58,391,"6,639.05",0,0
2025.05.20.,PC,380,5,1.32,531,"2,653.75",0,0
2025.05.20.,모바일,"1,238",20,1.62,333,"6,655.55",0,0
2025.05.21.,PC,478,6,1.26,239,"1,432.2",0,0
2025.05.21.,모바일,"1,715",24,1.4,252,"6,053.3",0,0
2025.05.22.,PC,458,6,1.32,413,"2,477.2",0,0
2025.05.22.,모바일,"2,202",17,0.78,526,"8,935.3",0,0
2025.05.23.,PC,373,5,1.35,266,"1,330.45",0,0
2025.05.23.,모바일,"1,770",25,1.42,338,"8,439.2",0,0
2025.05.24.,PC,276,6,2.18,935,"5,610",0,0
2025.05.24.,모바일,"2,559",25,0.98,363,"9,064.55",0,0
2025.05.25.,PC,248,4,1.62,828,"3,313.2",0,0
2025.05.25.,모바일,"1,606",21,1.31,427,"8,960.05",0,0
2025.05.26.,PC,83,2,2.41,548,"1,096.15",0,0
2025.05.26.,모바일,355,4,1.13,544,"2,174.7",0,0
2025.05.29.,모바일,1,0,0,0,0.55,0,0
2025.06.02.,PC,312,6,1.93,514,"3,082.2",0,0
2025.06.02.,모바일,"1,172",13,1.11,387,"5,026.45",0,0
2025.06.03.,PC,211,5,2.37,567,"2,836.9",0,0
2025.06.03.,모바일,"1,767",23,1.31,472,"10,863.6",0,0
2025.06.04.,PC,510,10,1.97,334,"3,340.7",0,0
2025.06.04.,모바일,"2,249",28,1.25,347,"9,718.5",0,0
2025.06.05.,PC,462,3,0.65,452,"1,355.2",0,0
2025.06.05.,모바일,"2,051",26,1.27,448,"11,645.7",0,0
2025.06.06.,PC,316,9,2.85,680,"6,118.2",0,0
2025.06.06.,모바일,"1,566",22,1.41,399,"8,778",0,0
2025.06.07.,PC,214,4,1.87,554,"2,215.95",0,0
2025.06.07.,모바일,"1,557",20,1.29,341,"6,812.3",0,0
2025.06.08.,PC,237,3,1.27,395,"1,185.8",0,0
2025.06.08.,모바일,"1,745",27,1.55,385,"10,384.55",0,0
2025.06.09.,PC,590,8,1.36,356,"2,850.1",0,0
2025.06.09.,모바일,"1,999",23,1.16,324,"7,461.85",0,0
2025.06.10.,PC,567,9,1.59,377,"3,388.55",0,0
2025.06.10.,모바일,"1,821",25,1.38,347,"8,681.2",0,0
2025.06.11.,PC,449,14,3.12,734,"10,280.6",0,0
2025.06.11.,모바일,"1,552",13,0.84,306,"3,981.45",0,0
2025.06.12.,PC,439,7,1.6,704,"4,929.65",0,0
