"일별보고서(2025.03.31.~2025.06.30.),ikita777:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"22,554",23,0.11,391,"8,996.9",0,0
2025.03.31.,모바일,"194,645",163,0.09,334,"54,418.65",0,0
2025.04.01.,PC,"21,420",25,0.12,364,"9,109.65",0,0
2025.04.01.,모바일,"197,601",153,0.08,345,"52,721.35",0,0
2025.04.02.,PC,"24,079",16,0.07,366,"5,863",0,0
2025.04.02.,모바일,"197,695",148,0.08,343,"50,836.5",0,0
2025.04.03.,PC,"19,233",20,0.11,350,"6,992.7",0,0
2025.04.03.,모바일,"138,860",118,0.09,355,"41,870.95",0,0
2025.04.04.,PC,"10,882",21,0.2,467,"9,802.1",0,0
2025.04.04.,모바일,"109,115",124,0.12,490,"60,788.2",0,0
2025.04.05.,PC,"5,167",11,0.22,390,"4,294.4",0,0
2025.04.05.,모바일,"88,265",140,0.16,464,"65,020.45",0,0
2025.04.06.,PC,"6,112",5,0.09,478,"2,390.85",0,0
2025.04.06.,모바일,"109,143",193,0.18,419,"80,771.9",0,0
2025.04.07.,PC,"9,768",13,0.14,412,"5,361.4",0,0
2025.04.07.,모바일,"98,926",154,0.16,443,"68,265.45",0,0
2025.04.08.,PC,"10,837",23,0.22,377,"8,682.3",0,0
2025.04.08.,모바일,"102,998",143,0.14,476,"68,028.95",0,0
2025.04.09.,PC,"8,179",13,0.16,445,"5,779.95",0,0
2025.04.09.,모바일,"68,749",133,0.2,513,"68,289.1",0,0
2025.04.10.,PC,"10,090",14,0.14,436,"6,108.85",0,0
2025.04.10.,모바일,"95,071",125,0.14,522,"65,188.75",0,0
2025.04.11.,PC,"7,854",17,0.22,434,"7,377.7",0,0
2025.04.11.,모바일,"69,438",158,0.23,484,"76,525.35",0,0
2025.04.12.,PC,"5,044",7,0.14,358,"2,503.6",0,0
2025.04.12.,모바일,"72,579",139,0.2,527,"73,312.8",0,0
2025.04.13.,PC,"5,846",4,0.07,398,"1,592.25",0,0
2025.04.13.,모바일,"97,291",124,0.13,509,"63,100.95",0,0
2025.04.14.,PC,"8,992",18,0.21,542,"9,764.7",0,0
2025.04.14.,모바일,"93,818",92,0.1,570,"52,444.15",0,0
2025.04.15.,PC,"9,861",19,0.2,454,"8,633.35",0,0
2025.04.15.,모바일,"95,005",102,0.11,536,"54,704.65",0,0
2025.04.16.,PC,"9,538",10,0.11,465,"4,649.15",0,0
2025.04.16.,모바일,"93,327",110,0.12,497,"54,691.45",0,0
2025.04.17.,PC,"7,854",8,0.11,436,"3,485.35",0,0
2025.04.17.,모바일,"80,598",98,0.13,522,"51,125.8",0,0
2025.04.18.,PC,"8,125",16,0.2,510,"8,153.2",0,0
2025.04.18.,모바일,"102,432",110,0.11,530,"58,305.5",0,0
2025.04.19.,PC,"6,615",5,0.08,598,"2,991.45",0,0
2025.04.19.,모바일,"110,576",138,0.13,480,"66,283.8",0,0
2025.04.20.,PC,"7,216",7,0.1,331,"2,318.8",0,0
2025.04.20.,모바일,"111,391",131,0.12,494,"64,728.95",0,0
2025.04.21.,PC,"6,233",6,0.1,481,"2,883.65",0,0
2025.04.21.,모바일,"68,784",68,0.1,547,"37,181.65",0,0
2025.04.22.,PC,"10,897",6,0.06,422,"2,534.4",0,0
2025.04.22.,모바일,"140,991",109,0.08,530,"57,769.8",0,0
2025.04.23.,PC,"11,236",19,0.17,451,"8,576.15",0,0
2025.04.23.,모바일,"138,893",120,0.09,496,"59,560.05",0,0
2025.04.24.,PC,"13,064",20,0.16,404,"8,077.3",0,0
2025.04.24.,모바일,"162,194",117,0.08,490,"57,358.95",0,0
2025.04.25.,PC,"10,370",11,0.11,431,"4,742.65",0,0
2025.04.25.,모바일,"132,235",125,0.1,512,"63,972.7",0,0
2025.04.26.,PC,"7,310",11,0.16,447,"4,915.35",0,0
2025.04.26.,모바일,"131,663",168,0.13,478,"80,269.2",0,0
2025.04.27.,PC,"8,459",11,0.14,598,"6,580.2",0,0
2025.04.27.,모바일,"143,295",180,0.13,535,"96,320.95",0,0
2025.04.28.,PC,"13,567",24,0.18,538,"12,907.95",0,0
2025.04.28.,모바일,"151,217",170,0.12,540,"91,780.15",0,0
2025.04.29.,PC,"11,955",17,0.15,510,"8,671.3",0,0
2025.04.29.,모바일,"124,463",172,0.14,536,"92,219.05",0,0
2025.04.30.,PC,"14,038",22,0.16,514,"11,306.9",0,0
2025.04.30.,모바일,"134,252",167,0.13,545,"90,996.4",0,0
2025.05.01.,PC,"9,077",18,0.2,503,"9,062.35",0,0
2025.05.01.,모바일,"120,930",162,0.14,531,"86,092.6",0,0
2025.05.02.,PC,"7,453",15,0.21,580,"8,703.75",0,0
2025.05.02.,모바일,"66,310",129,0.2,533,"68,734.05",0,0
2025.05.03.,PC,"3,153",9,0.29,406,"3,656.4",0,0
2025.05.03.,모바일,"29,940",127,0.43,486,"61,772.15",0,0
2025.05.04.,PC,"2,608",14,0.54,546,"7,642.8",0,0
2025.05.04.,모바일,"37,112",184,0.5,514,"94,625.3",0,0
2025.05.05.,PC,"2,290",10,0.44,481,"4,813.05",0,0
2025.05.05.,모바일,"30,972",136,0.44,490,"66,586.3",0,0
2025.05.06.,PC,"1,587",4,0.26,686,"2,744.5",0,0
2025.05.06.,모바일,"20,635",101,0.49,602,"60,809.1",0,0
2025.05.07.,PC,"4,241",15,0.36,600,"9,006.25",0,0
2025.05.07.,모바일,"18,620",78,0.42,602,"46,984.85",0,0
2025.05.08.,PC,"4,490",12,0.27,653,"7,832",0,0
2025.05.08.,모바일,"18,744",91,0.49,681,"61,985.55",0,0
2025.05.09.,PC,"4,656",15,0.33,672,"10,072.7",0,0
2025.05.09.,모바일,"21,107",106,0.51,674,"71,445.55",0,0
2025.05.10.,PC,"1,245",8,0.65,682,"5,456",0,0
2025.05.10.,모바일,"20,218",138,0.69,600,"82,761.8",0,0
2025.05.11.,PC,"1,254",6,0.48,562,"3,370.95",0,0
