"일별보고서(2025.03.31.~2025.06.30.),jkkim8206:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,229,2,0.88,550,"1,100",0,0
2025.03.31.,모바일,110,1,0.91,550,550,0,0
2025.04.01.,PC,254,2,0.79,341,682,0,0
2025.04.01.,모바일,60,1,1.67,550,550,0,0
2025.04.02.,PC,200,0,0,0,0,0,0
2025.04.02.,모바일,80,2,2.5,99,198,0,0
2025.04.03.,PC,196,0,0,0,0,0,0
2025.04.03.,모바일,91,1,1.1,539,539,0,0
2025.04.04.,PC,167,1,0.6,517,517,0,0
2025.04.04.,모바일,72,0,0,0,0,0,0
2025.04.05.,PC,104,0,0,0,0,0,0
2025.04.05.,모바일,56,0,0,0,0,0,0
2025.04.06.,PC,85,0,0,0,0,0,0
2025.04.06.,모바일,92,0,0,0,0,0,0
2025.04.07.,PC,185,3,1.63,110,330,0,0
2025.04.07.,모바일,100,0,0,0,0,0,0
2025.04.08.,PC,163,0,0,0,0,0,0
2025.04.08.,모바일,83,0,0,0,0,0,0
2025.04.09.,PC,173,0,0,0,0,0,0
2025.04.09.,모바일,101,0,0,0,0,0,0
2025.04.10.,PC,182,0,0,0,0,0,0
2025.04.10.,모바일,104,1,0.97,550,550,0,0
2025.04.11.,PC,151,0,0,0,0,0,0
2025.04.11.,모바일,90,1,1.12,77,77,0,0
2025.04.12.,PC,142,0,0,0,0,0,0
2025.04.12.,모바일,96,3,3.13,169,506,0,0
2025.04.13.,PC,111,0,0,0,0,0,0
2025.04.13.,모바일,135,1,0.75,550,550,0,0
2025.04.14.,PC,227,1,0.45,110,110,0,0
2025.04.14.,모바일,163,1,0.62,77,77,0,0
2025.04.15.,PC,192,1,0.53,110,110,0,0
2025.04.15.,모바일,94,1,1.07,539,539,0,0
2025.04.16.,PC,147,0,0,0,0,0,0
2025.04.16.,모바일,71,1,1.41,77,77,0,0
2025.04.17.,PC,161,0,0,0,0,0,0
2025.04.17.,모바일,106,0,0,0,0,0,0
2025.04.18.,PC,242,0,0,0,0,0,0
2025.04.18.,모바일,183,2,1.1,292,583,0,0
2025.04.19.,PC,154,0,0,0,0,0,0
2025.04.19.,모바일,158,0,0,0,0,0,0
2025.04.20.,PC,177,0,0,0,0,0,0
2025.04.20.,모바일,192,0,0,0,0,0,0
2025.04.21.,PC,259,0,0,0,0,0,0
2025.04.21.,모바일,197,1,0.51,539,539,0,0
2025.04.22.,PC,230,0,0,0,0,0,0
2025.04.22.,모바일,145,5,3.45,295,"1,474",0,0
2025.04.23.,PC,275,1,0.37,121,121,0,0
2025.04.23.,모바일,161,3,1.87,396,"1,188",0,0
2025.04.24.,PC,291,0,0,0,0,0,0
2025.04.24.,모바일,191,4,2.1,217,869,0,0
2025.04.25.,PC,253,1,0.4,154,154,0,0
2025.04.25.,모바일,172,0,0,0,0,0,0
2025.04.26.,PC,130,1,0.77,550,550,0,0
2025.04.26.,모바일,203,3,1.48,539,"1,617",0,0
2025.04.27.,PC,177,1,0.57,110,110,0,0
2025.04.27.,모바일,230,0,0,0,0,0,0
2025.04.28.,PC,277,1,0.37,154,154,0,0
2025.04.28.,모바일,215,5,2.33,449,"2,244",0,0
2025.04.29.,PC,256,3,1.18,455,"1,364",0,0
2025.04.29.,모바일,139,2,1.44,330,660,0,0
2025.04.30.,PC,191,0,0,0,0,0,0
2025.04.30.,모바일,139,1,0.72,264,264,0,0
2025.05.01.,PC,185,1,0.55,77,77,0,0
2025.05.01.,모바일,198,4,2.03,272,"1,089",0,0
