"일별보고서(2025.03.31.~2025.06.30.),kbbagel:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"5,865",11,0.19,692,"7,608.7",0,0
2025.03.31.,모바일,"12,138",67,0.56,826,"55,315.7",0,0
2025.04.01.,PC,"6,963",19,0.28,859,"16,323.45",0,0
2025.04.01.,모바일,"14,145",63,0.45,870,"54,802.55",0,0
2025.04.02.,PC,"5,840",18,0.31,835,"15,038.1",0,0
2025.04.02.,모바일,"10,539",67,0.64,809,"54,233.3",0,0
2025.04.03.,PC,"6,446",22,0.35,778,"17,117.65",0,0
2025.04.03.,모바일,"13,081",60,0.46,932,"55,945.45",0,0
2025.04.04.,PC,"5,610",26,0.47,796,"20,706.95",0,0
2025.04.04.,모바일,"14,244",81,0.57,729,"59,018.3",0,0
2025.04.05.,PC,"1,193",5,0.42,654,"3,271.95",0,0
2025.04.05.,모바일,"13,202",87,0.66,834,"72,580.75",0,0
2025.04.06.,PC,719,5,0.7,"1,028","5,137.55",0,0
2025.04.06.,모바일,"14,171",98,0.7,754,"73,855.65",0,0
2025.04.07.,PC,"4,106",14,0.35,946,"13,241.8",0,0
2025.04.07.,모바일,"9,930",68,0.69,770,"52,379.8",0,0
2025.04.08.,PC,"5,383",18,0.34,691,"12,435.5",0,0
2025.04.08.,모바일,"13,075",90,0.69,778,"70,041.95",0,0
2025.04.09.,PC,"4,649",18,0.39,671,"12,076.35",0,0
2025.04.09.,모바일,"10,442",100,0.96,726,"72,597.25",0,0
2025.04.10.,PC,"4,656",23,0.5,753,"17,312.35",0,0
2025.04.10.,모바일,"9,544",74,0.78,753,"55,695.2",0,0
2025.04.11.,PC,"5,081",28,0.56,743,"20,808.15",0,0
2025.04.11.,모바일,"11,625",91,0.79,652,"59,294.4",0,0
2025.04.12.,PC,"1,394",7,0.51,431,"3,015.1",0,0
2025.04.12.,모바일,"14,803",117,0.8,657,"76,823.45",0,0
2025.04.13.,PC,"1,170",4,0.35,906,"3,622.3",0,0
2025.04.13.,모바일,"11,928",93,0.78,755,"70,210.8",0,0
2025.04.14.,PC,"4,005",17,0.43,"1,013","17,217.2",0,0
2025.04.14.,모바일,"7,737",55,0.72,813,"44,687.5",0,0
2025.04.15.,PC,"6,091",25,0.42,687,"17,186.4",0,0
2025.04.15.,모바일,"11,071",72,0.66,815,"58,654.2",0,0
2025.04.16.,PC,"5,796",19,0.33,609,"11,562.65",0,0
2025.04.16.,모바일,"8,873",80,0.91,765,"61,233.15",0,0
2025.04.17.,PC,"5,695",20,0.36,788,"15,753.65",0,0
2025.04.17.,모바일,"8,702",59,0.68,877,"51,716.5",0,0
2025.04.18.,PC,"6,183",20,0.33,"1,401","28,021.4",0,0
2025.04.18.,모바일,"11,234",61,0.55,789,"48,121.7",0,0
2025.04.19.,PC,"1,452",9,0.62,802,"7,220.4",0,0
2025.04.19.,모바일,"12,996",84,0.65,846,"71,089.15",0,0
2025.04.20.,PC,"1,444",5,0.35,249,"1,244.65",0,0
2025.04.20.,모바일,"13,815",94,0.69,807,"75,851.05",0,0
2025.04.21.,PC,"7,559",22,0.3,688,"15,127.2",0,0
2025.04.21.,모바일,"12,382",73,0.59,656,"47,919.85",0,0
2025.04.22.,PC,"9,024",29,0.33,654,"18,957.4",0,0
2025.04.22.,모바일,"14,463",77,0.54,729,"56,137.95",0,0
2025.04.23.,PC,"8,043",24,0.3,912,"21,888.35",0,0
2025.04.23.,모바일,"12,933",75,0.58,710,"53,258.7",0,0
2025.04.24.,PC,"6,993",21,0.31,866,"18,178.05",0,0
2025.04.24.,모바일,"10,800",66,0.62,781,"51,550.95",0,0
2025.04.25.,PC,"6,846",22,0.33,639,"14,060.2",0,0
2025.04.25.,모바일,"10,119",75,0.75,727,"54,525.9",0,0
2025.04.26.,PC,"1,850",8,0.44,735,"5,880.6",0,0
2025.04.26.,모바일,"16,210",90,0.56,784,"70,534.75",0,0
2025.04.27.,PC,"1,048",5,0.48,781,"3,906.65",0,0
2025.04.27.,모바일,"12,806",90,0.71,806,"72,537.85",0,0
2025.04.28.,PC,"7,495",24,0.33,979,"23,496",0,0
2025.04.28.,모바일,"11,291",62,0.55,625,"38,732.1",0,0
2025.04.29.,PC,"7,015",25,0.36,867,"21,667.25",0,0
2025.04.29.,모바일,"10,158",73,0.72,733,"53,477.6",0,0
2025.04.30.,PC,"8,624",32,0.38,966,"30,901.75",0,0
2025.04.30.,모바일,"12,451",55,0.45,804,"44,199.65",0,0
2025.05.01.,PC,"2,834",6,0.22,"1,078","6,468.55",0,0
2025.05.01.,모바일,"17,754",105,0.6,730,"76,687.05",0,0
2025.05.02.,PC,"4,786",19,0.4,546,"10,365.3",0,0
2025.05.02.,모바일,"11,911",85,0.72,759,"64,482.55",0,0
2025.05.03.,PC,"1,276",2,0.16,796,"1,591.7",0,0
