"일별보고서(2025.03.31.~2025.06.30.),kh1202:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,277,1,0.37,"1,133","1,133",0,0
2025.03.31.,모바일,765,25,3.27,"1,120","27,995",1,"66,000"
2025.04.01.,PC,207,6,2.9,"1,322","7,931",0,0
2025.04.01.,모바일,543,23,4.24,996,"22,913",0,0
2025.04.02.,PC,191,3,1.58,"1,467","4,400",0,0
2025.04.02.,모바일,511,21,4.11,"1,243","26,103",0,0
2025.04.03.,PC,172,3,1.75,"1,364","4,092",0,0
2025.04.03.,모바일,414,22,5.32,"1,133","24,926",1,"60,000"
2025.04.04.,PC,166,4,2.41,"1,581","6,325",0,0
2025.04.04.,모바일,537,29,5.41,829,"24,035",0,0
2025.04.05.,PC,96,1,1.05,121,121,0,0
2025.04.05.,모바일,897,35,3.91,827,"28,952",0,0
2025.04.06.,PC,20,0,0,0,0,0,0
2025.04.06.,모바일,360,14,3.89,955,"13,376",0,0
2025.04.07.,PC,162,4,2.47,"1,595","6,380",0,0
2025.04.07.,모바일,436,24,5.51,"1,036","24,871",0,0
2025.04.08.,PC,170,3,1.77,"2,123","6,369",0,0
2025.04.08.,모바일,510,22,4.32,"1,114","24,508",1,"100,000"
2025.04.09.,PC,292,6,2.06,"1,161","6,963",0,0
2025.04.09.,모바일,735,30,4.09,814,"24,409",0,0
2025.04.10.,PC,184,3,1.64,"1,206","3,619",1,"90,000"
2025.04.10.,모바일,416,25,6.01,"1,063","26,565",1,"45,000"
2025.04.11.,PC,289,4,1.39,"1,554","6,215",0,0
2025.04.11.,모바일,670,31,4.63,789,"24,453",0,0
2025.04.12.,PC,64,1,1.57,"1,595","1,595",0,0
2025.04.12.,모바일,450,34,7.56,846,"28,765",1,"32,000"
2025.04.13.,PC,46,1,2.18,"1,111","1,111",0,0
2025.04.13.,모바일,988,124,12.56,810,"100,452",1,"30,000"
2025.04.14.,PC,247,3,1.22,587,"1,760",0,0
2025.04.14.,모바일,512,31,6.06,907,"28,127",1,"64,000"
2025.04.15.,PC,338,3,0.89,"1,067","3,201",0,0
2025.04.15.,모바일,688,29,4.22,946,"27,445",0,0
2025.04.16.,PC,211,1,0.48,"1,870","1,870",0,0
2025.04.16.,모바일,453,29,6.41,948,"27,500",1,"62,000"
2025.04.17.,PC,192,2,1.05,"1,683","3,366",0,0
2025.04.17.,모바일,537,27,5.03,"1,051","28,369",0,0
2025.04.18.,PC,148,3,2.03,"1,496","4,488",0,0
2025.04.18.,모바일,473,25,5.29,"1,064","26,609",1,"30,000"
2025.04.19.,PC,49,3,6.13,770,"2,310",0,0
2025.04.19.,모바일,566,28,4.95,953,"26,675",1,"30,000"
2025.04.20.,PC,32,1,3.13,"1,793","1,793",0,0
2025.04.20.,모바일,570,27,4.74,"1,017","27,456",0,0
2025.04.21.,PC,214,7,3.28,"1,114","7,799",0,0
