"일별보고서(2025.03.31.~2025.06.30.),knn1008:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.05.19.,PC,187,2,1.07,66,132,0,0
2025.05.19.,모바일,"23,994",59,0.25,187,"11,055",0,0
2025.05.20.,PC,587,5,0.86,110,550,0,0
2025.05.20.,모바일,"44,982",58,0.13,192,"11,121",0,0
2025.05.21.,PC,442,10,2.27,205,"2,046",0,0
2025.05.21.,모바일,"38,728",62,0.17,173,"10,725",0,0
2025.05.22.,PC,674,16,2.38,159,"2,541",0,0
2025.05.22.,모바일,"48,441",58,0.12,165,"9,559",0,0
2025.05.23.,PC,517,12,2.33,151,"1,815",0,0
2025.05.23.,모바일,"24,028",66,0.28,159,"10,483",0,0
2025.05.24.,PC,474,9,1.9,143,"1,287",0,0
2025.05.24.,모바일,"39,199",68,0.18,152,"10,318",0,0
2025.05.25.,PC,253,2,0.8,165,330,0,0
2025.05.25.,모바일,"35,348",72,0.21,168,"12,067",0,0
2025.05.26.,PC,414,8,1.94,188,"1,507",0,0
2025.05.26.,모바일,"93,260",70,0.08,171,"11,990",0,0
2025.05.27.,PC,591,8,1.36,168,"1,342",0,0
2025.05.27.,모바일,"123,341",62,0.06,172,"10,670",0,0
2025.05.28.,PC,380,5,1.32,99,495,0,0
2025.05.28.,모바일,"92,099",71,0.08,161,"11,451",0,0
2025.05.29.,PC,553,4,0.73,113,451,0,0
2025.05.29.,모바일,"79,914",60,0.08,179,"10,736",0,0
2025.05.30.,PC,280,5,1.79,108,539,0,0
2025.05.30.,모바일,"51,921",66,0.13,175,"11,517",0,0
2025.05.31.,PC,371,2,0.54,220,440,0,0
2025.05.31.,모바일,"42,157",64,0.16,162,"10,340",0,0
2025.06.01.,PC,306,2,0.66,121,242,0,0
2025.06.01.,모바일,"61,200",69,0.12,173,"11,946",0,0
2025.06.02.,PC,424,3,0.71,216,649,0,0
2025.06.02.,모바일,"71,133",59,0.09,189,"11,143",1,"1,000,000"
2025.06.03.,PC,404,6,1.49,194,"1,166",0,0
2025.06.03.,모바일,"124,884",70,0.06,162,"11,374",0,0
2025.06.04.,PC,894,8,0.9,116,924,0,0
2025.06.04.,모바일,"90,890",57,0.07,180,"10,241",0,0
2025.06.05.,PC,344,5,1.46,158,792,0,0
2025.06.05.,모바일,"52,225",62,0.12,174,"10,802",0,0
2025.06.06.,PC,745,7,0.94,181,"1,265",0,0
2025.06.06.,모바일,"41,076",60,0.15,169,"10,142",0,0
2025.06.07.,PC,410,7,1.71,244,"1,705",0,0
2025.06.07.,모바일,"60,437",60,0.1,164,"9,845",0,0
2025.06.08.,PC,335,5,1.5,194,968,0,0
2025.06.08.,모바일,"62,382",72,0.12,165,"11,880",0,0
2025.06.09.,PC,451,5,1.11,275,"1,375",0,0
2025.06.09.,모바일,"87,075",65,0.08,167,"10,835",0,0
2025.06.10.,PC,866,12,1.39,150,"1,804",0,0
2025.06.10.,모바일,"56,056",56,0.1,181,"10,131",0,0
2025.06.11.,PC,547,10,1.83,205,"2,046",0,0
2025.06.11.,모바일,"51,053",57,0.12,173,"9,889",0,0
2025.06.12.,PC,615,7,1.14,168,"1,177",0,0
2025.06.12.,모바일,"91,770",63,0.07,179,"11,286",0,0
2025.06.13.,PC,655,11,1.68,163,"1,793",0,0
2025.06.13.,모바일,"64,197",55,0.09,187,"10,285",0,0
2025.06.14.,PC,383,4,1.05,187,748,0,0
2025.06.14.,모바일,"70,923",64,0.1,180,"11,528",0,0
2025.06.15.,PC,491,7,1.43,201,"1,408",0,0
2025.06.15.,모바일,"46,741",65,0.14,172,"11,187",0,0
2025.06.16.,PC,682,9,1.32,90,814,0,0
2025.06.16.,모바일,"52,496",67,0.13,167,"11,176",0,0
2025.06.17.,PC,700,6,0.86,182,"1,089",0,0
2025.06.17.,모바일,"58,104",62,0.11,173,"10,703",0,0
2025.06.18.,PC,664,13,1.96,147,"1,914",0,0
2025.06.18.,모바일,"57,443",51,0.09,178,"9,053",0,0
2025.06.19.,PC,617,5,0.82,106,528,0,0
2025.06.19.,모바일,"29,246",68,0.24,165,"11,231",0,0
2025.06.20.,PC,474,9,1.9,171,"1,540",0,0
2025.06.20.,모바일,"53,898",56,0.11,187,"10,483",0,0
2025.06.21.,PC,569,5,0.88,213,"1,067",0,0
2025.06.21.,모바일,"51,309",64,0.13,164,"10,505",0,0
2025.06.22.,PC,439,6,1.37,156,935,0,0
2025.06.22.,모바일,"39,766",72,0.19,171,"12,320",0,0
2025.06.23.,PC,576,2,0.35,94,187,0,0
2025.06.23.,모바일,"39,108",75,0.2,171,"12,837",0,0
2025.06.24.,PC,891,5,0.57,196,979,0,0
2025.06.24.,모바일,"45,155",67,0.15,172,"11,506",0,0
2025.06.25.,PC,772,13,1.69,107,"1,397",0,0
2025.06.25.,모바일,"45,138",65,0.15,171,"11,110",0,0
2025.06.26.,PC,919,7,0.77,187,"1,309",0,0
2025.06.26.,모바일,"44,153",63,0.15,183,"11,517",0,0
2025.06.27.,PC,423,6,1.42,127,759,0,0
2025.06.27.,모바일,"50,259",58,0.12,181,"10,494",0,0
2025.06.28.,PC,617,5,0.82,187,935,0,0
2025.06.28.,모바일,"50,343",65,0.13,175,"11,396",0,0
2025.06.29.,PC,38,0,0,0,0,0,0
2025.06.29.,모바일,"35,017",41,0.12,168,"6,908",0,0
2025.06.30.,PC,0,0,0,0,0,1,"2,990,000"
