"일별보고서(2025.03.31.~2025.06.30.),leeruri0225:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,6,0,0,0,2.2,0,0
2025.03.31.,모바일,61,1,1.64,21,20.9,0,0
2025.04.02.,PC,144,1,0.7,42,42.35,0,0
2025.04.02.,모바일,672,0,0,0,154.55,0,0
2025.04.03.,PC,388,0,0,0,94.05,0,0
2025.04.03.,모바일,"1,396",3,0.22,128,385,0,0
2025.04.04.,PC,340,1,0.3,153,152.9,0,0
2025.04.04.,모바일,"1,969",2,0.11,238,475.75,0,0
2025.04.05.,PC,180,0,0,0,41.25,0,0
2025.04.05.,모바일,"2,994",0,0,0,278.85,0,0
2025.04.06.,PC,160,0,0,0,40.15,0,0
2025.04.06.,모바일,"3,417",8,0.24,73,586.3,0,0
2025.04.07.,PC,357,0,0,0,111.1,0,0
2025.04.07.,모바일,"1,435",3,0.21,81,242.55,0,0
2025.04.08.,PC,364,0,0,0,94.6,0,0
2025.04.08.,모바일,"1,304",2,0.16,222,443.3,0,0
2025.04.09.,PC,408,0,0,0,86.35,0,0
2025.04.09.,모바일,"1,400",2,0.15,135,269.5,0,0
2025.04.10.,PC,463,0,0,0,88,0,0
2025.04.10.,모바일,"1,450",2,0.14,227,453.2,0,0
2025.04.11.,PC,426,0,0,0,80.3,0,0
2025.04.11.,모바일,"1,640",0,0,0,227.15,0,0
2025.04.12.,PC,207,1,0.49,190,189.75,0,0
2025.04.12.,모바일,"2,942",4,0.14,115,458.15,0,0
2025.04.13.,PC,188,0,0,0,44.55,0,0
2025.04.13.,모바일,"3,124",3,0.1,116,347.05,0,0
2025.04.14.,PC,472,1,0.22,252,252.45,0,0
2025.04.14.,모바일,"1,595",0,0,0,256.3,0,0
2025.04.15.,PC,453,2,0.45,177,353.1,0,0
2025.04.15.,모바일,"1,378",0,0,0,251.9,0,0
2025.04.16.,PC,460,1,0.22,180,180.4,0,0
2025.04.16.,모바일,"1,474",1,0.07,325,324.5,0,0
2025.04.17.,PC,471,0,0,0,97.35,0,0
2025.04.17.,모바일,"1,373",0,0,0,218.9,0,0
2025.04.18.,PC,434,1,0.24,80,80.3,0,0
2025.04.18.,모바일,"1,778",1,0.06,190,190.3,0,0
2025.04.19.,PC,208,1,0.49,132,132,0,0
2025.04.19.,모바일,"3,205",2,0.07,154,308.55,0,0
2025.04.20.,PC,166,0,0,0,37.95,0,0
2025.04.20.,모바일,"3,815",5,0.14,117,585.2,0,0
2025.04.21.,PC,387,0,0,0,102.85,0,0
2025.04.21.,모바일,"1,666",5,0.31,126,628.1,0,0
2025.04.22.,PC,357,0,0,0,97.35,0,0
2025.04.22.,모바일,"1,270",1,0.08,311,310.75,0,0
2025.04.23.,PC,376,0,0,0,80.3,0,0
2025.04.23.,모바일,"1,421",2,0.15,196,392.15,0,0
2025.04.29.,PC,71,0,0,0,37.4,0,0
2025.04.29.,모바일,259,3,1.16,95,283.8,0,0
2025.04.30.,PC,174,2,1.15,191,382.8,0,0
2025.04.30.,모바일,472,4,0.85,57,228.8,0,0
2025.05.01.,PC,105,0,0,0,56.1,0,0
2025.05.01.,모바일,799,3,0.38,206,618.2,0,0
2025.05.02.,PC,138,0,0,0,70.4,0,0
2025.05.02.,모바일,545,3,0.56,90,268.95,0,0
2025.05.03.,PC,70,0,0,0,36.85,0,0
2025.05.03.,모바일,512,3,0.59,183,548.35,0,0
2025.05.04.,PC,70,0,0,0,37.95,0,0
2025.05.04.,모바일,444,4,0.91,123,493.9,0,0
2025.05.05.,PC,83,0,0,0,43.45,0,0
2025.05.05.,모바일,507,1,0.2,229,228.8,0,0
2025.05.06.,PC,87,0,0,0,45.1,0,0
2025.05.06.,모바일,648,1,0.16,307,307.45,0,0
2025.05.07.,PC,188,0,0,0,95.7,0,0
2025.05.07.,모바일,602,1,0.17,296,296.45,0,0
2025.05.08.,PC,177,0,0,0,91.85,0,0
2025.05.08.,모바일,563,3,0.54,165,495,0,0
2025.05.09.,PC,187,0,0,0,91.85,0,0
2025.05.09.,모바일,566,2,0.36,214,428.45,0,0
2025.05.10.,PC,74,0,0,0,40.15,0,0
2025.05.10.,모바일,878,4,0.46,125,498.3,0,0
2025.05.11.,PC,86,0,0,0,45.1,0,0
2025.05.11.,모바일,653,1,0.16,315,314.6,0,0
2025.05.12.,PC,423,0,0,0,96.25,0,0
2025.05.12.,모바일,"1,939",1,0.06,262,261.8,0,0
2025.05.13.,PC,477,1,0.21,190,189.75,0,0
2025.05.13.,모바일,"1,716",1,0.06,223,222.75,0,0
