"일별보고서(2025.03.31.~2025.06.30.),lhljy8029:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,841,3,0.36,"1,325","3,975.95",0,0
2025.03.31.,모바일,"1,234",8,0.65,"1,494","11,955.35",0,0
2025.04.01.,PC,829,3,0.37,961,"2,882.55",0,0
2025.04.01.,모바일,"1,140",17,1.5,848,"14,414.95",0,0
2025.04.02.,PC,896,2,0.23,85,170.5,0,0
2025.04.02.,모바일,"1,215",13,1.07,"1,375","17,879.95",0,0
2025.04.03.,PC,848,5,0.59,408,"2,038.85",0,0
2025.04.03.,모바일,"1,109",25,2.26,650,"16,258.55",0,0
2025.04.04.,PC,686,2,0.3,772,"1,543.3",0,0
2025.04.04.,모바일,896,16,1.79,377,"6,025.25",0,0
2025.04.05.,PC,448,3,0.67,910,"2,728.55",0,0
2025.04.05.,모바일,831,11,1.33,739,"8,127.9",0,0
2025.04.06.,PC,356,1,0.29,"1,163","1,162.7",0,0
2025.04.06.,모바일,847,9,1.07,814,"7,322.7",0,0
2025.04.07.,PC,804,7,0.88,357,"2,501.4",0,0
2025.04.07.,모바일,"1,130",15,1.33,734,"11,007.7",0,0
2025.04.08.,PC,671,4,0.6,820,"3,279.1",0,0
2025.04.08.,모바일,"1,021",12,1.18,883,"10,593",0,0
2025.04.09.,PC,623,2,0.33,737,"1,474.55",0,0
2025.04.09.,모바일,944,15,1.59,636,"9,543.05",0,0
2025.04.10.,PC,568,1,0.18,"1,277","1,277.1",0,0
2025.04.10.,모바일,931,9,0.97,896,"8,064.1",0,0
2025.04.11.,PC,447,1,0.23,948,948.2,0,0
2025.04.11.,모바일,935,13,1.4,698,"9,069.5",0,0
2025.04.12.,PC,193,1,0.52,83,82.5,0,0
2025.04.12.,모바일,926,7,0.76,"1,088","7,613.65",0,0
2025.04.13.,PC,173,1,0.58,700,700.15,0,0
2025.04.13.,모바일,835,8,0.96,678,"5,424.1",0,0
2025.04.14.,PC,641,3,0.47,393,"1,178.65",0,0
2025.04.14.,모바일,"1,022",17,1.67,994,"16,902.05",0,0
2025.04.15.,PC,508,0,0,0,13.75,0,0
2025.04.15.,모바일,"1,034",15,1.46,836,"12,540.55",0,0
2025.04.16.,PC,418,1,0.24,948,948.2,0,0
2025.04.16.,모바일,"1,030",12,1.17,384,"4,609.55",0,0
2025.04.17.,PC,285,1,0.36,959,958.65,0,0
2025.04.17.,모바일,"1,154",14,1.22,683,"9,563.95",0,0
2025.04.18.,PC,279,3,1.08,684,"2,052.6",0,0
2025.04.18.,모바일,"1,163",11,0.95,"1,213","13,339.7",0,0
2025.04.19.,PC,150,3,2,422,"1,266.1",0,0
2025.04.19.,모바일,"1,118",22,1.97,524,"11,530.2",0,0
2025.04.20.,PC,119,1,0.85,85,85.25,0,0
2025.04.20.,모바일,932,19,2.04,673,"12,796.3",0,0
2025.04.21.,PC,373,2,0.54,240,479.6,0,0
2025.04.21.,모바일,"1,063",15,1.42,439,"6,590.65",0,0
2025.04.22.,PC,320,1,0.32,"1,310","1,310.1",0,0
2025.04.22.,모바일,945,9,0.96,493,"4,437.95",0,0
2025.04.23.,PC,289,2,0.7,82,164.45,0,0
2025.04.23.,모바일,987,11,1.12,493,"5,417.5",0,0
2025.04.24.,PC,321,3,0.94,951,"2,853.4",0,0
2025.04.24.,모바일,"1,029",11,1.07,810,"8,907.25",0,0
2025.04.25.,PC,304,5,1.65,784,"3,919.85",0,0
2025.04.25.,모바일,981,15,1.53,621,"9,310.95",0,0
2025.04.26.,PC,163,1,0.62,84,83.6,0,0
2025.04.26.,모바일,"1,001",16,1.6,623,"9,972.05",0,0
2025.04.27.,PC,152,2,1.32,652,"1,303.5",0,0
2025.04.27.,모바일,943,10,1.07,873,"8,732.9",0,0
2025.04.28.,PC,328,5,1.53,595,"2,973.85",0,0
2025.04.28.,모바일,"1,150",26,2.27,694,"18,046.05",0,0
2025.04.29.,PC,256,3,1.18,705,"2,116.4",0,0
2025.04.29.,모바일,"1,003",13,1.3,911,"11,847.55",0,0
2025.04.30.,PC,198,2,1.02,109,218.9,0,0
2025.04.30.,모바일,"1,025",22,2.15,576,"12,666.5",0,0
2025.05.01.,PC,182,4,2.2,724,"2,896.85",0,0
2025.05.01.,모바일,"1,043",16,1.54,970,"15,523.75",0,0
2025.05.02.,PC,236,1,0.43,129,128.7,0,0
2025.05.02.,모바일,998,13,1.31,807,"10,490.15",0,0
2025.05.03.,PC,141,2,1.42,588,"1,175.35",0,0
2025.05.03.,모바일,993,25,2.52,598,"14,945.7",0,0
2025.05.04.,PC,128,2,1.57,78,156.2,0,0
2025.05.04.,모바일,"1,058",13,1.23,592,"7,692.85",0,0
2025.05.05.,PC,138,0,0,0,5.5,0,0
2025.05.05.,모바일,"1,132",28,2.48,532,"14,894",0,0
2025.05.06.,PC,157,0,0,0,7.7,0,0
2025.05.06.,모바일,"1,085",26,2.4,433,"11,269.5",0,0
2025.05.07.,PC,285,5,1.76,376,"1,878.25",0,0
2025.05.07.,모바일,"1,146",15,1.31,327,"4,909.85",0,0
2025.05.08.,PC,295,1,0.34,115,114.95,0,0
2025.05.08.,모바일,"1,010",19,1.89,950,"18,058.15",0,0
2025.05.09.,PC,289,4,1.39,88,352.55,0,0
2025.05.09.,모바일,"1,047",19,1.82,696,"13,215.95",0,0
2025.05.10.,PC,178,0,0,0,8.25,0,0
2025.05.10.,모바일,"1,124",17,1.52,575,"9,772.95",0,0
2025.05.11.,PC,147,1,0.69,"1,272","1,271.6",0,0
2025.05.11.,모바일,"1,161",14,1.21,651,"9,118.45",0,0
2025.05.12.,PC,356,4,1.13,263,"1,053.25",0,0
2025.05.12.,모바일,"1,328",30,2.26,635,"19,059.7",0,0
2025.05.13.,PC,330,1,0.31,373,373.45,0,0
2025.05.13.,모바일,"1,034",22,2.13,835,"18,364.5",0,0
2025.05.14.,PC,348,7,2.02,479,"3,349.5",0,0
2025.05.14.,모바일,"1,042",18,1.73,701,"12,611.5",0,0
2025.05.15.,PC,391,4,1.03,618,"2,471.7",0,0
2025.05.15.,모바일,"1,043",35,3.36,528,"18,466.25",0,0
2025.05.16.,PC,354,3,0.85,712,"2,136.75",0,0
2025.05.16.,모바일,"1,129",22,1.95,508,"11,165.55",0,0
2025.05.17.,PC,160,1,0.63,578,578.05,0,0
2025.05.17.,모바일,"1,073",23,2.15,605,"13,925.45",0,0
2025.05.18.,PC,148,2,1.36,450,900.35,0,0
2025.05.18.,모바일,991,15,1.52,496,"7,442.05",0,0
2025.05.19.,PC,399,2,0.51,84,168.3,0,0
2025.05.19.,모바일,"1,136",19,1.68,610,"11,597.85",0,0
2025.05.20.,PC,362,4,1.11,281,"1,124.2",0,0
2025.05.20.,모바일,"1,049",15,1.43,577,"8,650.4",0,0
2025.05.21.,PC,318,3,0.95,103,309.65,0,0
2025.05.21.,모바일,"1,029",21,2.05,817,"17,147.9",0,0
2025.05.22.,PC,327,3,0.92,492,"1,474.55",0,0
2025.05.22.,모바일,866,9,1.04,446,"4,017.75",0,0
2025.05.23.,PC,315,3,0.96,586,"1,759.45",0,0
