"일별보고서(2025.03.31.~2025.06.30.),mircan:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,390,5,1.29,"1,164","5,819",0,0
2025.03.31.,모바일,"1,119",24,2.15,"1,186","28,468",0,0
2025.04.01.,PC,740,5,0.68,535,"2,673",0,0
2025.04.01.,모바일,"2,213",21,0.95,903,"18,964",2,"775,000"
2025.04.02.,PC,487,8,1.65,826,"6,611",0,0
2025.04.02.,모바일,"1,922",31,1.62,"1,116","34,595",0,0
2025.04.03.,PC,490,9,1.84,"1,014","9,130",0,0
2025.04.03.,모바일,"1,461",27,1.85,"1,143","30,866",0,0
2025.04.04.,PC,601,3,0.5,854,"2,563",0,0
2025.04.04.,모바일,"2,045",21,1.03,"1,246","26,158",1,"290,000"
2025.04.05.,PC,210,1,0.48,"1,408","1,408",0,0
2025.04.05.,모바일,"1,365",30,2.2,"1,140","34,188",0,0
2025.04.06.,PC,226,0,0,0,0,0,0
2025.04.06.,모바일,"1,739",35,2.02,"1,106","38,698",0,0
2025.04.07.,PC,389,8,2.06,"1,024","8,195",0,0
2025.04.07.,모바일,"1,575",27,1.72,"1,148","31,009",0,0
2025.04.08.,PC,350,10,2.86,893,"8,932",0,0
2025.04.08.,모바일,"1,144",25,2.19,"1,152","28,798",0,0
2025.04.09.,PC,314,5,1.6,"1,232","6,160",0,0
2025.04.09.,모바일,"1,121",27,2.41,"1,142","30,844",1,"290,000"
2025.04.10.,PC,351,5,1.43,724,"3,619",0,0
2025.04.10.,모바일,"1,480",34,2.3,"1,044","35,497",0,0
2025.04.11.,PC,602,5,0.84,"1,008","5,038",0,0
2025.04.11.,모바일,"1,998",27,1.36,"1,150","31,042",0,0
2025.04.12.,PC,228,3,1.32,983,"2,948",0,0
2025.04.12.,모바일,"1,221",26,2.13,"1,150","29,909",0,0
2025.04.13.,PC,246,4,1.63,"1,092","4,367",0,0
2025.04.13.,모바일,"1,480",25,1.69,"1,218","30,459",0,0
2025.04.14.,PC,381,6,1.58,842,"5,049",0,0
2025.04.14.,모바일,"1,400",32,2.29,"1,094","35,013",0,0
2025.04.15.,PC,531,9,1.7,827,"7,447",0,0
2025.04.15.,모바일,"2,211",28,1.27,"1,092","30,580",0,0
2025.04.16.,PC,482,3,0.63,301,902,0,0
2025.04.16.,모바일,"1,684",28,1.67,"1,242","34,782",3,"965,000"
2025.04.17.,PC,491,6,1.23,"1,045","6,270",1,"388,000"
2025.04.17.,모바일,"1,274",31,2.44,"1,047","32,472",0,0
2025.04.18.,PC,441,8,1.82,"1,060","8,481",0,0
2025.04.18.,모바일,"1,484",19,1.29,"1,255","23,848",0,0
2025.04.19.,PC,175,2,1.15,"1,419","2,838",0,0
2025.04.19.,모바일,"1,725",29,1.69,"1,211","35,123",1,"450,000"
2025.04.20.,PC,141,3,2.13,462,"1,386",0,0
2025.04.20.,모바일,"1,321",27,2.05,"1,271","34,309",0,0
2025.04.21.,PC,546,2,0.37,292,583,0,0
2025.04.21.,모바일,"1,671",31,1.86,"1,184","36,707",1,"390,000"
2025.04.22.,PC,391,8,2.05,810,"6,479",0,0
2025.04.22.,모바일,"1,573",29,1.85,"1,058","30,668",0,0
2025.04.23.,PC,447,7,1.57,643,"4,499",0,0
2025.04.23.,모바일,"2,116",26,1.23,"1,211","31,482",0,0
2025.04.24.,PC,512,6,1.18,854,"5,126",0,0
2025.04.24.,모바일,"1,609",29,1.81,"1,136","32,934",0,0
2025.04.25.,PC,494,11,2.23,922,"10,142",0,0
2025.04.25.,모바일,"1,805",29,1.61,"1,131","32,791",1,"390,000"
