"일별보고서(2025.03.31.~2025.06.30.),nhs2304:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,105",9,0.82,437,"3,937.45",0,0
2025.03.31.,모바일,"4,434",29,0.66,670,"19,427.65",0,0
2025.04.01.,PC,"1,245",10,0.81,477,"4,773.45",0,0
2025.04.01.,모바일,"5,381",46,0.86,743,"34,195.7",0,0
2025.04.02.,PC,"1,151",12,1.05,429,"5,144.7",0,0
2025.04.02.,모바일,"4,363",34,0.78,675,"22,951.5",0,0
2025.04.03.,PC,"1,429",16,1.12,403,"6,441.6",0,0
2025.04.03.,모바일,"7,319",48,0.66,738,"35,402.4",0,0
2025.04.04.,PC,"1,291",6,0.47,318,"1,910.7",0,0
2025.04.04.,모바일,"8,662",49,0.57,690,"33,812.35",0,0
2025.04.05.,PC,554,3,0.55,185,553.85,0,0
2025.04.05.,모바일,"10,242",58,0.57,628,"36,413.85",0,0
2025.04.06.,PC,441,2,0.46,398,796.95,0,0
2025.04.06.,모바일,"9,672",34,0.36,415,"14,115.2",0,0
2025.04.07.,PC,"1,159",14,1.21,475,"6,655",0,0
2025.04.07.,모바일,"6,365",38,0.6,659,"25,029.95",0,0
2025.04.08.,PC,"1,330",9,0.68,348,"3,131.7",0,0
2025.04.08.,모바일,"6,377",30,0.48,630,"18,895.25",0,0
2025.04.09.,PC,"1,315",6,0.46,328,"1,966.8",0,0
2025.04.09.,모바일,"7,005",34,0.49,482,"16,372.4",0,0
2025.04.10.,PC,"1,461",12,0.83,442,"5,308.05",0,0
2025.04.10.,모바일,"6,579",30,0.46,645,"19,348.45",0,0
2025.04.11.,PC,"1,556",16,1.03,566,"9,059.05",0,0
2025.04.11.,모바일,"7,456",50,0.68,708,"35,407.35",0,0
2025.04.12.,PC,299,2,0.67,310,620.95,0,0
2025.04.12.,모바일,"4,996",29,0.59,654,"18,959.05",0,0
2025.04.13.,PC,362,2,0.56,201,401.5,0,0
2025.04.13.,모바일,"6,266",16,0.26,227,"3,630",0,0
2025.04.14.,PC,"1,362",6,0.45,438,"2,629",0,0
2025.04.14.,모바일,"5,314",26,0.49,612,"15,899.95",0,0
2025.04.15.,PC,"1,382",9,0.66,290,"2,613.6",0,0
2025.04.15.,모바일,"4,849",33,0.69,714,"23,555.4",0,0
2025.04.16.,PC,"1,266",13,1.03,385,"5,002.8",0,0
2025.04.16.,모바일,"4,948",40,0.81,749,"29,957.4",0,0
2025.04.17.,PC,"1,362",9,0.67,516,"4,643.1",0,0
2025.04.17.,모바일,"5,392",35,0.65,751,"26,291.1",0,0
2025.04.18.,PC,"1,487",11,0.74,346,"3,803.25",0,0
2025.04.18.,모바일,"6,100",45,0.74,615,"27,655.65",0,0
2025.04.19.,PC,435,7,1.61,563,"3,941.3",0,0
2025.04.19.,모바일,"5,764",60,1.05,569,"34,167.1",0,0
2025.04.20.,PC,334,4,1.2,386,"1,545.5",0,0
2025.04.20.,모바일,"5,212",43,0.83,570,"24,515.7",0,0
2025.04.21.,PC,"1,324",6,0.46,583,"3,495.25",0,0
2025.04.21.,모바일,"4,778",42,0.88,639,"26,833.95",0,0
2025.04.22.,PC,"1,411",11,0.78,393,"4,325.75",0,0
2025.04.22.,모바일,"4,735",34,0.72,633,"21,516",0,0
2025.04.23.,PC,"1,404",8,0.57,495,"3,958.35",0,0
2025.04.23.,모바일,"4,775",44,0.93,593,"26,108.5",0,0
2025.04.24.,PC,"1,252",8,0.64,580,"4,637.6",0,0
2025.04.24.,모바일,"5,230",28,0.54,528,"14,783.45",0,0
2025.04.25.,PC,"1,561",20,1.29,364,"7,281.45",0,0
2025.04.25.,모바일,"6,011",22,0.37,421,"9,254.85",0,0
2025.04.26.,PC,549,11,2.01,458,"5,042.95",0,0
2025.04.26.,모바일,"7,347",50,0.69,783,"39,141.3",0,0
2025.04.27.,PC,439,4,0.92,491,"1,963.5",0,0
2025.04.27.,모바일,"6,445",27,0.42,570,"15,390.65",0,0
2025.04.28.,PC,"1,397",9,0.65,224,"2,020.15",0,0
2025.04.28.,모바일,"5,077",28,0.56,502,"14,062.95",0,0
2025.04.29.,PC,"1,326",13,0.99,296,"3,846.15",0,0
2025.04.29.,모바일,"5,651",36,0.64,550,"19,795.6",0,0
2025.04.30.,PC,"1,464",13,0.89,581,"7,552.05",0,0
2025.04.30.,모바일,"5,962",34,0.58,582,"19,780.2",0,0
2025.05.01.,PC,516,6,1.17,303,"1,818.85",0,0
2025.05.01.,모바일,"5,046",38,0.76,647,"24,588.85",0,0
2025.05.02.,모바일,19,0,0,0,0,0,0
2025.05.03.,모바일,10,0,0,0,0,0,0
2025.05.04.,모바일,9,0,0,0,0,0,0
2025.05.05.,모바일,2,0,0,0,0,0,0
2025.05.06.,모바일,2,0,0,0,0,0,0
2025.05.07.,모바일,3,0,0,0,0,0,0
2025.05.10.,PC,342,6,1.76,323,"1,939.85",0,0
2025.05.10.,모바일,"4,194",43,1.03,574,"24,685.65",0,0
2025.05.11.,PC,315,6,1.91,410,"2,459.6",0,0
2025.05.11.,모바일,"4,299",25,0.59,393,"9,817.5",0,0
2025.05.12.,PC,"1,109",11,1,318,"3,493.05",0,0
2025.05.12.,모바일,"3,991",35,0.88,693,"24,268.2",0,0
2025.05.13.,PC,"1,214",13,1.08,290,"3,770.8",0,0
2025.05.13.,모바일,"4,673",30,0.65,716,"21,489.6",0,0
2025.05.14.,PC,"1,137",12,1.06,484,"5,803.05",0,0
2025.05.14.,모바일,"4,751",33,0.7,637,"21,010",0,0
2025.05.15.,PC,"1,227",14,1.15,408,"5,715.05",0,0
2025.05.15.,모바일,"4,468",32,0.72,762,"24,379.3",0,0
2025.05.16.,PC,"1,325",11,0.84,472,"5,191.45",0,0
2025.05.16.,모바일,"5,204",49,0.95,555,"27,217.3",0,0
2025.05.17.,PC,282,4,1.42,317,"1,268.3",0,0
2025.05.17.,모바일,"5,216",41,0.79,495,"20,310.95",0,0
2025.05.18.,PC,310,2,0.65,123,245.85,0,0
2025.05.18.,모바일,"4,547",52,1.15,566,"29,418.4",0,0
