"일별보고서(2025.03.31.~2025.06.30.),onefinedayhadong:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"10,970",15,0.14,157,"2,354",0,0
2025.03.31.,모바일,"19,055",22,0.12,146,"3,201",0,0
2025.04.01.,PC,"9,025",10,0.12,89,891,0,0
2025.04.01.,모바일,"16,110",30,0.19,122,"3,652",0,0
2025.04.02.,PC,"9,325",10,0.11,118,"1,177",0,0
2025.04.02.,모바일,"14,986",20,0.14,156,"3,124",0,0
2025.04.03.,PC,"5,171",7,0.14,96,671,0,0
2025.04.03.,모바일,"9,323",31,0.34,112,"3,465",0,0
2025.04.04.,PC,"2,090",8,0.39,94,748,0,0
2025.04.04.,모바일,"2,919",19,0.66,104,"1,980",0,0
2025.04.05.,PC,"1,150",4,0.35,116,462,0,0
2025.04.05.,모바일,"3,986",13,0.33,109,"1,419",0,0
2025.04.06.,PC,"1,336",6,0.45,205,"1,232",0,0
2025.04.06.,모바일,"5,988",26,0.44,119,"3,102",0,0
2025.04.07.,PC,"2,594",8,0.31,103,825,0,0
2025.04.07.,모바일,"2,264",17,0.76,109,"1,848",0,0
2025.04.08.,PC,"1,614",6,0.38,86,517,0,0
2025.04.08.,모바일,"1,816",8,0.45,110,880,0,0
2025.04.09.,PC,"1,776",10,0.57,259,"2,585",0,0
2025.04.09.,모바일,"1,179",12,1.02,128,"1,540",0,0
2025.04.10.,PC,"15,935",9,0.06,121,"1,089",0,0
2025.04.10.,모바일,"23,590",17,0.08,80,"1,353",0,0
2025.04.11.,PC,"1,086",11,1.02,107,"1,177",0,0
2025.04.11.,모바일,"1,154",8,0.7,121,968,0,0
2025.04.12.,PC,710,3,0.43,414,"1,243",0,0
2025.04.12.,모바일,"1,488",7,0.48,91,638,0,0
2025.04.13.,PC,608,6,0.99,99,594,0,0
2025.04.13.,모바일,"1,372",12,0.88,111,"1,331",0,0
2025.04.14.,PC,"1,541",11,0.72,97,"1,067",0,0
2025.04.14.,모바일,850,12,1.42,110,"1,320",0,0
2025.04.15.,PC,"1,059",2,0.19,99,198,0,0
2025.04.15.,모바일,885,6,0.68,119,715,0,0
2025.04.16.,PC,881,12,1.37,99,"1,188",0,0
2025.04.16.,모바일,844,7,0.83,96,671,0,0
2025.04.17.,PC,843,11,1.31,186,"2,046",0,0
2025.04.17.,모바일,729,5,0.69,110,550,0,0
2025.04.18.,PC,742,3,0.41,103,308,0,0
2025.04.18.,모바일,770,5,0.65,99,495,0,0
2025.04.19.,PC,490,2,0.41,105,209,0,0
2025.04.19.,모바일,"1,065",8,0.76,110,880,0,0
2025.04.20.,PC,338,2,0.6,132,264,0,0
2025.04.20.,모바일,"1,448",13,0.9,108,"1,408",0,0
2025.04.21.,PC,"1,172",11,0.94,107,"1,177",0,0
2025.04.21.,모바일,"1,123",10,0.9,110,"1,100",0,0
2025.04.22.,PC,"1,268",12,0.95,182,"2,178",0,0
2025.04.22.,모바일,"1,070",12,1.13,104,"1,243",0,0
2025.04.23.,PC,"1,625",45,2.77,101,"4,554",0,0
2025.04.23.,모바일,"1,770",39,2.21,102,"3,971",0,0
2025.04.24.,PC,"1,220",3,0.25,216,649,0,0
2025.04.24.,모바일,"1,039",14,1.35,100,"1,397",0,0
2025.04.25.,PC,"1,139",7,0.62,182,"1,276",0,0
2025.04.25.,모바일,847,6,0.71,97,583,0,0
2025.04.26.,PC,595,3,0.51,345,"1,034",0,0
2025.04.26.,모바일,"1,367",12,0.88,87,"1,045",0,0
2025.04.27.,PC,"1,066",5,0.47,106,528,0,0
2025.04.27.,모바일,"1,489",20,1.35,113,"2,266",0,0
2025.04.28.,PC,"1,849",18,0.98,197,"3,553",0,0
2025.04.28.,모바일,"1,270",17,1.34,122,"2,068",0,0
2025.04.29.,PC,"1,597",11,0.69,128,"1,408",0,0
2025.04.29.,모바일,"1,289",9,0.7,120,"1,078",0,0
2025.04.30.,PC,"1,931",13,0.68,148,"1,925",0,0
2025.04.30.,모바일,"1,224",19,1.56,108,"2,057",0,0
2025.05.01.,PC,"1,637",5,0.31,108,539,0,0
2025.05.01.,모바일,"1,876",23,1.23,137,"3,157",0,0
2025.05.02.,PC,"1,683",15,0.9,141,"2,112",0,0
2025.05.02.,모바일,"1,875",18,0.96,105,"1,881",0,0
2025.05.03.,PC,907,5,0.56,163,814,0,0
2025.05.03.,모바일,"3,625",25,0.69,106,"2,651",0,0
2025.05.04.,PC,750,3,0.4,103,308,0,0
2025.05.04.,모바일,"5,514",22,0.4,106,"2,321",0,0
2025.05.05.,PC,456,2,0.44,116,231,0,0
2025.05.05.,모바일,"2,439",18,0.74,114,"2,046",0,0
2025.05.06.,PC,574,4,0.7,154,616,0,0
2025.05.06.,모바일,"1,289",10,0.78,90,902,0,0
2025.05.07.,PC,"1,094",4,0.37,204,814,0,0
2025.05.07.,모바일,927,11,1.19,124,"1,364",0,0
2025.05.08.,PC,"1,049",5,0.48,147,737,0,0
2025.05.08.,모바일,884,3,0.34,95,286,0,0
2025.05.09.,PC,961,3,0.32,161,484,0,0
2025.05.09.,모바일,610,2,0.33,77,154,0,0
2025.05.10.,PC,501,3,0.6,169,506,0,0
2025.05.10.,모바일,"1,330",7,0.53,192,"1,342",0,0
2025.05.11.,PC,423,2,0.48,94,187,0,0
2025.05.11.,모바일,"1,445",12,0.84,93,"1,111",0,0
2025.05.12.,PC,953,5,0.53,350,"1,749",0,0
2025.05.12.,모바일,"1,005",6,0.6,123,737,0,0
2025.05.13.,PC,826,3,0.37,99,297,0,0
2025.05.13.,모바일,716,8,1.12,125,"1,001",0,0
2025.05.14.,PC,669,6,0.9,378,"2,266",0,0
2025.05.14.,모바일,759,13,1.72,101,"1,309",0,0
2025.05.15.,PC,"1,033",6,0.59,114,682,0,0
2025.05.15.,모바일,"1,279",12,0.94,129,"1,551",0,0
2025.05.16.,PC,665,6,0.91,238,"1,430",0,0
2025.05.16.,모바일,925,10,1.09,99,990,0,0
2025.05.17.,PC,375,1,0.27,110,110,0,0
2025.05.17.,모바일,"1,259",11,0.88,155,"1,705",0,0
2025.05.18.,PC,386,1,0.26,330,330,0,0
2025.05.18.,모바일,"1,807",19,1.06,118,"2,233",0,0
2025.05.19.,PC,692,3,0.44,150,451,0,0
2025.05.19.,모바일,"1,027",14,1.37,94,"1,309",0,0
2025.05.20.,PC,640,12,1.88,149,"1,793",0,0
2025.05.20.,모바일,"1,131",16,1.42,98,"1,562",0,0
2025.05.21.,PC,780,3,0.39,216,649,0,0
2025.05.21.,모바일,"2,868",24,0.84,284,"6,809",0,0
2025.05.22.,PC,749,5,0.67,110,550,0,0
2025.05.22.,모바일,"1,353",11,0.82,197,"2,167",0,0
2025.05.23.,PC,773,8,1.04,168,"1,342",0,0
2025.05.23.,모바일,"1,358",9,0.67,210,"1,892",0,0
2025.05.24.,PC,520,4,0.77,253,"1,012",0,0
2025.05.24.,모바일,"2,204",21,0.96,243,"5,093",0,0
2025.05.25.,PC,582,1,0.18,209,209,0,0
2025.05.25.,모바일,"2,476",18,0.73,213,"3,828",0,0
2025.05.26.,PC,"1,121",13,1.16,123,"1,595",0,0
2025.05.26.,모바일,"1,553",18,1.16,201,"3,619",0,0
2025.05.27.,PC,873,3,0.35,301,902,0,0
2025.05.27.,모바일,"1,444",8,0.56,154,"1,232",0,0
2025.05.28.,PC,920,8,0.87,180,"1,441",0,0
2025.05.28.,모바일,"1,178",15,1.28,222,"3,333",0,0
2025.05.29.,PC,825,2,0.25,88,176,0,0
2025.05.29.,모바일,"1,037",17,1.64,213,"3,619",0,0
2025.05.30.,PC,849,2,0.24,281,561,0,0
2025.05.30.,모바일,"1,243",16,1.29,174,"2,783",0,0
