"일별보고서(2025.03.31.~2025.06.30.),sinnamiradjssl:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.05.07.,모바일,20,2,10,550,"1,100",0,0
2025.05.08.,PC,35,0,0,0,0,0,0
2025.05.08.,모바일,61,2,3.28,270,539,0,0
2025.05.09.,PC,229,2,0.88,308,616,0,0
2025.05.09.,모바일,199,3,1.51,517,"1,551",0,0
2025.05.10.,PC,64,0,0,0,0,0,0
2025.05.10.,모바일,312,4,1.29,198,792,0,0
2025.05.11.,PC,159,0,0,0,0,0,0
2025.05.11.,모바일,552,7,1.27,248,"1,738",0,0
2025.05.12.,PC,395,10,2.54,218,"2,178",0,0
2025.05.12.,모바일,744,5,0.68,361,"1,804",0,0
2025.05.13.,PC,373,5,1.35,268,"1,342",0,0
2025.05.13.,모바일,614,4,0.66,74,297,0,0
2025.05.14.,PC,292,3,1.03,70,209,0,0
2025.05.14.,모바일,648,8,1.24,193,"1,540",0,0
2025.05.15.,PC,342,6,1.76,227,"1,364",0,0
2025.05.15.,모바일,829,9,1.09,240,"2,156",0,0
2025.05.16.,PC,295,3,1.02,84,253,0,0
2025.05.16.,모바일,696,3,0.44,81,242,0,0
2025.05.17.,PC,124,0,0,0,0,0,0
2025.05.17.,모바일,673,5,0.75,90,451,0,0
2025.05.18.,PC,117,1,0.86,77,77,0,0
2025.05.18.,모바일,825,7,0.85,141,990,0,0
2025.05.19.,PC,386,4,1.04,316,"1,265",0,0
2025.05.19.,모바일,799,9,1.13,78,704,0,0
2025.05.20.,PC,370,5,1.36,86,429,0,0
2025.05.20.,모바일,"1,035",11,1.07,164,"1,804",0,0
2025.05.21.,PC,515,3,0.59,73,220,0,0
2025.05.21.,모바일,"1,472",7,0.48,75,528,0,0
2025.05.22.,PC,604,4,0.67,74,297,0,0
2025.05.22.,모바일,"1,673",15,0.9,147,"2,211",0,0
2025.05.23.,PC,505,2,0.4,72,143,0,0
2025.05.23.,모바일,"1,608",13,0.81,80,"1,034",0,0
2025.05.24.,PC,217,2,0.93,193,385,0,0
2025.05.24.,모바일,"2,196",6,0.28,75,451,0,0
2025.05.25.,PC,200,0,0,0,0,0,0
2025.05.25.,모바일,"2,108",12,0.57,144,"1,727",0,0
2025.05.26.,PC,752,8,1.07,87,693,0,0
2025.05.26.,모바일,"2,353",17,0.73,106,"1,804",0,0
