"일별보고서(2025.03.31.~2025.06.30.),the_agit213:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,135,4,2.97,"1,518","6,072",0,0
2025.03.31.,모바일,36,1,2.78,"1,386","1,386",0,0
2025.04.01.,PC,129,2,1.56,655,"1,309",0,0
2025.04.01.,모바일,62,1,1.62,"1,078","1,078",0,0
2025.04.02.,PC,103,0,0,0,0,0,0
2025.04.02.,모바일,48,1,2.09,"1,166","1,166",0,0
2025.04.03.,PC,87,1,1.15,"1,914","1,914",0,0
2025.04.03.,모바일,69,3,4.35,917,"2,750",0,0
2025.04.04.,PC,90,2,2.23,"1,408","2,816",0,0
2025.04.04.,모바일,21,0,0,0,0,0,0
2025.04.05.,모바일,25,1,4,77,77,0,0
2025.04.06.,모바일,16,2,12.5,"1,485","2,970",0,0
2025.04.07.,PC,102,2,1.97,814,"1,628",0,0
2025.04.07.,모바일,49,1,2.05,77,77,0,0
2025.04.08.,PC,136,1,0.74,"1,562","1,562",0,0
2025.04.08.,모바일,46,0,0,0,0,0,0
2025.04.09.,PC,141,4,2.84,"1,590","6,358",0,0
2025.04.09.,모바일,18,1,5.56,275,275,0,0
2025.04.10.,PC,167,4,2.4,847,"3,388",0,0
2025.04.10.,모바일,38,0,0,0,0,0,0
2025.04.11.,PC,150,4,2.67,971,"3,883",0,0
2025.04.11.,모바일,35,2,5.72,330,660,0,0
2025.04.12.,모바일,22,2,9.1,864,"1,727",0,0
2025.04.13.,모바일,19,4,21.06,809,"3,234",0,0
2025.04.14.,PC,180,3,1.67,"1,855","5,566",0,0
2025.04.14.,모바일,50,2,4,352,704,0,0
2025.04.15.,PC,198,3,1.52,"1,280","3,839",0,0
2025.04.15.,모바일,34,1,2.95,275,275,0,0
2025.04.16.,PC,217,3,1.39,"1,272","3,817",0,0
2025.04.16.,모바일,31,0,0,0,0,0,0
2025.04.17.,PC,182,2,1.1,"1,106","2,211",0,0
2025.04.17.,모바일,23,1,4.35,550,550,0,0
2025.04.18.,PC,162,3,1.86,"1,632","4,895",0,0
2025.04.18.,모바일,24,0,0,0,0,0,0
2025.04.19.,모바일,25,0,0,0,0,0,0
2025.04.20.,모바일,17,2,11.77,"1,359","2,717",0,0
2025.04.21.,PC,224,1,0.45,"1,496","1,496",0,0
2025.04.21.,모바일,23,0,0,0,0,0,0
2025.04.22.,PC,209,2,0.96,781,"1,562",0,0
2025.04.22.,모바일,27,0,0,0,0,0,0
2025.04.23.,PC,188,3,1.6,"1,049","3,146",0,0
2025.04.23.,모바일,123,5,4.07,891,"4,455",0,0
2025.04.24.,PC,201,3,1.5,"1,551","4,653",0,0
2025.04.24.,모바일,61,2,3.28,946,"1,892",0,0
2025.04.25.,PC,104,1,0.97,"1,529","1,529",0,0
2025.04.25.,모바일,59,0,0,0,0,0,0
2025.04.26.,모바일,20,1,5,264,264,0,0
2025.04.27.,모바일,12,0,0,0,0,0,0
2025.04.28.,PC,103,2,1.95,77,154,0,0
2025.04.28.,모바일,35,0,0,0,0,0,0
2025.04.29.,PC,74,0,0,0,0,0,0
2025.04.29.,모바일,35,1,2.86,77,77,0,0
2025.04.30.,PC,102,2,1.97,990,"1,980",0,0
2025.04.30.,모바일,36,3,8.34,"1,027","3,080",0,0
2025.05.01.,PC,78,0,0,0,0,0,0
2025.05.01.,모바일,37,1,2.71,550,550,0,0
2025.05.02.,PC,127,5,3.94,"1,408","7,040",0,0
2025.05.02.,모바일,39,1,2.57,242,242,0,0
2025.05.03.,모바일,10,2,20,924,"1,848",0,0
2025.05.04.,모바일,10,0,0,0,0,0,0
2025.05.05.,PC,85,0,0,0,0,0,0
2025.05.05.,모바일,51,5,9.81,671,"3,355",0,0
2025.05.06.,PC,107,1,0.94,77,77,0,0
2025.05.06.,모바일,36,0,0,0,0,0,0
2025.05.07.,PC,90,1,1.12,77,77,0,0
2025.05.07.,모바일,27,1,3.71,"1,276","1,276",0,0
2025.05.08.,PC,89,5,5.62,"1,778","8,888",0,0
2025.05.08.,모바일,77,3,3.9,"1,573","4,719",0,0
2025.05.09.,PC,75,2,2.67,"1,007","2,013",0,0
2025.05.09.,모바일,49,4,8.17,569,"2,277",0,0
2025.05.10.,모바일,26,1,3.85,"1,606","1,606",0,0
2025.05.11.,모바일,14,1,7.15,264,264,0,0
2025.05.12.,PC,104,0,0,0,0,0,0
2025.05.12.,모바일,44,2,4.55,"1,034","2,068",0,0
2025.05.13.,PC,128,2,1.57,"1,716","3,432",0,0
2025.05.13.,모바일,159,1,0.63,"1,815","1,815",0,0
2025.05.14.,PC,110,0,0,0,0,0,0
2025.05.14.,모바일,163,2,1.23,"1,925","3,850",0,0
