"일별보고서(2025.03.31.~2025.06.30.),topgwgn:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,76,1,1.32,80,79.75,0,0
2025.03.31.,모바일,290,11,3.8,78,855.8,0,0
2025.04.01.,PC,60,1,1.67,58,57.75,0,0
2025.04.01.,모바일,307,4,1.31,347,"1,386.55",0,0
2025.04.02.,PC,50,4,8,774,"3,094.3",0,0
2025.04.02.,모바일,346,3,0.87,105,316.25,0,0
2025.04.03.,PC,83,0,0,0,3.85,0,0
2025.04.03.,모바일,321,7,2.19,155,"1,085.15",0,0
2025.04.04.,PC,56,0,0,0,2.2,0,0
2025.04.04.,모바일,377,4,1.07,573,"2,292.95",0,0
2025.04.05.,PC,27,0,0,0,0.55,0,0
2025.04.05.,모바일,428,14,3.28,470,"6,573.6",0,0
2025.04.06.,PC,24,2,8.34,308,616.55,0,0
2025.04.06.,모바일,442,10,2.27,128,"1,280.4",0,0
2025.04.07.,PC,43,1,2.33,"1,906","1,906.3",0,0
2025.04.07.,모바일,359,6,1.68,624,"3,742.75",0,0
2025.04.08.,PC,58,1,1.73,80,79.75,0,0
2025.04.08.,모바일,337,7,2.08,142,993.85,0,0
2025.04.09.,PC,64,2,3.13,68,135.85,0,0
2025.04.09.,모바일,323,10,3.1,374,"3,736.15",0,0
2025.04.10.,PC,69,0,0,0,3.85,0,0
2025.04.10.,모바일,308,4,1.3,79,314.05,0,0
2025.04.11.,PC,90,2,2.23,595,"1,190.2",0,0
2025.04.11.,모바일,336,7,2.09,250,"1,753.4",0,0
2025.04.12.,PC,32,1,3.13,496,495.55,0,0
2025.04.12.,모바일,385,7,1.82,243,"1,700.6",0,0
2025.04.13.,PC,33,1,3.04,56,55.55,0,0
2025.04.13.,모바일,361,4,1.11,122,486.2,0,0
2025.04.14.,PC,58,1,1.73,80,79.75,0,0
2025.04.14.,모바일,420,8,1.91,133,"1,063.7",0,0
2025.04.15.,모바일,4,1,25,781,781,0,0
2025.04.27.,PC,17,1,5.89,77,77,0,0
2025.04.27.,모바일,119,1,0.85,113,112.75,0,0
2025.04.28.,PC,46,1,2.18,58,57.75,0,0
2025.04.28.,모바일,142,1,0.71,"2,151","2,151.05",0,0
2025.04.29.,PC,41,0,0,0,3.85,0,0
2025.04.29.,모바일,224,2,0.9,174,347.05,0,0
2025.04.30.,PC,60,2,3.34,69,138.05,0,0
2025.04.30.,모바일,265,6,2.27,137,821.15,0,0
2025.05.01.,PC,32,1,3.13,58,58.3,0,0
2025.05.01.,모바일,318,3,0.95,164,491.7,0,0
2025.05.02.,PC,68,0,0,0,4.4,0,0
2025.05.02.,모바일,317,4,1.27,63,250.8,0,0
2025.05.03.,PC,27,0,0,0,0,0,0
2025.05.03.,모바일,441,6,1.37,127,761.2,0,0
2025.05.04.,PC,28,1,3.58,56,55.55,0,0
2025.05.04.,모바일,397,8,2.02,124,993.85,0,0
2025.05.05.,PC,14,2,14.29,"1,089","2,178",0,0
2025.05.05.,모바일,368,7,1.91,72,501.05,0,0
2025.05.06.,PC,17,0,0,0,1.1,0,0
2025.05.06.,모바일,367,7,1.91,163,"1,138.5",0,0
2025.05.07.,PC,41,0,0,0,1.1,0,0
2025.05.07.,모바일,247,2,0.81,201,401.5,0,0
2025.05.08.,PC,33,1,3.04,267,266.75,0,0
2025.05.08.,모바일,288,2,0.7,148,295.35,0,0
2025.05.09.,PC,59,1,1.7,77,77,0,0
2025.05.09.,모바일,256,3,1.18,439,"1,317.25",0,0
2025.05.10.,PC,16,3,18.75,"1,185","3,553.55",0,0
2025.05.10.,모바일,320,9,2.82,426,"3,835.7",0,0
2025.05.11.,PC,12,0,0,0,1.1,0,0
2025.05.11.,모바일,331,5,1.52,619,"3,094.85",0,0
2025.05.12.,PC,53,0,0,0,3.3,0,0
2025.05.12.,모바일,266,8,3.01,112,897.6,0,0
2025.05.13.,PC,44,0,0,0,1.65,0,0
2025.05.13.,모바일,266,5,1.88,316,"1,580.15",0,0
2025.05.14.,PC,52,0,0,0,1.1,0,0
2025.05.14.,모바일,275,7,2.55,524,"3,667.4",0,0
2025.05.15.,PC,37,1,2.71,355,355.3,0,0
2025.05.15.,모바일,234,4,1.71,77,306.35,0,0
2025.05.16.,PC,34,1,2.95,78,77.55,0,0
2025.05.16.,모바일,205,3,1.47,247,740.85,0,0
2025.05.17.,PC,13,1,7.7,56,56.1,0,0
2025.05.17.,모바일,243,5,2.06,153,765.6,0,0
2025.05.18.,PC,19,0,0,0,1.65,0,0
2025.05.18.,모바일,238,6,2.53,375,"2,249.5",0,0
2025.05.19.,PC,35,1,2.86,80,80.3,0,0
2025.05.19.,모바일,228,9,3.95,546,"4,914.25",0,0
2025.05.20.,PC,38,2,5.27,442,883.3,0,0
2025.05.20.,모바일,246,8,3.26,485,"3,876.95",0,0
2025.05.21.,PC,36,1,2.78,112,112.2,0,0
2025.05.21.,모바일,187,2,1.07,673,"1,345.85",0,0
2025.05.22.,PC,28,1,3.58,387,386.65,0,0
2025.05.22.,모바일,203,4,1.98,419,"1,677.5",0,0
2025.05.23.,PC,46,1,2.18,"1,784","1,784.2",0,0
2025.05.23.,모바일,264,5,1.9,591,"2,955.7",0,0
2025.05.24.,PC,24,2,8.34,78,156.2,0,0
2025.05.24.,모바일,226,6,2.66,189,"1,136.85",0,0
2025.05.25.,PC,13,1,7.7,66,66,0,0
2025.05.25.,모바일,252,6,2.39,265,"1,587.3",0,0
2025.05.26.,PC,53,2,3.78,"1,635","3,270.3",0,0
2025.05.26.,모바일,177,5,2.83,73,366.3,0,0
2025.05.27.,PC,35,0,0,0,2.2,0,0
2025.05.27.,모바일,188,8,4.26,267,"2,138.95",0,0
2025.05.28.,PC,32,1,3.13,79,78.65,0,0
2025.05.28.,모바일,223,8,3.59,205,"1,637.9",0,0
2025.05.29.,PC,27,0,0,0,3.85,0,0
2025.05.29.,모바일,225,5,2.23,184,919.05,0,0
2025.05.30.,PC,38,2,5.27,216,432.85,0,0
2025.05.30.,모바일,237,4,1.69,737,"2,947.45",0,0
2025.05.31.,PC,15,3,20,132,397.1,0,0
2025.05.31.,모바일,303,7,2.32,182,"1,275.45",0,0
2025.06.01.,PC,19,1,5.27,79,78.65,0,0
