"일별보고서(2025.03.31.~2025.06.30.),wjdrlaksen:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,859",8,0.44,"1,294","10,351",0,0
2025.03.31.,모바일,"3,903",23,0.59,"1,016","23,375",0,0
2025.04.01.,PC,"1,585",5,0.32,"2,721","13,607",0,0
2025.04.01.,모바일,"3,646",24,0.66,"1,050","25,190",0,0
2025.04.02.,PC,"1,635",8,0.49,"2,553","20,427",0,0
2025.04.02.,모바일,"3,755",28,0.75,"1,428","39,996",0,0
2025.04.03.,PC,"1,458",5,0.35,"2,200","11,000",0,0
2025.04.03.,모바일,"3,047",26,0.86,"1,808","47,014",0,0
2025.04.04.,PC,"1,796",11,0.62,688,"7,568",0,0
2025.04.04.,모바일,"4,053",32,0.79,"1,330","42,548",0,0
2025.04.05.,PC,626,4,0.64,"2,786","11,143",0,0
2025.04.05.,모바일,"3,987",27,0.68,"1,361","36,751",0,0
2025.04.06.,PC,566,2,0.36,407,814,0,0
2025.04.06.,모바일,"3,722",36,0.97,"1,188","42,779",0,0
2025.04.07.,PC,"2,051",4,0.2,"2,428","9,713",0,0
2025.04.07.,모바일,"4,333",25,0.58,"1,647","41,173",0,0
2025.04.08.,PC,"1,975",7,0.36,935,"6,545",0,0
2025.04.08.,모바일,"3,990",26,0.66,790,"20,537",0,0
2025.04.09.,PC,"1,640",11,0.68,"1,129","12,419",0,0
2025.04.09.,모바일,"4,037",28,0.7,"1,347","37,719",0,0
2025.04.10.,PC,"1,387",8,0.58,"2,252","18,018",0,0
2025.04.10.,모바일,"3,538",20,0.57,"1,867","37,334",0,0
2025.04.11.,PC,"1,145",5,0.44,972,"4,862",0,0
2025.04.11.,모바일,"3,022",26,0.87,"2,212","57,519",0,0
2025.04.12.,PC,630,3,0.48,458,"1,375",0,0
2025.04.12.,모바일,"4,482",34,0.76,819,"27,852",0,0
2025.04.13.,PC,562,2,0.36,418,836,0,0
2025.04.13.,모바일,"4,435",35,0.79,"1,195","41,833",0,0
2025.04.14.,PC,"2,130",10,0.47,"2,063","20,625",0,0
2025.04.14.,모바일,"4,606",35,0.76,"1,340","46,893",0,0
2025.04.15.,PC,"1,972",3,0.16,"1,089","3,267",0,0
2025.04.15.,모바일,"4,551",38,0.84,"1,374","52,206",0,0
2025.04.16.,PC,"1,586",5,0.32,"3,747","18,733",0,0
2025.04.16.,모바일,"4,243",30,0.71,815,"24,453",0,0
2025.04.17.,PC,"1,408",6,0.43,"2,246","13,475",0,0
2025.04.17.,모바일,"3,798",30,0.79,883,"26,477",0,0
2025.04.18.,PC,"1,169",6,0.52,"2,028","12,166",0,0
2025.04.18.,모바일,"3,893",27,0.7,"1,512","40,832",0,0
2025.04.19.,PC,489,3,0.62,"3,436","10,307",0,0
2025.04.19.,모바일,"3,899",24,0.62,"1,268","30,426",0,0
2025.04.20.,PC,424,3,0.71,"1,727","5,181",0,0
2025.04.20.,모바일,"3,326",18,0.55,798,"14,355",0,0
2025.04.21.,PC,"1,353",8,0.6,"2,354","18,832",0,0
2025.04.21.,모바일,"3,501",26,0.75,"2,207","57,376",0,0
2025.04.22.,PC,"1,691",11,0.66,"2,262","24,882",0,0
2025.04.22.,모바일,"4,071",41,1.01,"1,591","65,230",0,0
2025.04.23.,PC,"1,397",1,0.08,"4,620","4,620",0,0
2025.04.23.,모바일,"4,172",33,0.8,"1,485","49,005",0,0
2025.04.24.,PC,"1,243",4,0.33,745,"2,981",0,0
2025.04.24.,모바일,"3,607",29,0.81,"1,092","31,680",0,0
2025.04.25.,PC,963,2,0.21,"2,607","5,214",0,0
2025.04.25.,모바일,"3,086",24,0.78,638,"15,312",0,0
2025.04.26.,PC,730,0,0,0,0,0,0
2025.04.26.,모바일,"6,571",29,0.45,"1,316","38,159",0,0
2025.04.27.,PC,893,5,0.56,"1,190","5,951",0,0
2025.04.27.,모바일,"8,253",13,0.16,"1,246","16,203",0,0
2025.04.28.,PC,"2,273",8,0.36,"1,723","13,783",0,0
2025.04.28.,모바일,"8,261",25,0.31,"1,422","35,552",0,0
2025.04.29.,PC,"2,324",2,0.09,"2,635","5,269",0,0
2025.04.29.,모바일,"7,365",33,0.45,"2,142","70,675",0,0
2025.04.30.,PC,"2,271",4,0.18,"1,746","6,985",0,0
2025.04.30.,모바일,"10,578",17,0.17,"1,601","27,225",0,0
2025.05.01.,PC,"1,225",1,0.09,220,220,0,0
2025.05.01.,모바일,"8,594",20,0.24,"1,297","25,949",0,0
2025.05.02.,PC,"1,460",8,0.55,"2,071","16,566",0,0
2025.05.02.,모바일,"6,230",24,0.39,"1,045","25,091",0,0
2025.05.03.,PC,808,3,0.38,"2,809","8,426",0,0
2025.05.03.,모바일,"6,730",24,0.36,"1,636","39,270",0,0
2025.05.04.,PC,610,2,0.33,"2,816","5,632",0,0
2025.05.04.,모바일,"6,616",15,0.23,480,"7,194",0,0
2025.05.05.,PC,937,1,0.11,"3,806","3,806",0,0
2025.05.05.,모바일,"8,146",29,0.36,"1,390","40,315",0,0
2025.05.06.,PC,"1,319",3,0.23,462,"1,386",0,0
2025.05.06.,모바일,"9,120",24,0.27,"1,800","43,208",0,0
2025.05.07.,PC,"2,973",5,0.17,"4,763","23,815",0,0
2025.05.07.,모바일,"13,495",19,0.15,"1,285","24,409",0,0
2025.05.08.,PC,"2,598",3,0.12,"3,007","9,020",0,0
2025.05.08.,모바일,"10,820",21,0.2,"2,179","45,760",0,0
2025.05.09.,PC,"1,146",7,0.62,476,"3,333",0,0
2025.05.09.,모바일,"3,302",22,0.67,"1,382","30,393",0,0
2025.05.10.,PC,528,3,0.57,"1,426","4,279",0,0
2025.05.10.,모바일,"3,047",17,0.56,"1,290","21,923",0,0
2025.05.11.,PC,341,2,0.59,165,330,0,0
2025.05.11.,모바일,"2,953",24,0.82,"1,410","33,836",0,0
2025.05.12.,PC,"1,315",5,0.39,"1,243","6,215",0,0
2025.05.12.,모바일,"3,545",20,0.57,"1,736","34,727",0,0
2025.05.13.,PC,"1,299",6,0.47,"1,274","7,645",0,0
2025.05.13.,모바일,"3,483",20,0.58,"1,554","31,086",0,0
2025.05.14.,PC,"1,238",5,0.41,"2,369","11,847",0,0
2025.05.14.,모바일,"3,700",15,0.41,"1,106","16,588",0,0
2025.05.15.,PC,"1,229",2,0.17,"2,492","4,983",0,0
2025.05.15.,모바일,"3,569",27,0.76,"1,631","44,033",0,0
2025.05.16.,PC,"1,178",3,0.26,847,"2,541",0,0
2025.05.16.,모바일,"3,472",29,0.84,"1,159","33,616",0,0
2025.05.17.,PC,388,1,0.26,"5,170","5,170",0,0
2025.05.17.,모바일,"3,443",31,0.91,"1,371","42,493",0,0
2025.05.18.,PC,366,1,0.28,77,77,0,0
2025.05.18.,모바일,"3,442",30,0.88,"1,364","40,931",0,0
2025.05.19.,PC,"1,296",8,0.62,"2,494","19,954",0,0
2025.05.19.,모바일,"3,618",15,0.42,878,"13,167",0,0
2025.05.20.,PC,"1,390",3,0.22,"3,318","9,955",0,0
2025.05.20.,모바일,"3,606",26,0.73,"1,709","44,429",0,0
