"일별보고서(2025.03.31.~2025.06.30.),wjsdn815:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,447",6,0.42,443,"2,657.05",0,0
2025.03.31.,모바일,"15,430",65,0.43,237,"15,431.35",0,0
2025.04.01.,PC,751,3,0.4,481,"1,443.2",0,0
2025.04.01.,모바일,"9,342",62,0.67,236,"14,650.35",0,0
2025.04.02.,PC,701,2,0.29,531,"1,061.5",0,0
2025.04.02.,모바일,"7,278",59,0.82,240,"14,173.5",0,0
2025.04.03.,PC,"1,083",3,0.28,367,"1,101.65",0,0
2025.04.03.,모바일,"12,381",61,0.5,201,"12,240.25",0,0
2025.04.04.,PC,758,3,0.4,116,349.25,0,0
2025.04.04.,모바일,"12,180",67,0.56,223,"14,927",0,0
2025.04.05.,PC,431,0,0,0,46.2,0,0
2025.04.05.,모바일,"10,003",71,0.71,255,"18,085.1",0,0
2025.04.06.,PC,590,2,0.34,58,116.6,0,0
2025.04.06.,모바일,"13,451",75,0.56,218,"16,325.65",0,0
2025.04.07.,PC,"1,816",3,0.17,353,"1,058.75",0,0
2025.04.07.,모바일,"24,355",57,0.24,218,"12,444.3",0,0
2025.04.08.,PC,"4,932",5,0.11,164,821.15,0,0
2025.04.08.,모바일,"77,340",63,0.09,199,"12,519.65",0,0
2025.04.09.,PC,"5,276",1,0.02,168,167.75,0,0
2025.04.09.,모바일,"76,926",70,0.1,250,"17,510.35",0,0
2025.04.10.,PC,"3,031",11,0.37,294,"3,229.05",0,0
2025.04.10.,모바일,"56,467",67,0.12,214,"14,322",0,0
2025.04.11.,PC,"2,556",4,0.16,401,"1,603.8",0,0
2025.04.11.,모바일,"54,475",80,0.15,245,"19,586.05",0,0
2025.04.12.,PC,"1,344",6,0.45,272,"1,631.3",0,0
2025.04.12.,모바일,"31,270",69,0.23,229,"15,826.8",0,0
2025.04.13.,PC,"2,245",2,0.09,283,566.5,0,0
2025.04.13.,모바일,"47,793",67,0.15,229,"15,329.05",0,0
2025.04.14.,PC,"5,185",7,0.14,431,"3,015.65",0,0
2025.04.14.,모바일,"63,649",61,0.1,210,"12,821.05",0,0
2025.04.15.,PC,"2,925",1,0.04,179,178.75,0,0
2025.04.15.,모바일,"35,890",53,0.15,208,"11,048.4",0,0
2025.04.16.,PC,"2,588",3,0.12,379,"1,137.4",0,0
2025.04.16.,모바일,"36,459",58,0.16,245,"14,184.5",0,0
2025.04.17.,PC,"3,949",4,0.11,303,"1,213.3",0,0
2025.04.17.,모바일,"52,503",44,0.09,250,"10,979.65",0,0
2025.04.18.,PC,"1,425",6,0.43,354,"2,126.85",0,0
2025.04.18.,모바일,"20,423",49,0.24,242,"11,849.75",0,0
2025.04.19.,PC,"1,616",3,0.19,519,"1,556.5",0,0
2025.04.19.,모바일,"34,610",72,0.21,312,"22,478.5",0,0
2025.04.20.,PC,"1,115",2,0.18,264,528.55,0,0
2025.04.20.,모바일,"33,013",55,0.17,248,"13,635.6",0,0
2025.04.21.,PC,"1,672",1,0.06,514,514.25,0,0
2025.04.21.,모바일,"54,231",51,0.1,252,"12,876.6",0,0
2025.04.22.,PC,"4,079",3,0.08,467,"1,401.4",0,0
2025.04.22.,모바일,"125,962",51,0.05,232,"11,850.85",0,0
2025.04.23.,PC,"3,850",2,0.06,357,713.35,0,0
2025.04.23.,모바일,"78,718",50,0.07,255,"12,739.65",0,0
2025.04.24.,PC,"3,969",5,0.13,436,"2,178.55",0,0
2025.04.24.,모바일,"44,917",50,0.12,275,"13,730.2",0,0
2025.04.25.,PC,"8,581",11,0.13,326,"3,587.1",0,0
2025.04.25.,모바일,"74,990",76,0.11,302,"22,955.35",0,0
2025.04.26.,PC,"2,271",9,0.4,351,"3,161.95",0,0
2025.04.26.,모바일,"33,927",72,0.22,329,"23,718.75",0,0
2025.04.27.,PC,"1,422",7,0.5,319,"2,235.2",0,0
2025.04.27.,모바일,"28,302",70,0.25,299,"20,922",0,0
2025.04.28.,PC,"3,835",2,0.06,314,627,0,0
2025.04.28.,모바일,"57,250",59,0.11,272,"16,061.65",0,0
2025.04.29.,PC,"2,763",3,0.11,487,"1,460.8",0,0
2025.04.29.,모바일,"36,205",66,0.19,261,"17,217.75",0,0
2025.04.30.,PC,"4,004",4,0.1,459,"1,835.9",0,0
2025.04.30.,모바일,"38,317",55,0.15,250,"13,750.55",0,0
2025.05.01.,PC,"1,771",5,0.29,318,"1,589.5",0,0
2025.05.01.,모바일,"23,023",69,0.3,284,"19,590.45",0,0
2025.05.02.,PC,"1,270",3,0.24,358,"1,074.15",0,0
2025.05.02.,모바일,"14,161",55,0.39,310,"17,051.65",0,0
2025.05.03.,PC,703,2,0.29,308,616.55,0,0
2025.05.03.,모바일,"11,524",48,0.42,293,"14,085.5",0,0
2025.05.04.,PC,586,4,0.69,311,"1,245.2",0,0
2025.05.04.,모바일,"10,640",54,0.51,305,"16,493.4",0,0
2025.05.05.,PC,693,2,0.29,500,"1,000.45",0,0
2025.05.05.,모바일,"10,071",38,0.38,283,"10,738.2",0,0
2025.05.06.,PC,799,2,0.26,493,986.15,0,0
2025.05.06.,모바일,"11,529",56,0.49,277,"15,495.7",0,0
2025.05.07.,PC,"1,468",3,0.21,333,"1,000.45",0,0
2025.05.07.,모바일,"9,303",39,0.42,257,"10,039.7",0,0
2025.05.08.,PC,"1,331",3,0.23,230,691.35,0,0
2025.05.08.,모바일,"10,643",43,0.41,322,"13,858.35",0,0
2025.05.09.,PC,"1,366",4,0.3,483,"1,930.5",0,0
2025.05.09.,모바일,"7,420",39,0.53,323,"12,614.25",0,0
2025.05.10.,PC,697,2,0.29,531,"1,062.05",0,0
2025.05.10.,모바일,"10,487",46,0.44,272,"12,531.75",0,0
2025.05.11.,PC,586,1,0.18,479,478.5,0,0
2025.05.11.,모바일,"9,489",56,0.6,303,"16,995",0,0
2025.05.12.,PC,728,3,0.42,226,679.25,0,0
2025.05.12.,모바일,"3,465",40,1.16,289,"11,551.65",0,0
2025.05.13.,PC,472,2,0.43,522,"1,044.45",0,0
2025.05.13.,모바일,"2,416",18,0.75,308,"5,547.85",0,0
2025.05.14.,PC,497,6,1.21,350,"2,102.1",0,0
2025.05.14.,모바일,"2,722",24,0.89,325,"7,803.95",0,0
2025.05.15.,PC,479,4,0.84,304,"1,214.95",0,0
2025.05.15.,모바일,"2,933",38,1.3,377,"14,336.3",0,0
2025.05.16.,PC,465,4,0.87,354,"1,415.15",0,0
2025.05.16.,모바일,"2,586",31,1.2,472,"14,632.75",0,0
2025.05.17.,PC,209,8,3.83,378,"3,021.15",0,0
2025.05.17.,모바일,"2,892",47,1.63,440,"20,675.05",0,0
2025.05.18.,PC,238,0,0,0,47.85,0,0
2025.05.18.,모바일,"3,394",47,1.39,445,"20,918.15",0,0
2025.05.19.,PC,530,1,0.19,542,541.75,0,0
2025.05.19.,모바일,"3,028",40,1.33,441,"17,647.85",0,0
2025.05.20.,PC,463,4,0.87,498,"1,993.75",0,0
2025.05.20.,모바일,"2,478",32,1.3,523,"16,732.1",0,0
2025.05.21.,PC,383,5,1.31,334,"1,670.35",0,0
2025.05.21.,모바일,"1,772",21,1.19,570,"11,960.3",0,0
2025.05.22.,PC,164,0,0,0,36.3,0,0
2025.05.22.,모바일,883,13,1.48,376,"4,893.35",0,0
2025.05.23.,PC,421,4,0.96,458,"1,832.05",0,0
2025.05.23.,모바일,"2,857",42,1.48,416,"17,463.05",0,0
2025.05.24.,PC,212,2,0.95,498,995.5,0,0
2025.05.24.,모바일,"2,983",50,1.68,445,"22,236.5",0,0
2025.05.25.,PC,154,1,0.65,474,473.55,0,0
2025.05.25.,모바일,"2,450",39,1.6,492,"19,206",0,0
2025.05.26.,PC,564,5,0.89,477,"2,384.25",0,0
2025.05.26.,모바일,"2,536",29,1.15,468,"13,585.55",0,0
2025.05.27.,PC,466,4,0.86,433,"1,732.5",0,0
2025.05.27.,모바일,"2,163",29,1.35,480,"13,905.65",0,0
2025.05.28.,PC,357,5,1.41,312,"1,562",0,0
2025.05.28.,모바일,"1,526",18,1.18,432,"7,769.3",0,0
2025.05.29.,PC,436,2,0.46,128,255.2,0,0
2025.05.29.,모바일,"2,530",22,0.87,391,"8,605.85",0,0
2025.05.30.,PC,474,6,1.27,424,"2,545.95",0,0
2025.05.30.,모바일,"2,917",28,0.96,396,"11,074.25",0,0
2025.05.31.,PC,260,1,0.39,615,614.9,0,0
2025.05.31.,모바일,"3,265",54,1.66,387,"20,888.45",0,0
2025.06.01.,PC,231,2,0.87,504,"1,007.6",0,0
2025.06.01.,모바일,"3,339",47,1.41,430,"20,206.45",0,0
2025.06.02.,PC,473,2,0.43,562,"1,123.65",0,0
2025.06.02.,모바일,"3,046",33,1.09,387,"12,763.3",0,0
2025.06.03.,PC,283,2,0.71,519,"1,037.3",0,0
2025.06.03.,모바일,"3,746",41,1.1,402,"16,480.75",0,0
2025.06.04.,PC,512,4,0.79,391,"1,562.55",0,0
2025.06.04.,모바일,"3,051",27,0.89,377,"10,180.5",0,0
2025.06.05.,PC,513,7,1.37,329,"2,305.6",0,0
2025.06.05.,모바일,"2,851",34,1.2,407,"13,840.2",0,0
2025.06.06.,PC,180,2,1.12,641,"1,282.05",0,0
2025.06.06.,모바일,"2,529",36,1.43,405,"14,564.55",0,0
2025.06.07.,PC,221,0,0,0,39.6,0,0
2025.06.07.,모바일,"2,711",31,1.15,391,"12,125.3",0,0
2025.06.08.,PC,241,1,0.42,117,117.15,0,0
2025.06.08.,모바일,"2,705",42,1.56,355,"14,915.45",0,0
2025.06.09.,PC,497,6,1.21,430,"2,578.4",0,0
2025.06.09.,모바일,"2,654",37,1.4,424,"15,669.5",0,0
2025.06.10.,PC,487,2,0.42,299,598.95,0,0
2025.06.10.,모바일,"2,581",32,1.24,406,"12,993.2",0,0
2025.06.11.,PC,522,5,0.96,282,"1,411.3",0,0
2025.06.11.,모바일,"2,559",34,1.33,419,"14,241.15",0,0
2025.06.12.,PC,505,4,0.8,284,"1,136.85",0,0
2025.06.12.,모바일,"2,344",40,1.71,474,"18,960.7",0,0
2025.06.13.,PC,596,6,1.01,359,"2,152.15",0,0
2025.06.13.,모바일,"2,874",39,1.36,436,"17,016.45",0,0
2025.06.14.,PC,225,0,0,0,38.5,0,0
2025.06.14.,모바일,"2,541",39,1.54,386,"15,046.35",0,0
2025.06.15.,PC,195,0,0,0,39.6,0,0
2025.06.15.,모바일,"2,596",37,1.43,393,"14,527.7",0,0
2025.06.16.,PC,240,0,0,0,45.65,0,0
2025.06.16.,모바일,"1,215",12,0.99,661,"7,930.45",0,0
2025.06.17.,PC,149,1,0.68,761,760.65,0,0
2025.06.17.,모바일,757,19,2.51,511,"9,704.75",0,0
2025.06.18.,PC,422,2,0.48,466,932.8,0,0
2025.06.18.,모바일,"2,119",30,1.42,428,"12,837",0,0
2025.06.19.,PC,463,5,1.08,433,"2,163.7",0,0
2025.06.19.,모바일,"2,393",27,1.13,548,"14,782.9",0,0
2025.06.20.,PC,385,3,0.78,204,613.25,0,0
2025.06.20.,모바일,"2,218",34,1.54,504,"17,137.45",0,0
2025.06.21.,PC,213,0,0,0,46.75,0,0
2025.06.21.,모바일,"2,809",40,1.43,430,"17,183.65",0,0
2025.06.22.,PC,185,3,1.63,483,"1,447.6",0,0
2025.06.22.,모바일,"2,747",38,1.39,434,"16,493.95",0,0
2025.06.23.,PC,188,4,2.13,314,"1,257.85",0,0
2025.06.23.,모바일,"1,124",12,1.07,386,"4,626.6",0,0
2025.06.24.,PC,253,2,0.8,306,612.15,0,0
2025.06.24.,모바일,"1,105",24,2.18,516,"12,373.9",0,0
2025.06.25.,PC,454,6,1.33,304,"1,823.25",0,0
2025.06.25.,모바일,"2,684",31,1.16,455,"14,116.3",0,0
2025.06.26.,PC,466,1,0.22,910,910.25,0,0
2025.06.26.,모바일,"2,726",32,1.18,487,"15,568.85",0,0
2025.06.27.,PC,474,6,1.27,508,"3,050.3",0,0
2025.06.27.,모바일,"2,621",41,1.57,482,"19,742.8",0,0
2025.06.28.,PC,171,1,0.59,469,468.6,0,0
2025.06.28.,모바일,"2,828",33,1.17,451,"14,881.9",0,0
2025.06.29.,PC,227,2,0.89,459,917.95,0,0
2025.06.29.,모바일,"2,912",36,1.24,397,"14,297.8",0,0
2025.06.30.,PC,534,4,0.75,329,"1,317.8",0,0
2025.06.30.,모바일,"3,166",41,1.3,414,"16,985.1",0,0
