"일별보고서(2025.03.31.~2025.06.30.),woods8592:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,079",2,0.19,682,"1,364",0,0
2025.03.31.,모바일,"7,105",31,0.44,494,"15,323",0,0
2025.04.01.,PC,771,1,0.13,352,352,0,0
2025.04.01.,모바일,"7,822",14,0.18,366,"5,126",0,0
2025.04.02.,PC,825,1,0.13,506,506,0,0
2025.04.02.,모바일,"6,800",20,0.3,529,"10,582",0,0
2025.04.03.,PC,"3,850",3,0.08,268,803,0,0
2025.04.03.,모바일,"8,390",26,0.31,616,"16,016",0,0
2025.04.04.,PC,"2,036",2,0.1,292,583,0,0
2025.04.04.,모바일,"8,951",17,0.19,605,"10,285",0,0
2025.04.05.,PC,109,0,0,0,0,0,0
2025.04.05.,모바일,"7,627",29,0.39,758,"21,989",0,0
2025.04.06.,PC,241,3,1.25,535,"1,606",0,0
2025.04.06.,모바일,"6,796",11,0.17,607,"6,677",0,0
2025.04.07.,PC,"1,737",6,0.35,717,"4,301",0,0
2025.04.07.,모바일,"4,699",12,0.26,578,"6,930",0,0
2025.04.08.,PC,870,3,0.35,590,"1,771",0,0
2025.04.08.,모바일,"4,087",14,0.35,522,"7,304",0,0
2025.04.09.,PC,760,2,0.27,330,660,0,0
2025.04.09.,모바일,"8,030",13,0.17,416,"5,412",0,0
2025.04.10.,PC,"2,289",1,0.05,462,462,0,0
2025.04.10.,모바일,"7,121",16,0.23,564,"9,031",0,0
2025.04.11.,PC,"4,777",2,0.05,440,880,0,0
2025.04.11.,모바일,"7,157",32,0.45,623,"19,932",0,0
2025.04.12.,PC,"1,894",0,0,0,0,0,0
2025.04.12.,모바일,"7,521",14,0.19,651,"9,119",0,0
2025.04.13.,PC,701,0,0,0,0,0,0
2025.04.13.,모바일,"7,464",19,0.26,455,"8,646",0,0
2025.04.14.,PC,535,1,0.19,649,649,0,0
2025.04.14.,모바일,"6,910",18,0.27,662,"11,913",0,0
2025.04.15.,PC,"3,441",1,0.03,506,506,0,0
2025.04.15.,모바일,"8,062",29,0.36,406,"11,770",0,0
2025.04.16.,PC,"1,567",2,0.13,490,979,0,0
2025.04.16.,모바일,"4,101",10,0.25,506,"5,060",0,0
2025.04.17.,PC,"3,005",3,0.1,594,"1,782",0,0
2025.04.17.,모바일,"2,045",4,0.2,459,"1,837",0,0
2025.04.18.,PC,"1,015",2,0.2,550,"1,100",0,0
2025.04.18.,모바일,771,1,0.13,495,495,0,0
2025.04.22.,PC,641,2,0.32,"1,243","2,486",0,0
2025.04.22.,모바일,"4,748",19,0.41,467,"8,866",0,0
2025.04.23.,PC,752,3,0.4,308,924,0,0
2025.04.23.,모바일,"7,039",16,0.23,448,"7,161",0,0
2025.04.24.,PC,874,5,0.58,616,"3,080",0,0
2025.04.24.,모바일,"5,430",18,0.34,453,"8,151",0,0
2025.04.25.,PC,748,4,0.54,957,"3,828",0,0
2025.04.25.,모바일,"4,782",9,0.19,489,"4,400",0,0
2025.04.26.,PC,314,1,0.32,605,605,0,0
2025.04.26.,모바일,"6,656",28,0.43,462,"12,936",0,0
2025.04.27.,PC,409,2,0.49,600,"1,199",0,0
2025.04.27.,모바일,"7,181",31,0.44,533,"16,522",0,0
2025.04.28.,PC,"5,113",5,0.1,581,"2,904",0,0
2025.04.28.,모바일,"7,771",21,0.28,462,"9,702",0,0
2025.04.29.,PC,"1,504",4,0.27,492,"1,969",0,0
2025.04.29.,모바일,"6,594",16,0.25,533,"8,525",0,0
2025.04.30.,PC,"5,040",3,0.06,521,"1,562",0,0
2025.04.30.,모바일,"7,426",16,0.22,424,"6,787",0,0
2025.05.01.,PC,"3,155",2,0.07,594,"1,188",0,0
2025.05.01.,모바일,"6,859",18,0.27,425,"7,645",0,0
2025.05.02.,PC,"4,318",1,0.03,506,506,0,0
2025.05.02.,모바일,"5,289",9,0.18,469,"4,224",0,0
2025.05.03.,PC,790,3,0.38,616,"1,848",0,0
2025.05.03.,모바일,"8,450",22,0.27,458,"10,065",0,0
2025.05.04.,PC,991,0,0,0,0,0,0
2025.05.04.,모바일,"9,433",7,0.08,761,"5,324",0,0
2025.05.05.,PC,"1,031",2,0.2,319,638,0,0
2025.05.05.,모바일,"8,014",8,0.1,436,"3,487",0,0
2025.05.06.,PC,"1,314",4,0.31,421,"1,683",0,0
2025.05.06.,모바일,"11,097",14,0.13,424,"5,940",0,0
2025.05.07.,PC,"3,597",4,0.12,938,"3,751",1,"22,000"
