"일별보고서(2025.03.31.~2025.06.30.),yougin_yangsan:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,606,9,1.49,949,"8,537.1",0,0
2025.03.31.,모바일,"1,173",51,4.35,"1,819","92,750.35",3,201
2025.04.01.,PC,601,14,2.33,"1,231","17,238.65",0,0
2025.04.01.,모바일,"1,303",52,4,"2,569","133,577.4",4,301
2025.04.02.,PC,634,14,2.21,"1,829","25,600.3",0,0
2025.04.02.,모바일,"1,279",43,3.37,"2,130","91,579.95",3,201
2025.04.03.,PC,667,13,1.95,"1,148","14,922.05",0,0
2025.04.03.,모바일,"1,128",22,1.96,"1,523","33,509.85",0,0
2025.04.04.,PC,539,8,1.49,"1,521","12,165.45",0,0
2025.04.04.,모바일,"1,182",37,3.14,"1,783","65,964.8",0,0
2025.04.05.,PC,301,2,0.67,431,862.95,0,0
2025.04.05.,모바일,"1,085",23,2.12,"2,130","48,983",1,1
2025.04.06.,PC,262,4,1.53,"3,146","12,582.35",0,0
2025.04.06.,모바일,"1,030",32,3.11,852,"27,259.1",1,100
2025.04.07.,PC,801,17,2.13,"1,467","24,944.15",0,0
2025.04.07.,모바일,"1,359",50,3.68,"1,606","80,275.25",1,100
2025.04.08.,PC,629,16,2.55,887,"14,191.65",1,1
2025.04.08.,모바일,"1,292",51,3.95,"1,543","78,713.25",4,103
2025.04.09.,PC,697,17,2.44,"1,096","18,630.15",0,0
2025.04.09.,모바일,"1,360",38,2.8,972,"36,932.5",0,0
2025.04.10.,PC,779,20,2.57,"2,086","41,728.5",0,0
2025.04.10.,모바일,"1,448",47,3.25,"1,998","93,920.2",0,0
2025.04.11.,PC,575,10,1.74,487,"4,869.15",0,0
2025.04.11.,모바일,"1,010",36,3.57,"1,051","37,820.2",0,0
2025.04.12.,PC,302,5,1.66,"2,309","11,543.4",0,0
2025.04.12.,모바일,"1,012",30,2.97,"1,200","36,000.25",0,0
2025.04.13.,PC,306,3,0.99,740,"2,220.35",0,0
2025.04.13.,모바일,991,21,2.12,"1,556","32,685.95",1,1
2025.04.14.,PC,978,29,2.97,831,"24,090.55",0,0
2025.04.14.,모바일,"1,386",55,3.97,"1,342","73,797.35",5,302
2025.04.15.,PC,754,19,2.52,676,"12,844.7",0,0
2025.04.15.,모바일,"1,149",31,2.7,"1,743","54,025.95",1,100
2025.04.16.,PC,586,4,0.69,"2,437","9,749.85",0,0
2025.04.16.,모바일,"1,111",28,2.53,838,"23,460.25",1,1
2025.04.17.,PC,851,8,0.95,"1,429","11,431.75",1,1
2025.04.17.,모바일,"1,604",52,3.25,"1,660","86,296.65",1,1
2025.04.18.,PC,"1,153",10,0.87,"1,791","17,906.9",1,100
2025.04.18.,모바일,"2,026",42,2.08,"1,742","73,163.75",0,0
2025.04.19.,PC,586,7,1.2,"1,280","8,957.3",0,0
2025.04.19.,모바일,"1,765",40,2.27,"1,999","79,959",1,1
2025.04.20.,PC,561,1,0.18,"1,326","1,326.05",0,0
2025.04.20.,모바일,"1,896",36,1.9,"2,103","75,695.4",1,1
2025.04.21.,PC,"1,653",25,1.52,"1,783","44,583",2,101
2025.04.21.,모바일,"2,513",43,1.72,"1,643","70,655.75",5,401
2025.04.22.,PC,"1,512",17,1.13,966,"16,420.25",0,0
2025.04.22.,모바일,"2,204",61,2.77,"2,284","139,311.15",0,0
2025.04.23.,PC,"1,440",13,0.91,"2,702","35,127.4",0,0
2025.04.23.,모바일,"2,166",45,2.08,938,"42,188.3",0,0
2025.04.24.,PC,"1,026",12,1.17,"1,027","12,323.85",0,0
2025.04.24.,모바일,"1,586",37,2.34,"1,549","57,314.95",1,1
2025.04.25.,PC,640,13,2.04,"1,645","21,383.45",2,2
2025.04.25.,모바일,"1,133",15,1.33,"1,511","22,658.35",2,200
2025.04.26.,PC,416,3,0.73,81,242.55,0,0
2025.04.26.,모바일,"1,361",22,1.62,"2,022","44,486.2",0,0
2025.04.27.,PC,564,6,1.07,"1,458","8,745",0,0
2025.04.27.,모바일,"1,600",21,1.32,"1,275","26,779.5",1,1
2025.04.28.,PC,"1,381",13,0.95,"1,600","20,802.1",0,0
2025.04.28.,모바일,"2,055",46,2.24,"1,303","59,948.9",0,0
2025.04.29.,PC,"1,531",16,1.05,272,"4,359.85",1,1
2025.04.29.,모바일,"2,310",44,1.91,"1,777","78,172.05",2,101
2025.04.30.,PC,"1,341",10,0.75,"1,571","15,709.1",0,0
2025.04.30.,모바일,"2,269",49,2.16,"1,887","92,486.9",0,0
2025.05.01.,PC,937,10,1.07,"1,814","18,137.9",0,0
2025.05.01.,모바일,"2,321",30,1.3,"2,260","67,791.35",0,0
2025.05.02.,PC,"1,190",11,0.93,"1,910","21,008.35",0,0
2025.05.02.,모바일,"1,998",40,2.01,"1,566","62,637.3",1,100
2025.05.03.,PC,580,8,1.38,"1,481","11,844.8",0,0
2025.05.03.,모바일,"1,626",27,1.67,981,"26,499",0,0
2025.05.04.,PC,451,5,1.11,"1,897","9,482.55",0,0
2025.05.04.,모바일,"1,386",25,1.81,"1,160","28,989.95",0,0
2025.05.05.,PC,482,3,0.63,"3,814","11,440.55",0,0
2025.05.05.,모바일,"1,301",15,1.16,"1,484","22,257.4",0,0
2025.05.06.,PC,773,8,1.04,779,"6,231.5",0,0
2025.05.06.,모바일,"1,892",39,2.07,"2,066","80,559.05",0,0
2025.05.07.,PC,"1,654",12,0.73,"1,051","12,617.55",0,0
2025.05.07.,모바일,"2,551",46,1.81,"1,698","78,124.75",0,0
2025.05.08.,PC,"1,775",10,0.57,744,"7,439.85",0,0
2025.05.08.,모바일,"2,594",42,1.62,925,"38,841",0,0
2025.05.09.,PC,"1,522",17,1.12,852,"14,490.85",0,0
2025.05.09.,모바일,"2,487",40,1.61,"1,839","73,570.2",1,1
2025.05.10.,PC,843,6,0.72,"1,793","10,758.55",0,0
2025.05.10.,모바일,"2,387",43,1.81,"1,538","66,146.3",2,2
2025.05.11.,PC,880,6,0.69,819,"4,912.05",0,0
2025.05.11.,모바일,"2,324",41,1.77,"1,373","56,309.55",1,100
2025.05.12.,PC,"2,293",17,0.75,521,"8,859.4",0,0
2025.05.12.,모바일,"3,490",60,1.72,"1,501","90,072.4",1,1
2025.05.13.,PC,"2,191",16,0.74,"1,607","25,707.55",1,1
2025.05.13.,모바일,"3,339",51,1.53,"1,368","69,767.5",1,100
2025.05.14.,PC,"1,862",21,1.13,"1,907","40,041.65",2,200
2025.05.14.,모바일,"2,578",44,1.71,"1,383","60,832.75",1,1
2025.05.15.,PC,"1,726",13,0.76,763,"9,919.8",0,0
2025.05.15.,모바일,"2,815",47,1.67,"1,366","64,189.95",3,102
2025.05.16.,PC,"1,479",18,1.22,692,"12,456.4",0,0
2025.05.16.,모바일,"2,550",50,1.97,"1,806","90,279.75",1,100
2025.05.17.,PC,714,7,0.99,"1,277","8,942.45",0,0
2025.05.17.,모바일,"2,060",17,0.83,"1,883","32,013.3",2,2
2025.05.18.,PC,810,5,0.62,918,"4,587.55",0,0
2025.05.18.,모바일,"2,291",55,2.41,"2,225","122,389.3",2,200
2025.05.19.,PC,"1,868",26,1.4,"1,493","38,823.4",0,0
2025.05.19.,모바일,"2,698",47,1.75,"2,096","98,502.8",3,201
2025.05.20.,PC,"1,719",12,0.7,"1,165","13,975.5",0,0
