"파워링크보고서(2025.06.01.~2025.06.30.),adda-adda:naver"
"광고그룹유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,-,PC,13,0,0,0,2.2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,1대1필라테스,PC,1,0,0,0,5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,골반유연성,PC,2,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,그룹필라테스,PC,4,0,0,0,7.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,그룹필라테스가격,PC,1,0,0,0,6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,근력운동,PC,6,0,0,0,8.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,기구필라테스가격,PC,2,0,0,0,3.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,기구필라테스지도자,PC,1,0,0,0,8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,다이어트헬스,PC,1,0,0,0,7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,매트필라테스,PC,9,0,0,0,8.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,목디스크필라테스,PC,2,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,몸이야필라테스,PC,157,2,451,902,2.9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,산전필라테스,PC,1,0,0,0,10,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,산후운동,PC,2,0,0,0,9.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,소도구필라테스,PC,8,0,0,0,9.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,임산부운동,PC,2,0,0,0,10,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,자세교정필라테스,PC,1,0,0,0,6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,척추측만증교정운동,PC,7,0,0,0,6.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,틀어진골반교정,PC,2,0,0,0,9.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스,PC,46,0,0,0,8.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스가격,PC,13,0,0,0,7.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스개인레슨,PC,2,0,0,0,10,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스금액,PC,2,0,0,0,9.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스기구,PC,4,0,0,0,8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스남자,PC,1,0,0,0,9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스비용,PC,1,0,0,0,10,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스수강료,PC,8,0,0,0,1.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스체험,PC,3,0,0,0,5.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스체형교정,PC,3,0,0,0,5.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스학원,PC,4,0,0,0,7.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,필라테스할인,PC,2,0,0,0,5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,허리디스크필라테스,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,-,PC,268,5,205,"1,023",2.9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주PT가격,PC,8,0,0,0,6.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주PT샵,PC,13,0,0,0,6.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주PT추천,PC,11,0,0,0,3.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주개인PT,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주개인피티,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주거북목,PC,8,0,0,0,3.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주거북목교정,PC,10,0,0,0,2.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주골반교정,PC,9,0,0,0,6.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주광역시PT,PC,5,0,0,0,4.2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주광역시필라테스,PC,15,0,0,0,4.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주광역시헬스,PC,4,0,0,0,5,0,0,0,0
