"파워링크보고서(2025.06.01.~2025.06.30.),almodels_info:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,-,PC,87,6,281,"1,683",2,3,61.38,17,17
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,ALMODEL,PC,47,14,64,891,2,5.06,257.11,95,95
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,ALMODELS,PC,140,10,73,726,1.4,9.5,421.67,105,105
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,CF모델,PC,17,0,0,0,1.6,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,게임광고모델,PC,2,0,0,0,3.5,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,골프모델,PC,7,0,0,0,3.3,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,광고모델,PC,434,2,"8,960","17,919",1.7,1,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,광고모델료,PC,15,0,0,0,3.5,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,광고모델비용,PC,6,0,0,0,3,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,광고모델섭외,PC,6,0,0,0,1.5,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,광고모델에이전시,PC,114,1,"7,249","7,249",1.9,1.5,10,1,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,광고모델촬영,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,귀걸이모델,PC,1,0,0,0,2,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,기업모델,PC,1,0,0,0,2,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,남성모델,PC,15,0,0,0,3.9,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,남성속옷모델,PC,2,0,0,0,3,0,0,0,0
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,남자광고모델,PC,1,0,0,0,3,0,0,0,0
