"파워링크보고서(2025.06.01.~2025.06.30.),b612x:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,-,모바일,2,0,0,0,3,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,AGM105,PC,1,0,0,0,8,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,AGM60,PC,1,0,0,0,8,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,AGM70배터리,PC,1,0,0,0,6,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,BMW부품조회,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,르노삼성서비스센터,PC,12,0,0,0,3.9,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,르노삼성서비스센터,모바일,29,0,0,0,3.1,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,벤츠AS,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0513_광고그룹#1,자동차서비스센터,모바일,2,0,0,0,3,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,-,PC,41,7,74,517,1.4,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,-,모바일,220,9,77,693,2,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,AGM60배터리,PC,1,0,0,0,2,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,AGM80배터리,PC,3,0,0,0,5.7,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,AMG배터리,PC,1,0,0,0,2,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,MANN필터,PC,2,0,0,0,6,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,델코AGM70,PC,1,0,0,0,7,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,로케트AGM80,PC,1,0,0,0,4,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,만필터,PC,2,0,0,0,10,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,배터리할인마트,PC,4,0,0,0,6,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,불스원에어컨필터,PC,11,0,0,0,5.2,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,시동안걸림,모바일,1,0,0,0,3,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,자동차배터리종류,PC,1,0,0,0,10,0,0,0,0
"파워링크",파워링크#1배터리잡스 강릉점_0507,파워링크#1배터리잡스 강릉점_0507_광고그룹#1,자동차시동안걸림,모바일,14,0,0,0,2.1,0,0,0,0
"플레이스",플레이스_배터리잡스강릉점_0507,플레이스_배터리잡스강릉점_0507_광고그룹#1,-,PC,56,6,55,330,1,0,0,0,0
"플레이스",플레이스_배터리잡스강릉점_0507,플레이스_배터리잡스강릉점_0507_광고그룹#1,-,모바일,379,28,66,"1,848",1.4,0,0,0,0
