"파워링크보고서(2025.06.01.~2025.06.30.),bareunincp:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),-,PC,137,6,275,"1,650",2.4,1.5,69.83,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),-,모바일,272,9,106,957,1.7,1,0,2,2
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),대전워크샵,PC,1,1,99,99,10,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),대전워크샵장소,PC,1,0,0,0,9,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주가족행사장소,모바일,1,0,0,0,3,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주공간대여,모바일,1,0,0,0,16,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주교육장소,PC,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주근교야유회,PC,2,2,55,110,1,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주근교야유회,모바일,3,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주기업행사대관,PC,3,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체공간대여,모바일,5,1,77,77,2.4,1,0,1,1
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체모임,PC,10,0,0,0,2.2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체모임,모바일,75,0,0,0,2.9,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체모임장소,PC,2,0,0,0,3,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체야유회,PC,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체야유회,모바일,6,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체행사,모바일,4,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체회의실,PC,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주단체회의실,모바일,1,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주당일야유회,모바일,1,0,0,0,1,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주대관,PC,55,4,61,242,4.6,2,18.75,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주대관,모바일,67,3,62,187,3.3,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주뒤풀이,PC,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주뒤풀이,모바일,2,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주뒤풀이장소,모바일,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주뒷풀이,PC,2,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주뒷풀이,모바일,4,0,0,0,1.3,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주뒷풀이장소,PC,1,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주모임장소,PC,22,0,0,0,2.9,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주모임장소,모바일,8,0,0,0,2.6,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주모임장소추천,PC,8,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주모임장소추천,모바일,10,0,0,0,2.3,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주세미나실,PC,8,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주세미나실,모바일,13,1,550,550,2.8,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주소풍,PC,3,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주소풍,모바일,21,0,0,0,1.3,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주소풍장소,PC,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주소풍장소,모바일,17,0,0,0,1.8,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주송년회,PC,2,0,0,0,3,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주송년회,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주송년회장소,PC,1,0,0,0,5,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주수련회장소,PC,2,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주수련회장소,모바일,5,0,0,0,1.2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주야외놀이터,PC,7,0,0,0,1.4,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주야외놀이터,모바일,39,0,0,0,1.6,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주야외행사,모바일,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주야유회,PC,29,3,275,825,3.2,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주야유회,모바일,26,3,216,649,2.3,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주야유회장소,PC,14,1,55,55,1,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주야유회장소,모바일,6,3,95,286,1.3,3.75,89.5,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주야유회장소추천,PC,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주연회장,PC,14,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주연회장,모바일,7,0,0,0,2.3,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주워크샵,PC,42,3,609,"1,826",2.6,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주워크샵,모바일,66,2,809,"1,617",2.4,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주워크샵장소,PC,2,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주워크샵장소,모바일,1,0,0,0,4,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주장소대관,PC,9,0,0,0,2.7,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주장소대관,모바일,9,0,0,0,2.1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주장소대여,PC,20,1,165,165,2.3,5,67,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주장소대여,모바일,151,4,209,836,2.3,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주파티이벤트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주피로연,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주피로연,모바일,10,0,0,0,2.8,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주피로연장소,모바일,3,0,0,0,1,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주피크닉장소,PC,8,1,77,77,1.1,1,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주피크닉장소,모바일,241,0,0,0,1.7,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주행사대관,PC,3,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주행사장,PC,11,0,0,0,2.5,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주행사장,모바일,10,1,77,77,2.5,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주행사장소,모바일,2,0,0,0,3.5,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주회사야유회,PC,1,0,0,0,2,0,0,0,0
"파워링크",바른스포츠월드_키워드,바른스포츠월드_시설대관(삭제),청주회사야유회,모바일,4,0,0,0,1.5,0,0,0,0
