"파워링크보고서(2025.06.01.~2025.06.30.),dlaltnr3121:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",장품가든 캠페인,01_광고그룹 _mob,-,모바일,"28,406",201,183,"36,861",1.5,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,거창가볼만한곳,모바일,418,1,88,88,11.1,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,거창맛집,모바일,"24,486",723,288,"208,538",2.9,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,거창수승대,모바일,156,2,105,209,6.5,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,거창수승대맛집,모바일,673,16,77,"1,232",2.7,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,거창여행,모바일,"3,750",37,108,"4,004",1.6,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,거창월성계곡,모바일,256,7,96,671,4.8,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,거창출렁다리맛집,모바일,239,4,85,341,1.2,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,금원산,모바일,"1,367",5,77,385,1.9,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,금원산맛집,모바일,80,4,99,396,1.2,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,덕유산맛집,모바일,273,16,110,"1,760",4.5,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,마리맛집,모바일,76,2,77,154,1.1,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,북상맛집,모바일,18,0,0,0,1,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,수승대맛집,모바일,718,21,80,"1,683",2.5,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,수승대출렁다리,모바일,"2,252",12,80,957,2.3,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,수승대출렁다리맛집,모바일,28,0,0,0,1.9,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,연탄고추장불고기,모바일,5,0,0,0,2.4,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,우리흑돈,모바일,138,0,0,0,1.1,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,월성계곡,모바일,124,2,88,176,5.4,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,위천면맛집,모바일,42,0,0,0,1,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,지리산삼겹살,모바일,230,0,0,0,3.9,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,지리산흑돈,모바일,393,4,99,396,3.1,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,지리산흙돼지,모바일,283,4,99,396,3.8,0,0,0,0
"파워링크",장품가든 캠페인,01_광고그룹 _mob,흑돼지맛집,모바일,27,0,0,0,9.5,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,-,PC,"2,658",18,167,"3,003",1.8,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,거창가볼만한곳,PC,546,2,94,187,9.3,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,거창맛집,PC,"3,613",45,238,"10,714",4.3,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,거창수승대,PC,"1,516",3,92,275,8,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,거창수승대맛집,PC,70,1,77,77,2.8,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,거창숙박,PC,6,0,0,0,10,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,거창여행,PC,"1,254",8,92,737,2.8,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,거창월성계곡,PC,328,1,88,88,7.7,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,거창출렁다리맛집,PC,20,2,83,165,1.5,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,금원산,PC,465,0,0,0,1.5,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,금원산맛집,PC,6,0,0,0,1,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,덕유산맛집,PC,126,2,99,198,6.3,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,마리맛집,PC,5,1,88,88,1.2,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,북상맛집,PC,1,0,0,0,1,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,수승대맛집,PC,97,2,83,165,2.4,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,수승대출렁다리,PC,259,0,0,0,2.3,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,수승대출렁다리맛집,PC,5,1,77,77,1.4,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,연탄고추장불고기,PC,6,0,0,0,1.7,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,우리흑돈,PC,64,0,0,0,1.2,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,월성계곡,PC,392,0,0,0,6.8,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,위천면맛집,PC,10,0,0,0,1,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,지리산삼겹살,PC,23,0,0,0,6.3,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,지리산흑돈,PC,70,0,0,0,2.7,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,지리산흙돼지,PC,96,0,0,0,5.7,0,0,0,0
"파워링크",장품가든 캠페인,02_광고그룹 _pc,흑돼지맛집,PC,72,0,0,0,8.1,0,0,0,0
"플레이스",4월 플레이스 광고를 통한 신규고객 확보,4월 플레이스 광고를 통한 신규고객 확보_광고그룹#1,-,PC,"3,146",47,72,"3,366",2.8,0,0,0,0
"플레이스",4월 플레이스 광고를 통한 신규고객 확보,4월 플레이스 광고를 통한 신규고객 확보_광고그룹#1,-,모바일,"20,197",201,76,"15,279",3.1,0,0,0,0
